task,architecture,profile,metric,n,mean,sd,ci_low,ci_high
single_shape,TinyCNN,release_default,val_acc,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
single_shape,TinyCNN,release_default,test_acc,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
single_shape,TinyCNN,release_default,alignment,50,0.6820307981013036,0.02009633867445053,0.6763194818430476,0.6877421143595597
single_shape,TinyCNN,release_early,val_acc,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
single_shape,TinyCNN,release_early,test_acc,50,0.99984375,0.0007732369676646773,0.9996239984852366,1.0000635015147634
single_shape,TinyCNN,release_early,alignment,50,0.6350846181706872,0.021614359570045066,0.6289418851473263,0.6412273511940481
single_shape,TinyCNN,release_late,val_acc,50,1.0,0.0,1.0,1.0
single_shape,TinyCNN,release_late,test_acc,50,1.0,0.0,1.0,1.0
single_shape,TinyCNN,release_late,alignment,50,0.770637431399456,0.01447518811181275,0.7665236284553696,0.7747512343435423
single_shape,TinyCNN,retention_0p1,val_acc,50,1.0,0.0,1.0,1.0
single_shape,TinyCNN,retention_0p1,test_acc,50,0.99984375,0.0007732369676646774,0.9996239984852366,1.0000635015147634
single_shape,TinyCNN,retention_0p1,alignment,50,0.8598309539323055,0.011351848672022475,0.8566047942356533,0.8630571136289577
single_shape,TinyCNN,retention_1,val_acc,50,0.99984375,0.0007732369676646773,0.9996239984852366,1.0000635015147634
single_shape,TinyCNN,retention_1,test_acc,50,0.999765625,0.0009371013182894345,0.9994993037520612,1.0000319462479388
single_shape,TinyCNN,retention_1,alignment,50,0.9575745308042527,0.004411189530508928,0.9563208846106864,0.958828176997819
single_shape,TinyCNN,template_init,val_acc,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
single_shape,TinyCNN,template_init,test_acc,50,0.999765625,0.0009371013182894345,0.9994993037520612,1.0000319462479388
single_shape,TinyCNN,template_init,alignment,50,0.6071368633766764,0.023714391800666878,0.6003973077969331,0.6138764189564196
single_shape,TwoLayerCNN,release_default,val_acc,50,0.999765625,0.0009371013182894345,0.9994993037520612,1.0000319462479388
single_shape,TwoLayerCNN,release_default,test_acc,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
single_shape,TwoLayerCNN,release_default,alignment,50,0.9419226682712817,0.005668713706642475,0.9403116376611483,0.943533698881415
single_shape,TwoLayerCNN,release_early,val_acc,50,0.99984375,0.0007732369676646773,0.9996239984852366,1.0000635015147634
single_shape,TwoLayerCNN,release_early,test_acc,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
