task,architecture,profile,metric,n,mean,sd,ci_low,ci_high
single_shape,TwoLayerCNN,release_early,alignment,50,0.8968797879232018,0.008830201797910872,0.8943702723388428,0.8993893035075607
single_shape,TwoLayerCNN,release_late,val_acc,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
single_shape,TwoLayerCNN,release_late,test_acc,50,0.9996875,0.0010704981078823032,0.9993832678039257,0.9999917321960742
single_shape,TwoLayerCNN,release_late,alignment,50,0.9820608920138441,0.002274870341761668,0.9814143810160549,0.9827074030116332
single_shape,TwoLayerCNN,retention_0p1,val_acc,50,0.999765625,0.0009371013182894345,0.9994993037520612,1.0000319462479388
single_shape,TwoLayerCNN,retention_0p1,test_acc,50,0.99984375,0.0007732369676646773,0.9996239984852366,1.0000635015147634
single_shape,TwoLayerCNN,retention_0p1,alignment,50,0.9951119417290469,0.0009541431932231233,0.9948407772338402,0.9953831062242536
single_shape,TwoLayerCNN,retention_1,val_acc,50,0.999765625,0.0009371013182894345,0.9994993037520612,1.0000319462479388
single_shape,TwoLayerCNN,retention_1,test_acc,50,0.99984375,0.0007732369676646773,0.9996239984852366,1.0000635015147634
single_shape,TwoLayerCNN,retention_1,alignment,50,0.9999436139778685,2.0339947540930433e-05,0.9999378334287364,0.9999493945270005
single_shape,TwoLayerCNN,template_init,val_acc,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
single_shape,TwoLayerCNN,template_init,test_acc,50,1.0,0.0,1.0,1.0
single_shape,TwoLayerCNN,template_init,alignment,50,0.7995654638211874,0.012765280664501773,0.7959376111968156,0.8031933164455592
two_concepts,TinyCNN,release_default,val_acc,50,0.99390625,0.00607003332182462,0.9921811656171832,0.9956313343828168
two_concepts,TinyCNN,release_default,test_acc,50,0.99453125,0.005580357142857143,0.9929453300474569,0.9961171699525431
two_concepts,TinyCNN,release_default,alignment,50,0.5741119124028434,0.023133500999079498,0.5675374441622977,0.5806863806433892
two_concepts,TinyCNN,release_early,val_acc,50,0.99359375,0.006100736771748415,0.991859939793262,0.9953275602067381
two_concepts,TinyCNN,release_early,test_acc,50,0.994609375,0.005346086991963164,0.9930900338876775,0.9961287161123226
two_concepts,TinyCNN,release_early,alignment,50,0.5319884288782698,0.021743077095304826,0.525809114738983,0.5381677430175567
two_concepts,TinyCNN,release_late,val_acc,50,0.9925,0.006962711589500993,0.9905212192605402,0.9944787807394599
two_concepts,TinyCNN,release_late,test_acc,50,0.993046875,0.006278335798489671,0.991262591708323,0.994831158291677
two_concepts,TinyCNN,release_late,alignment,50,0.6841944694099622,0.018340414713937873,0.6789821812197735,0.6894067576001509
two_concepts,TinyCNN,retention_0p1,val_acc,50,0.99015625,0.00843501947664785,0.9877590439886914,0.9925534560113085
two_concepts,TinyCNN,retention_0p1,test_acc,50,0.990078125,0.006979240039846819,0.9880946469269257,0.9920616030730743
two_concepts,TinyCNN,retention_0p1,alignment,50,0.8042625639225562,0.013865128685171245,0.8003221379491869,0.8082029898959255
two_concepts,TinyCNN,retention_1,val_acc,50,0.979140625,0.012617284989277121,0.9755548322811539,0.9827264177188461
two_concepts,TinyCNN,retention_1,test_acc,50,0.98046875,0.011994523024667789,0.9770599442732183,0.9838775557267817
two_concepts,TinyCNN,retention_1,alignment,50,0.944146581798015,0.005602817826028564,0.9425542785899423,0.9457388850060877
two_concepts,TinyCNN,template_init,val_acc,50,0.993671875,0.0055742153701650865,0.9920877005199431,0.9952560494800569
two_concepts,TinyCNN,template_init,test_acc,50,0.993671875,0.006056165985548555,0.9919507316705469,0.995393018329453
two_concepts,TinyCNN,template_init,alignment,50,0.5045607519698786,0.022762098742812955,0.49809183508268784,0.5110296688570694
two_concepts,TwoLayerCNN,release_default,val_acc,50,0.993046875,0.005651885331157747,0.9914406269612626,0.9946531230387374
two_concepts,TwoLayerCNN,release_default,test_acc,50,0.992578125,0.006981024555355358,0.9905941397732295,0.9945621102267704
two_concepts,TwoLayerCNN,release_default,alignment,50,0.8956878754865982,0.011307760767567399,0.8924742454337576,0.8989015055394388
two_concepts,TwoLayerCNN,release_early,val_acc,50,0.993515625,0.00566948906568695,0.9919043740352643,0.9951268759647357
two_concepts,TwoLayerCNN,release_early,test_acc,50,0.99296875,0.007812499999999999,0.9907484620664395,0.9951890379335604
two_concepts,TwoLayerCNN,release_early,alignment,50,0.8353838299292908,0.015084676759714474,0.8310968122280105,0.8396708476305712
two_concepts,TwoLayerCNN,release_late,val_acc,50,0.99359375,0.005566948175598181,0.9920116408337873,0.9951758591662128
two_concepts,TwoLayerCNN,release_late,test_acc,50,0.9928125,0.00642880393924762,0.9909854541358672,0.9946395458641327
two_concepts,TwoLayerCNN,release_late,alignment,50,0.9607285724205943,0.0056047416819781926,0.9591357224587103,0.9623214223824783
two_concepts,TwoLayerCNN,retention_0p1,val_acc,50,0.993671875,0.005046445039971612,0.992237691188208,0.9951060588117919
two_concepts,TwoLayerCNN,retention_0p1,test_acc,50,0.992421875,0.007545253699912675,0.9902775376245673,0.9945662123754327
two_concepts,TwoLayerCNN,retention_0p1,alignment,50,0.9751222298423108,0.005195393981211162,0.9736457152097892,0.9765987444748324
two_concepts,TwoLayerCNN,retention_1,val_acc,50,0.99,0.008054293996727104,0.987710994972892,0.9922890050271079
two_concepts,TwoLayerCNN,retention_1,test_acc,50,0.99109375,0.007488498302328684,0.988965542330093,0.993221957669907
two_concepts,TwoLayerCNN,retention_1,alignment,50,0.9987521972566435,0.0005085506052123729,0.9986076687737817,0.9988967257395054
two_concepts,TwoLayerCNN,template_init,val_acc,50,0.99421875,0.005918336421233416,0.9925367773993197,0.9959007226006804
two_concepts,TwoLayerCNN,template_init,test_acc,50,0.993046875,0.007663193826371334,0.990869019411491,0.995224730588509
two_concepts,TwoLayerCNN,template_init,alignment,50,0.7310524990982888,0.018419622911974104,0.7258177001872888,0.7362872980092889
