task,architecture,block,profile,epoch,test_acc,alignment,full_patch_max_error,noop_max_error,checkpoint_sha256,val_acc
single_shape,TinyCNN,5005,release_default,200,1.0,0.6895494461239773,0.0,0.0,4c9723e941db70f7bbf470294904f6424513b052c090a8c7c48a863d44b57cec,1.0
single_shape,TinyCNN,5005,release_early,200,1.0,0.6285066270498941,0.0,0.0,9022403094794c6617902b53665aa5b87c0e6a997a6900c8547630b3121b3848,1.0
single_shape,TinyCNN,5005,release_late,200,1.0,0.765943900947108,0.0,0.0,d743a7d28a68072f7afb585356d637bc61699eae63709507e74f5d61f4b1763d,1.0
single_shape,TinyCNN,5005,retention_0p1,200,1.0,0.8508988685202079,0.0,0.0,70d1367ddfbdc4cf28584ed1927c5618f8bc74a66b0e9d9365cbf99a87f1259a,1.0
single_shape,TinyCNN,5005,retention_1,200,1.0,0.9544614350314984,0.0,0.0,429a8e7fbe64750364ad386ebf74ac93e4be45892a990d9b561a88dcbc2e62f2,1.0
single_shape,TinyCNN,5005,template_init,200,1.0,0.6003251438620116,0.0,0.0,147bbf1d215a59cf09921f478ac5655dac459f934ea588a5e3fd4bef49758ec7,1.0
single_shape,TinyCNN,5006,release_default,200,1.0,0.6880558854859351,0.0,0.0,021d2c466d9b36d16d379ccbfe2c2b82c15375b8c0414642487f3930c74c0c3e,1.0
single_shape,TinyCNN,5006,release_early,200,1.0,0.6343424828182365,0.0,0.0,dbf99a6358ed309fd8cb73763891e268e65d7ebe2684e0a35f957a4aba4b4f2d,1.0
single_shape,TinyCNN,5006,release_late,200,1.0,0.7750688747601255,0.0,0.0,c2c5e9e5587b7b7781bf290c4f5c653ddf7b577b611d7b41c8aaa6f073e3a556,1.0
single_shape,TinyCNN,5006,retention_0p1,200,1.0,0.8710146495467213,0.0,0.0,169695b1a633c3ac0b167fa0a4eb7c9e5d9036441e7766c7eab216f4e87dda96,1.0
single_shape,TinyCNN,5006,retention_1,200,1.0,0.9589711562423697,0.0,0.0,28fa9db2ecd11e27bbe7a6d193280012c63e8f0f38a2e80e4e6446bf9182d592,1.0
single_shape,TinyCNN,5006,template_init,200,1.0,0.5800576877748315,0.0,0.0,12d05097486486de6be15377b45cf3b17adbb693053f9f8f9116c60112a6a8bb,1.0
single_shape,TinyCNN,5007,release_default,200,1.0,0.6665579760261839,0.0,0.0,be18de3ace9a7c17ed5bb367039670adb013e32f1e40fd4bd11079240168487d,1.0
single_shape,TinyCNN,5007,release_early,200,1.0,0.6301948003314986,0.0,0.0,ca5b7d0b35a53e0cf12e6b437cda892c4ded09933bb85e0393b877be748059de,1.0
