task,architecture,profile,method,k,n_matches,mean_relative_energy_error,median_relative_energy_error,max_relative_energy_error
single_shape,TinyCNN,release_default,contrast,1,1600,0.3745542190908263,0.2593547021233472,5.842148752186624
single_shape,TinyCNN,release_default,contrast,2,1600,0.02684171939846649,0.02040357606075186,0.3320797479094289
single_shape,TinyCNN,release_default,contrast,4,1600,0.0015248778890170655,0.0008929780547399755,0.05651751252334634
single_shape,TinyCNN,release_default,contrast,8,1600,0.000542373209313499,8.926914597504114e-05,0.06329500678468165
single_shape,TinyCNN,release_default,auroc,1,1600,0.3705412171871265,0.2672568170595754,5.842148752186624
single_shape,TinyCNN,release_default,auroc,2,1600,0.02899532283058117,0.020421468956181354,0.3820780760909321
single_shape,TinyCNN,release_default,auroc,4,1600,0.001748325672578004,0.0008952247197153352,0.05651751252334634
single_shape,TinyCNN,release_default,auroc,8,1600,0.0005493215205293833,8.565104404672498e-05,0.06329500678468165
single_shape,TinyCNN,release_default,validation_patch,1,1600,0.26766910696860774,0.2468037315026244,1.5266525165747808
single_shape,TinyCNN,release_default,validation_patch,2,1600,0.03492936521219321,0.022359118197340988,0.32360662357101583
single_shape,TinyCNN,release_default,validation_patch,4,1600,0.00228439074396587,0.0010301158716895346,0.07738148588967278
single_shape,TinyCNN,release_default,validation_patch,8,1600,0.00020961922846317232,8.019332655178662e-05,0.016912110934202657
single_shape,TinyCNN,release_early,contrast,1,1600,0.4456984107384202,0.2942942095437018,5.699770772379007
single_shape,TinyCNN,release_early,contrast,2,1600,0.03659530982825554,0.022933948347955528,0.885891362046981
single_shape,TinyCNN,release_early,contrast,4,1600,0.0018955967898550163,0.0010811754875123905,0.10148489453460573
single_shape,TinyCNN,release_early,contrast,8,1600,0.0007010820568801532,0.00010003772637402547,0.13713566808436145
single_shape,TinyCNN,release_early,auroc,1,1600,0.4692179187563078,0.2990620327930902,9.765558043350756
single_shape,TinyCNN,release_early,auroc,2,1600,0.04359404322290038,0.02291652058854974,0.8758550086079895
single_shape,TinyCNN,release_early,auroc,4,1600,0.0017162554796450865,0.0011246486162352935,0.05002054085574151
single_shape,TinyCNN,release_early,auroc,8,1600,0.0007251709394167174,0.00010078370241449233,0.13713566808436145
single_shape,TinyCNN,release_early,validation_patch,1,1600,0.3023655292129453,0.2835138679620972,1.6798350593703943
single_shape,TinyCNN,release_early,validation_patch,2,1600,0.039852994553796456,0.027077664307176712,0.33292681523243245
single_shape,TinyCNN,release_early,validation_patch,4,1600,0.002057867383299215,0.001124428008417993,0.034385638688024495
single_shape,TinyCNN,release_early,validation_patch,8,1600,0.00028552565835459124,9.431212440196269e-05,0.02116121966175548
single_shape,TinyCNN,release_late,contrast,1,1600,0.27068421453617103,0.2065458315291164,3.7631630440607857
single_shape,TinyCNN,release_late,contrast,2,1600,0.02407319029342382,0.017979693496942624,0.21490794324270326
single_shape,TinyCNN,release_late,contrast,4,1600,0.0015498042242374076,0.0007866536691114243,0.050270637352410545
single_shape,TinyCNN,release_late,contrast,8,1600,0.0006738844136544337,7.138049121393239e-05,0.07997302230700569
single_shape,TinyCNN,release_late,auroc,1,1600,0.257706998880963,0.20525463673664346,3.7631630440607857
single_shape,TinyCNN,release_late,auroc,2,1600,0.025062530697621797,0.01773374960097606,0.3752773231608272
single_shape,TinyCNN,release_late,auroc,4,1600,0.0014076713845339118,0.0007853703821895223,0.047459193239537574
single_shape,TinyCNN,release_late,auroc,8,1600,0.000658660096643807,6.947163551396993e-05,0.07997302230700569
single_shape,TinyCNN,release_late,validation_patch,1,1600,0.2282166324088879,0.20455788254710983,1.528481494938664
single_shape,TinyCNN,release_late,validation_patch,2,1600,0.02562378782835312,0.018033170808081513,0.18747121469974135
single_shape,TinyCNN,release_late,validation_patch,4,1600,0.0016124969539678484,0.0007958169714790753,0.08509510717779224
single_shape,TinyCNN,release_late,validation_patch,8,1600,0.00014385575576115645,6.52303661524301e-05,0.012407847046620476
single_shape,TinyCNN,retention_0p1,contrast,1,1600,0.22563747751213764,0.17361948112931824,2.4360312625333185
single_shape,TinyCNN,retention_0p1,contrast,2,1600,0.02307751578313356,0.01445938605127892,0.3454385211252198
single_shape,TinyCNN,retention_0p1,contrast,4,1600,0.001227080190008417,0.0006784846927842278,0.041993853418199445
single_shape,TinyCNN,retention_0p1,contrast,8,1600,0.0006353905145734716,5.844292924014186e-05,0.10195887087501686
single_shape,TinyCNN,retention_0p1,auroc,1,1600,0.21452208197221478,0.16383226695213804,2.4360312625333185
single_shape,TinyCNN,retention_0p1,auroc,2,1600,0.025720362465873635,0.01489321368791301,0.6786324321002606
single_shape,TinyCNN,retention_0p1,auroc,4,1600,0.001297167963209589,0.0006610345549346125,0.041993853418199445
single_shape,TinyCNN,retention_0p1,auroc,8,1600,0.0006090364098233135,5.7011652240263596e-05,0.10195887087501686
single_shape,TinyCNN,retention_0p1,validation_patch,1,1600,0.21122736401912084,0.16612804152408206,2.55712091915719
single_shape,TinyCNN,retention_0p1,validation_patch,2,1600,0.024636806575593147,0.013545848580462178,0.4488388549686192
