task,architecture,profile,method,k,n_matches,mean_relative_energy_error,median_relative_energy_error,max_relative_energy_error
single_shape,TinyCNN,retention_0p1,validation_patch,4,1600,0.0018178756556441605,0.0006924105200572818,0.061673504553955746
single_shape,TinyCNN,retention_0p1,validation_patch,8,1600,0.00012143470122987215,5.267166098579614e-05,0.004760812161978727
single_shape,TinyCNN,retention_1,contrast,1,1600,0.18536044692466982,0.14910979575503536,1.1985124188915297
single_shape,TinyCNN,retention_1,contrast,2,1600,0.022730242964210924,0.013271987649966597,0.37095894013718805
single_shape,TinyCNN,retention_1,contrast,4,1600,0.0013601664404156867,0.0005857254375905053,0.0457828106821402
single_shape,TinyCNN,retention_1,contrast,8,1600,0.00011963753656325805,4.099347031719886e-05,0.016313578944052772
single_shape,TinyCNN,retention_1,auroc,1,1600,0.1910088360840426,0.1462685445684093,1.8511757152371
single_shape,TinyCNN,retention_1,auroc,2,1600,0.02290153389378279,0.01293774018886959,0.37095894013718805
single_shape,TinyCNN,retention_1,auroc,4,1600,0.0012672489621890306,0.0005809586033341547,0.0457828106821402
single_shape,TinyCNN,retention_1,auroc,8,1600,0.0001240819117697704,4.0989185952491615e-05,0.016313578944052772
single_shape,TinyCNN,retention_1,validation_patch,1,1600,0.20438644602726477,0.1530184670551411,1.516419387594799
single_shape,TinyCNN,retention_1,validation_patch,2,1600,0.019488067049731782,0.011566537727002259,0.3412995184898969
single_shape,TinyCNN,retention_1,validation_patch,4,1600,0.0008115462050110483,0.0004991759380031331,0.018177842727620432
single_shape,TinyCNN,retention_1,validation_patch,8,1600,0.00010334633175065765,4.301647160520378e-05,0.005853781946846763
single_shape,TinyCNN,template_init,contrast,1,1600,0.5238593673340116,0.36210838364797476,9.290521114023838
single_shape,TinyCNN,template_init,contrast,2,1600,0.054213019389620934,0.030773096776182715,1.1128268415385167
single_shape,TinyCNN,template_init,contrast,4,1600,0.0021385797528899043,0.0013353166339706258,0.05185856087553757
single_shape,TinyCNN,template_init,contrast,8,1600,0.0004714037993460323,0.0001270658437416969,0.05329250597967097
single_shape,TinyCNN,template_init,auroc,1,1600,0.5661069302141669,0.3655321428056559,9.290521114023838
single_shape,TinyCNN,template_init,auroc,2,1600,0.052000046022214474,0.031654302302297335,0.8692946966761111
single_shape,TinyCNN,template_init,auroc,4,1600,0.002407447745188479,0.0013092938595045257,0.05185856087553757
single_shape,TinyCNN,template_init,auroc,8,1600,0.0004775805207974205,0.000125322532091719,0.05329250597967097
single_shape,TinyCNN,template_init,validation_patch,1,1600,0.3572927325486951,0.3414020319600678,1.676496723998207
single_shape,TinyCNN,template_init,validation_patch,2,1600,0.0402607338797623,0.029702325022421486,0.28339601617267934
single_shape,TinyCNN,template_init,validation_patch,4,1600,0.003042849325510798,0.0014115994576644297,0.11242663880218794
single_shape,TinyCNN,template_init,validation_patch,8,1600,0.0003050888021193681,0.00012750135630521311,0.011198909685768883
single_shape,TwoLayerCNN,release_default,contrast,1,1600,0.2289504286066605,0.14583671420305072,1.5654030287495893
single_shape,TwoLayerCNN,release_default,contrast,2,1600,0.034882466657802376,0.013622442411908162,0.561138768406172
single_shape,TwoLayerCNN,release_default,contrast,4,1600,0.005048472565999512,0.0005611098979428034,0.12217104542594151
single_shape,TwoLayerCNN,release_default,contrast,8,1600,6.86813439293991e-05,4.05936585899384e-05,0.0014402745310111607
single_shape,TwoLayerCNN,release_default,auroc,1,1600,0.23682887439098835,0.15288305667281132,1.5654030287495893
single_shape,TwoLayerCNN,release_default,auroc,2,1600,0.03524742191168242,0.013825935086988771,0.561138768406172
single_shape,TwoLayerCNN,release_default,auroc,4,1600,0.005198498154667555,0.0005994744348893353,0.12217104542594151
single_shape,TwoLayerCNN,release_default,auroc,8,1600,7.488871489653904e-05,4.2185712677926524e-05,0.0014402745310111607
single_shape,TwoLayerCNN,release_default,validation_patch,1,1600,0.14366319435639854,0.11498282531254622,0.9680687080137438
single_shape,TwoLayerCNN,release_default,validation_patch,2,1600,0.014782512524834686,0.010086560447674663,0.21723838365580214
single_shape,TwoLayerCNN,release_default,validation_patch,4,1600,0.0007057839081312271,0.0004139658928366069,0.009528263096893067
single_shape,TwoLayerCNN,release_default,validation_patch,8,1600,0.00014600492680905128,4.345848875648047e-05,0.004156788682225853
single_shape,TwoLayerCNN,release_early,contrast,1,1600,0.17947369110349798,0.13080920873868151,1.4382442250144443
single_shape,TwoLayerCNN,release_early,contrast,2,1600,0.020410626616652282,0.010841038152553596,0.34267261960147866
single_shape,TwoLayerCNN,release_early,contrast,4,1600,0.0009795068981534982,0.00045828946302855524,0.029060728179768687
single_shape,TwoLayerCNN,release_early,contrast,8,1600,8.017028616985933e-05,3.810514395029426e-05,0.0017498758198533522
single_shape,TwoLayerCNN,release_early,auroc,1,1600,0.1749992332772325,0.126833155459375,1.4382442250144443
single_shape,TwoLayerCNN,release_early,auroc,2,1600,0.021327393736566246,0.010803899035089146,0.34267261960147866
single_shape,TwoLayerCNN,release_early,auroc,4,1600,0.0012567847243215046,0.0004731437185131617,0.06124449170150137
single_shape,TwoLayerCNN,release_early,auroc,8,1600,0.00010151388259767763,3.8005470672558585e-05,0.006194073137341561
single_shape,TwoLayerCNN,release_early,validation_patch,1,1600,0.141261796425215,0.1206912228881722,1.1316454817363721
single_shape,TwoLayerCNN,release_early,validation_patch,2,1600,0.01624428105040229,0.010781249824971782,0.21324933288855102
single_shape,TwoLayerCNN,release_early,validation_patch,4,1600,0.0013715708854730043,0.0005211394240282701,0.06270273568954514
single_shape,TwoLayerCNN,release_early,validation_patch,8,1600,0.00020239230665403094,4.8065438427654216e-05,0.014742885821311417
single_shape,TwoLayerCNN,release_late,contrast,1,1600,0.2670324839041528,0.15323523657742094,1.345224202210999
single_shape,TwoLayerCNN,release_late,contrast,2,1600,0.06095827431502194,0.020610924424745335,0.5343726205522281
single_shape,TwoLayerCNN,release_late,contrast,4,1600,0.025496738536485725,0.001078355971179083,0.1829810934128129
single_shape,TwoLayerCNN,release_late,contrast,8,1600,0.00010754682566428441,4.888400349711204e-05,0.001412152455597469
single_shape,TwoLayerCNN,release_late,auroc,1,1600,0.2622184856531002,0.15421347492270357,1.345224202210999
single_shape,TwoLayerCNN,release_late,auroc,2,1600,0.057575588193498305,0.020096044188416422,0.5343726205522281
single_shape,TwoLayerCNN,release_late,auroc,4,1600,0.026719713340072948,0.0014660035611014028,0.1829810934128129
single_shape,TwoLayerCNN,release_late,auroc,8,1600,0.00012113301404428633,5.718750589014467e-05,0.0018632447268476075
single_shape,TwoLayerCNN,release_late,validation_patch,1,1600,0.13822982317090293,0.10735434490439458,1.0089624547943603
single_shape,TwoLayerCNN,release_late,validation_patch,2,1600,0.013713999612443246,0.008445708368063253,0.33341632688478884
single_shape,TwoLayerCNN,release_late,validation_patch,4,1600,0.0006293040900332921,0.0004462930460389446,0.006791136225201404
single_shape,TwoLayerCNN,release_late,validation_patch,8,1600,0.00012703691227276546,4.4413716624467703e-05,0.006738893085037634
single_shape,TwoLayerCNN,retention_0p1,contrast,1,1600,0.26902243941211823,0.147784435399693,1.1914803188178165
single_shape,TwoLayerCNN,retention_0p1,contrast,2,1600,0.06140816646320726,0.022635255536832235,0.40902223827755874
single_shape,TwoLayerCNN,retention_0p1,contrast,4,1600,0.048855962332964166,0.0014017724068904913,0.2031397452800669
single_shape,TwoLayerCNN,retention_0p1,contrast,8,1600,0.0001658927266750758,5.4583071200726876e-05,0.004149409125648697
single_shape,TwoLayerCNN,retention_0p1,auroc,1,1600,0.26868267301716425,0.14903916222689945,1.1914803188178165
single_shape,TwoLayerCNN,retention_0p1,auroc,2,1600,0.05926256276508333,0.022609898452332793,0.40902223827755874
single_shape,TwoLayerCNN,retention_0p1,auroc,4,1600,0.05251172026048503,0.0019259058122848526,0.2031397452800669
single_shape,TwoLayerCNN,retention_0p1,auroc,8,1600,0.00014894465267224408,5.689174036347173e-05,0.004149409125648697
single_shape,TwoLayerCNN,retention_0p1,validation_patch,1,1600,0.1284483490790991,0.10013635690058398,1.0161868806504435
single_shape,TwoLayerCNN,retention_0p1,validation_patch,2,1600,0.012054955166768815,0.00913398213193331,0.3668493440057841
single_shape,TwoLayerCNN,retention_0p1,validation_patch,4,1600,0.0008025968172861836,0.00048021361907020325,0.02751800824495298
single_shape,TwoLayerCNN,retention_0p1,validation_patch,8,1600,0.00011991908285655026,5.4831663618173926e-05,0.003231389986694915
single_shape,TwoLayerCNN,retention_1,contrast,1,1600,0.24387494331204862,0.18375247866607058,1.3120051881795973
single_shape,TwoLayerCNN,retention_1,contrast,2,1600,0.06644006325211757,0.027440495040065904,0.2804970547140142
single_shape,TwoLayerCNN,retention_1,contrast,4,1600,0.07572592275240558,0.053313747012701355,0.19641387663789553
single_shape,TwoLayerCNN,retention_1,contrast,8,1600,0.00017142270175960286,6.877634865328397e-05,0.0017768346658415118
single_shape,TwoLayerCNN,retention_1,auroc,1,1600,0.23551900260271785,0.18822488624993325,0.7329888564191861
single_shape,TwoLayerCNN,retention_1,auroc,2,1600,0.06685814224415415,0.03236279065737482,0.23711518580791613
single_shape,TwoLayerCNN,retention_1,auroc,4,1600,0.07569821957889963,0.05280170277376851,0.19641387663789553
single_shape,TwoLayerCNN,retention_1,auroc,8,1600,0.00019210038956724547,7.55491949489612e-05,0.0017801075826220255
single_shape,TwoLayerCNN,retention_1,validation_patch,1,1600,0.12466161237676854,0.08573058523077834,1.3234705156204116
single_shape,TwoLayerCNN,retention_1,validation_patch,2,1600,0.012092485606214159,0.007714236141775476,0.33813865230357687
single_shape,TwoLayerCNN,retention_1,validation_patch,4,1600,0.0005783384075040831,0.0004562278088439279,0.008944727431348174
single_shape,TwoLayerCNN,retention_1,validation_patch,8,1600,0.000123459135460274,5.550474181872212e-05,0.004171350949528234
single_shape,TwoLayerCNN,template_init,contrast,1,1600,0.1654619290686484,0.13317589871958901,1.2487790959497744
single_shape,TwoLayerCNN,template_init,contrast,2,1600,0.017719556424596498,0.011968755909543561,0.17374999933423488
single_shape,TwoLayerCNN,template_init,contrast,4,1600,0.0009742779728141027,0.0005091830149084211,0.039022467854639406
single_shape,TwoLayerCNN,template_init,contrast,8,1600,0.0001373035664754524,4.367813618496089e-05,0.008768620208988505
single_shape,TwoLayerCNN,template_init,auroc,1,1600,0.1638053303084424,0.13114993978337045,1.2487790959497744
single_shape,TwoLayerCNN,template_init,auroc,2,1600,0.019128774182916516,0.012251748227405632,0.19176756793561334
single_shape,TwoLayerCNN,template_init,auroc,4,1600,0.0012443714407757627,0.000546003633570397,0.05500219984621755
single_shape,TwoLayerCNN,template_init,auroc,8,1600,0.00013595831110595202,4.674718458954293e-05,0.008768620208988505
single_shape,TwoLayerCNN,template_init,validation_patch,1,1600,0.16020241401413243,0.1402382462071406,0.9543684643320839
single_shape,TwoLayerCNN,template_init,validation_patch,2,1600,0.021619722796169905,0.012573390571518371,0.20529528352827137
single_shape,TwoLayerCNN,template_init,validation_patch,4,1600,0.001707205852461985,0.0006273541258218328,0.04781186136711732
single_shape,TwoLayerCNN,template_init,validation_patch,8,1600,0.00020109584768585203,4.9149660341685534e-05,0.009013309256103498
two_concepts,TinyCNN,release_default,contrast,1,800,0.3297116420808737,0.27498426495969874,2.8313027038736482
two_concepts,TinyCNN,release_default,contrast,2,800,0.02901540036787269,0.021366388230557455,0.2460581090389818
two_concepts,TinyCNN,release_default,contrast,4,800,0.0012241856694020256,0.0009388342661904157,0.009057212449485982
two_concepts,TinyCNN,release_default,contrast,8,800,9.18513884294091e-05,7.315256194125036e-05,0.0006649568351080341
two_concepts,TinyCNN,release_default,auroc,1,800,0.3193515213468136,0.2676639507010721,2.8313027038736482
two_concepts,TinyCNN,release_default,auroc,2,800,0.03162049374574693,0.02281450502467402,0.2748996575805139
two_concepts,TinyCNN,release_default,auroc,4,800,0.001265124354214966,0.000913340748463366,0.017616050015345112
two_concepts,TinyCNN,release_default,auroc,8,800,9.09856137028239e-05,7.279588987953148e-05,0.0006649568351080341
two_concepts,TinyCNN,release_default,validation_patch,1,800,0.3224664036347364,0.30777355108547577,1.2489034088397375
two_concepts,TinyCNN,release_default,validation_patch,2,800,0.04165581278300197,0.026960318020700192,0.2748996575805139
two_concepts,TinyCNN,release_default,validation_patch,4,800,0.0018064932764872955,0.001134330940766951,0.04352918514023814
two_concepts,TinyCNN,release_default,validation_patch,8,800,9.7902410851087e-05,7.321836917128659e-05,0.0010700926407983965
two_concepts,TinyCNN,release_early,contrast,1,800,0.4126333733361821,0.31078555239314953,5.061529072799744
two_concepts,TinyCNN,release_early,contrast,2,800,0.033942485642593834,0.025496019395976326,0.29336405725193976
two_concepts,TinyCNN,release_early,contrast,4,800,0.0015913009888798666,0.0010696568397965177,0.01972342495264203
two_concepts,TinyCNN,release_early,contrast,8,800,0.00010521548791457603,8.340878724368315e-05,0.0007167704739765138
two_concepts,TinyCNN,release_early,auroc,1,800,0.4060032985052744,0.2996138666716326,5.061529072799744
two_concepts,TinyCNN,release_early,auroc,2,800,0.03693149256910082,0.026951572911087254,0.29336405725193976
two_concepts,TinyCNN,release_early,auroc,4,800,0.001565653750732595,0.0010384267607902254,0.01972342495264203
two_concepts,TinyCNN,release_early,auroc,8,800,0.00010930084409289213,8.406595398801832e-05,0.0007167704739765138
two_concepts,TinyCNN,release_early,validation_patch,1,800,0.33419059225788317,0.31426616422497944,1.98710583615801
two_concepts,TinyCNN,release_early,validation_patch,2,800,0.03869198450939424,0.028803390126324033,0.25178782053552673
two_concepts,TinyCNN,release_early,validation_patch,4,800,0.001995813509859374,0.0012004333498724443,0.03454322129425296
two_concepts,TinyCNN,release_early,validation_patch,8,800,0.00011705596576926747,8.317037947822596e-05,0.002002990761245493
two_concepts,TinyCNN,release_late,contrast,1,800,0.28940426629880334,0.25851918651276085,3.662802970755735
two_concepts,TinyCNN,release_late,contrast,2,800,0.034561837198406636,0.022757155007815586,0.18350339363073093
two_concepts,TinyCNN,release_late,contrast,4,800,0.0012120016175325122,0.0008181515449770868,0.012193202075003483
two_concepts,TinyCNN,release_late,contrast,8,800,9.253383727439279e-05,6.0865931877637414e-05,0.0006848032163258558
two_concepts,TinyCNN,release_late,auroc,1,800,0.28707078963625476,0.2586231008390898,3.662802970755735
two_concepts,TinyCNN,release_late,auroc,2,800,0.03433166402379774,0.0233814460227667,0.18350339363073093
two_concepts,TinyCNN,release_late,auroc,4,800,0.0012145489578583536,0.0008251758158709345,0.012193202075003483
two_concepts,TinyCNN,release_late,auroc,8,800,9.546871161524555e-05,6.251107704918201e-05,0.0006848032163258558
two_concepts,TinyCNN,release_late,validation_patch,1,800,0.29498104362705635,0.29210716879875653,0.9270576094305242
two_concepts,TinyCNN,release_late,validation_patch,2,800,0.04298635101846332,0.029254904312385973,0.20654904299552357
two_concepts,TinyCNN,release_late,validation_patch,4,800,0.0019378526363070725,0.0010471011380610148,0.041138732656432773
two_concepts,TinyCNN,release_late,validation_patch,8,800,0.00011650431780253638,6.612139099302291e-05,0.005015007109775519
two_concepts,TinyCNN,retention_0p1,contrast,1,800,0.29353914846599277,0.25075437994095573,4.913561850150112
two_concepts,TinyCNN,retention_0p1,contrast,2,800,0.04609615285204916,0.024058601302090837,0.2500345339467838
two_concepts,TinyCNN,retention_0p1,contrast,4,800,0.005137284194040704,0.0012736753423928191,0.08392521027685311
two_concepts,TinyCNN,retention_0p1,contrast,8,800,0.00043065960938839105,8.61629922157998e-05,0.018519769643888823
two_concepts,TinyCNN,retention_0p1,auroc,1,800,0.3922048631345062,0.25204370484036687,12.143638597867481
two_concepts,TinyCNN,retention_0p1,auroc,2,800,0.04697087517441315,0.02390591604329515,0.2500345339467838
two_concepts,TinyCNN,retention_0p1,auroc,4,800,0.005204559677493004,0.0012080037963925136,0.08392521027685311
two_concepts,TinyCNN,retention_0p1,auroc,8,800,0.0004101387316993714,8.820738596846035e-05,0.018519769643888823
two_concepts,TinyCNN,retention_0p1,validation_patch,1,800,0.2786527231838637,0.2697845781976099,0.7398081610212864
two_concepts,TinyCNN,retention_0p1,validation_patch,2,800,0.05053686696960474,0.029551631678923877,0.2500345339467838
two_concepts,TinyCNN,retention_0p1,validation_patch,4,800,0.0048740729210002024,0.0012047524215608137,0.08392521027685311
two_concepts,TinyCNN,retention_0p1,validation_patch,8,800,0.00040272057420651114,8.816619791850511e-05,0.017869584460070045
two_concepts,TinyCNN,retention_1,contrast,1,800,0.16247126964251632,0.1284850385552221,0.5810553455480095
two_concepts,TinyCNN,retention_1,contrast,2,800,0.03210682066505416,0.01412778144172049,0.19748145049623225
two_concepts,TinyCNN,retention_1,contrast,4,800,0.0054765679011518275,0.0008140543418970632,0.0717668239446078
two_concepts,TinyCNN,retention_1,contrast,8,800,0.0002634771722592825,5.431265398112193e-05,0.006855842442605345
two_concepts,TinyCNN,retention_1,auroc,1,800,0.16604689830084787,0.1316187508210988,0.5810553455480095
two_concepts,TinyCNN,retention_1,auroc,2,800,0.0321331986243409,0.014393583876969087,0.19748145049623225
two_concepts,TinyCNN,retention_1,auroc,4,800,0.005294997177169991,0.0008211284194502036,0.0717668239446078
two_concepts,TinyCNN,retention_1,auroc,8,800,0.00021847479686420187,5.208352565674328e-05,0.00536993222260423
two_concepts,TinyCNN,retention_1,validation_patch,1,800,0.16399095054707963,0.12642874700941037,0.5810553455480095
two_concepts,TinyCNN,retention_1,validation_patch,2,800,0.03321754622742099,0.013915484314070331,0.2061091154013612
two_concepts,TinyCNN,retention_1,validation_patch,4,800,0.004908408131468935,0.0006989302536743465,0.06981495049294441
two_concepts,TinyCNN,retention_1,validation_patch,8,800,0.00028423916765704383,5.569015097942e-05,0.006855842442605345
two_concepts,TinyCNN,template_init,contrast,1,800,0.44898386272465357,0.3382904447173188,3.3868066802658636
two_concepts,TinyCNN,template_init,contrast,2,800,0.0440109179617926,0.02953674656347117,0.9921160694186829
two_concepts,TinyCNN,template_init,contrast,4,800,0.0016551582172001896,0.0011155256501603882,0.02206904656745053
two_concepts,TinyCNN,template_init,contrast,8,800,0.00029249150346787934,0.00010100930017131553,0.02565315321696751
two_concepts,TinyCNN,template_init,auroc,1,800,0.44263877244119415,0.33438598731694985,3.3868066802658636
two_concepts,TinyCNN,template_init,auroc,2,800,0.04103000712211484,0.027973365099842492,0.24754419612887102
two_concepts,TinyCNN,template_init,auroc,4,800,0.0016475086968035962,0.001099672323876593,0.02206904656745053
two_concepts,TinyCNN,template_init,auroc,8,800,0.00028914217098913457,0.00010097133243046103,0.02565315321696751
two_concepts,TinyCNN,template_init,validation_patch,1,800,0.3579032409300204,0.3495242352719016,1.869840168902375
two_concepts,TinyCNN,template_init,validation_patch,2,800,0.042965576165404765,0.029683486052806657,0.34846462679675627
two_concepts,TinyCNN,template_init,validation_patch,4,800,0.0019505879545734111,0.001066331030895433,0.041693898821544076
two_concepts,TinyCNN,template_init,validation_patch,8,800,0.00015282745407847165,0.00010152745250611035,0.0019930845411656826
two_concepts,TwoLayerCNN,release_default,contrast,1,800,0.2559533817446231,0.15620399925549439,1.3279175764671298
two_concepts,TwoLayerCNN,release_default,contrast,2,800,0.04871257578589697,0.016158271955699906,0.5622491062552288
two_concepts,TwoLayerCNN,release_default,contrast,4,800,0.004941561291762486,0.0006583830597266387,0.0883875069625152
two_concepts,TwoLayerCNN,release_default,contrast,8,800,8.949891003073621e-05,4.3132272957318416e-05,0.0013321768352128065
two_concepts,TwoLayerCNN,release_default,auroc,1,800,0.2844006062234787,0.1750715899726079,2.094493653069374
two_concepts,TwoLayerCNN,release_default,auroc,2,800,0.046821457708552075,0.014458750436148596,0.5622491062552288
two_concepts,TwoLayerCNN,release_default,auroc,4,800,0.0043759576880544136,0.0006957530030487823,0.0883875069625152
two_concepts,TwoLayerCNN,release_default,auroc,8,800,8.156815473184313e-05,4.210357499663058e-05,0.0013770489188951159
two_concepts,TwoLayerCNN,release_default,validation_patch,1,800,0.18584086352319457,0.15221457007094544,1.122562225322787
two_concepts,TwoLayerCNN,release_default,validation_patch,2,800,0.025707744758590157,0.012757918889278314,0.23727847199125765
two_concepts,TwoLayerCNN,release_default,validation_patch,4,800,0.002679611425754964,0.0005802196859983611,0.06304223924327568
two_concepts,TwoLayerCNN,release_default,validation_patch,8,800,0.00022606530318636437,4.721575182824777e-05,0.009808697398701235
two_concepts,TwoLayerCNN,release_early,contrast,1,800,0.2096522193840131,0.1443065037608946,1.2449747069578518
two_concepts,TwoLayerCNN,release_early,contrast,2,800,0.03184203505048996,0.014027692271960946,0.5152773955780505
two_concepts,TwoLayerCNN,release_early,contrast,4,800,0.001828849147927054,0.0005835422278415439,0.07344978337745382
two_concepts,TwoLayerCNN,release_early,contrast,8,800,0.00018256555691571543,4.18970940836998e-05,0.015735768199969385
two_concepts,TwoLayerCNN,release_early,auroc,1,800,0.2224026459356071,0.14126229030145684,2.4527720168917804
two_concepts,TwoLayerCNN,release_early,auroc,2,800,0.02922918543374026,0.013945670845136584,0.3326335995551143
two_concepts,TwoLayerCNN,release_early,auroc,4,800,0.001787251907449462,0.0005653123284690667,0.07344978337745382
two_concepts,TwoLayerCNN,release_early,auroc,8,800,0.00018421424076348818,4.1829046776196274e-05,0.015735768199969385
two_concepts,TwoLayerCNN,release_early,validation_patch,1,800,0.1932355969550465,0.1650489163654112,0.9773574601774021
two_concepts,TwoLayerCNN,release_early,validation_patch,2,800,0.02438984560408601,0.01342764642508729,0.17174905916244806
two_concepts,TwoLayerCNN,release_early,validation_patch,4,800,0.0018503785331729964,0.000559272758187746,0.056903488843069706
two_concepts,TwoLayerCNN,release_early,validation_patch,8,800,0.00012524143715448327,4.5949378033134266e-05,0.004180042010300149
two_concepts,TwoLayerCNN,release_late,contrast,1,800,0.38017321983355173,0.2530987660019178,1.8708871797153777
two_concepts,TwoLayerCNN,release_late,contrast,2,800,0.0937451757414232,0.02997291815753063,0.6034938857766652
two_concepts,TwoLayerCNN,release_late,contrast,4,800,0.010464750217917776,0.0009242966317470872,0.12271487886622788
two_concepts,TwoLayerCNN,release_late,contrast,8,800,7.184415115925459e-05,4.390280712260576e-05,0.0011998446625770573
two_concepts,TwoLayerCNN,release_late,auroc,1,800,0.3976581177336641,0.2530987660019178,2.0300123775457997
two_concepts,TwoLayerCNN,release_late,auroc,2,800,0.09940414573296341,0.029765069875811827,0.6034938857766652
two_concepts,TwoLayerCNN,release_late,auroc,4,800,0.010869895703568387,0.0009297660019401588,0.12271487886622788
two_concepts,TwoLayerCNN,release_late,auroc,8,800,7.559519008516348e-05,4.5407025496995134e-05,0.0011998446625770573
two_concepts,TwoLayerCNN,release_late,validation_patch,1,800,0.18790600907668314,0.149950002372617,1.1335715746639377
two_concepts,TwoLayerCNN,release_late,validation_patch,2,800,0.029791026901816814,0.013846176660871274,0.3553673003204764
