task,architecture,profile,method,k,metric,n,mean,sd,ci_low,ci_high
single_shape,TinyCNN,template_init,contrast,1,fidelity,50,-0.11484682424130123,0.033010162295774706,-0.1242282085651641,-0.10546543991743836
single_shape,TinyCNN,template_init,contrast,2,fidelity,50,-0.20854094698199993,0.07002803740922263,-0.22844269501023834,-0.18863919895376152
single_shape,TinyCNN,template_init,contrast,3,fidelity,50,-0.21826700355227943,0.0615754202500946,-0.2357665443631844,-0.20076746274137447
single_shape,TinyCNN,template_init,contrast,4,fidelity,50,-0.17880460018459313,0.06488243976608159,-0.19724398554300462,-0.16036521482618163
single_shape,TinyCNN,template_init,contrast,5,fidelity,50,-0.11452544336333145,0.056676758556601814,-0.1306327999248084,-0.09841808680185452
single_shape,TinyCNN,template_init,contrast,6,fidelity,50,-0.06703392093070086,0.05322772803944418,-0.08216107386469279,-0.05190676799670894
single_shape,TinyCNN,template_init,contrast,7,fidelity,50,-0.027061890968291848,0.05053733565857202,-0.04142444284759023,-0.01269933908899346
single_shape,TinyCNN,template_init,contrast,8,fidelity,50,-0.008511853344825961,0.04517104026972758,-0.021349320948953525,0.004325614259301603
single_shape,TinyCNN,template_init,contrast,9,fidelity,50,0.018123118934072487,0.032814068245845346,0.00879746392258096,0.02744877394556401
single_shape,TinyCNN,template_init,contrast,10,fidelity,50,0.02074575681834721,0.02501095504083821,0.013637722042795918,0.027853791593898503
single_shape,TinyCNN,template_init,contrast,11,fidelity,50,0.02175628805229075,0.017879588211051893,0.01667496530515128,0.02683761079943022
single_shape,TinyCNN,template_init,contrast,12,fidelity,50,0.016430734010946316,0.012349862374364052,0.012920941958347023,0.019940526063545606
single_shape,TinyCNN,template_init,contrast,13,fidelity,50,0.010089069842796911,0.007048297206095582,0.008085965940225209,0.012092173745368614
single_shape,TinyCNN,template_init,contrast,14,fidelity,50,0.0048788409025064365,0.002994697381997703,0.0040277573233813944,0.005729924481631479
single_shape,TinyCNN,template_init,contrast,15,fidelity,50,0.001499999571265198,0.0008222425389524264,0.0012663208272400933,0.0017336783152903028
single_shape,TinyCNN,template_init,contrast,16,fidelity,50,0.0,0.0,0.0,0.0
single_shape,TinyCNN,retention_0p1,contrast,1,fidelity,50,-0.0652176643512294,0.03664528877547953,-0.07563214018995365,-0.05480318851250515
single_shape,TinyCNN,retention_0p1,contrast,2,fidelity,50,-0.11006960423713527,0.06373641878856365,-0.12818329403740403,-0.09195591443686653
single_shape,TinyCNN,retention_0p1,contrast,3,fidelity,50,-0.11975340136108273,0.0634137951672461,-0.13777540254266438,-0.10173140017950108
single_shape,TinyCNN,retention_0p1,contrast,4,fidelity,50,-0.0902372029512096,0.060539838126697026,-0.10744243457903739,-0.07303197132338181
single_shape,TinyCNN,retention_0p1,contrast,5,fidelity,50,-0.04076631162845078,0.04651509702562833,-0.053985755936213124,-0.02754686732068843
single_shape,TinyCNN,retention_0p1,contrast,6,fidelity,50,-0.02736845053777932,0.038152542406492684,-0.03821128311887203,-0.01652561795668661
single_shape,TinyCNN,retention_0p1,contrast,7,fidelity,50,-0.022119784061991207,0.03937580130149669,-0.03331026297450124,-0.010929305149481181
single_shape,TinyCNN,retention_0p1,contrast,8,fidelity,50,-0.007623319235861736,0.03140864385346261,-0.016549557054401094,0.0013029185826776216
single_shape,TinyCNN,retention_0p1,contrast,9,fidelity,50,0.008948560209698647,0.02543754628624469,0.0017192895436208252,0.01617783087577647
single_shape,TinyCNN,retention_0p1,contrast,10,fidelity,50,0.013458355610758876,0.017762793310315828,0.008410225607146531,0.01850648561437122
single_shape,TinyCNN,retention_0p1,contrast,11,fidelity,50,0.012441353140377748,0.013778073020468419,0.00852566811317007,0.016357038167585426
single_shape,TinyCNN,retention_0p1,contrast,12,fidelity,50,0.009867378570437626,0.01134243801522626,0.0066438933528550955,0.013090863788020156
single_shape,TinyCNN,retention_0p1,contrast,13,fidelity,50,0.006890652270092034,0.007059138373743482,0.004884467341764897,0.008896837198419171
single_shape,TinyCNN,retention_0p1,contrast,14,fidelity,50,0.0036167875264530337,0.0033104780275126527,0.0026759600808462314,0.004557614972059836
