task,architecture,profile,method,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high,p_holm_within_setting
single_shape,TinyCNN,template_init,contrast,9.359523339161859,1.7284777962788536e-12,50,0.06803565884694104,0.05140056174855869,0.05342778082728657,0.08264353686659552,6.913911185115414e-12
single_shape,TinyCNN,retention_0p1,contrast,5.778025691178668,5.134365146141353e-07,50,0.038713373200646675,0.04737688992033307,0.02524901006212068,0.05217773633917267,5.134365146141353e-07
single_shape,TinyCNN,release_early,contrast,8.468534414478388,3.7035385561455943e-11,50,0.06855164778789598,0.05723934348009461,0.05228440636021309,0.08481888921557887,1.1110615668436782e-10
single_shape,TinyCNN,release_default,contrast,8.279912326210919,7.154028129139696e-11,50,0.07188896911159681,0.06139337658250641,0.05444116453858331,0.08933677368461032,1.4308056258279391e-10
single_shape,TinyCNN,release_late,contrast,10.310451057761146,7.224894452959381e-14,50,0.07954582671136703,0.05455376604533481,0.06404181794583316,0.0950498354769009,3.6124472264796906e-13
single_shape,TinyCNN,template_init,auroc,10.649052159459668,2.3949619067891393e-14,50,0.08500349585626851,0.05644309694843288,0.06896254518908326,0.10104444652345376,7.184885720367418e-14
single_shape,TinyCNN,retention_0p1,auroc,8.430463375703965,4.228856402420446e-11,50,0.05130024574970972,0.043028182472979515,0.039071771593192466,0.06352871990622698,4.228856402420446e-11
single_shape,TinyCNN,release_early,auroc,11.670062911992526,9.36487189178703e-16,50,0.09117776580186542,0.05524598879898413,0.0754770295064418,0.10687850209728902,3.745948756714812e-15
single_shape,TinyCNN,release_default,auroc,10.316875549278368,7.074171634544152e-14,50,0.08777128244044724,0.06015742722749149,0.07067473078768095,0.10486783409321353,1.4148343269088305e-13
single_shape,TinyCNN,release_late,auroc,12.032300685454564,3.062176516103151e-16,50,0.08665522060328104,0.050925002387838335,0.07218249505854485,0.10112794614801723,1.5310882580515754e-15
single_shape,TinyCNN,template_init,validation_patch,11.018882815152182,7.28926190452588e-15,50,0.08143761072916993,0.052260367730783505,0.06658537855303075,0.0962898429053091,1.6595979747213077e-14
single_shape,TinyCNN,retention_0p1,validation_patch,8.886897916120613,8.697207482294424e-12,50,0.05416651052103333,0.043098848736809664,0.04191795323454591,0.06641506780752074,8.697207482294424e-12
single_shape,TinyCNN,release_early,validation_patch,11.183195148866792,4.3209666749129944e-15,50,0.0807224151620645,0.05104030323626743,0.06621692147876877,0.09522790884536024,1.6595979747213077e-14
single_shape,TinyCNN,release_default,validation_patch,11.196002138470453,4.148994936803269e-15,50,0.07446472339870086,0.047029743495203884,0.06109901818259316,0.08783042861480855,1.6595979747213077e-14
single_shape,TinyCNN,release_late,validation_patch,12.641905959946092,4.848682007670264e-17,50,0.07299528889817183,0.04082886230771211,0.061391854616851926,0.08459872317949174,2.424341003835132e-16
single_shape,TwoLayerCNN,template_init,contrast,0.9849087716888997,0.32950734254168546,50,0.007621872551820801,0.05472057840941295,-0.007929543763041886,0.02317328886668349,0.9885220276250564
single_shape,TwoLayerCNN,retention_0p1,contrast,0.058105994988508956,0.9539005165503385,50,0.00031355066627630545,0.03815678613082554,-0.01053048796792739,0.011157589300480003,1.0
single_shape,TwoLayerCNN,release_early,contrast,0.004211614588115904,0.9966567277909515,50,3.14936980811853e-05,0.05287617613607484,-0.014995749290429636,0.015058736686592007,1.0
single_shape,TwoLayerCNN,release_default,contrast,-1.6081880112844957,0.11421916386301285,50,-0.01018095084226206,0.044764787008581025,-0.022902962547036887,0.0025410608625127656,0.4568766554520514
single_shape,TwoLayerCNN,release_late,contrast,-2.595652012537055,0.012423968731544855,50,-0.01236686454273066,0.033689777127069664,-0.02194139326459582,-0.002792335820865499,0.06211984365772427
single_shape,TwoLayerCNN,template_init,auroc,0.7924579250014279,0.4319138319589927,50,0.006759187282481694,0.06031193596485348,-0.010381275267589484,0.023899649832552872,0.8638276639179854
single_shape,TwoLayerCNN,retention_0p1,auroc,-1.3676626681781474,0.1776581127625152,50,-0.006624409681686483,0.034249417756778214,-0.016357986510722462,0.0031091671473494984,0.5329743382875456
single_shape,TwoLayerCNN,release_early,auroc,-0.5581827555250553,0.5792612817953777,50,-0.004605994907057459,0.05834881498313927,-0.021188544647167767,0.01197655483305285,0.8638276639179854
single_shape,TwoLayerCNN,release_default,auroc,-2.1467267986240923,0.03679130852361802,50,-0.014390878837476988,0.04740187721947673,-0.027862343287846945,-0.0009194143871070308,0.14716523409447207
single_shape,TwoLayerCNN,release_late,auroc,-3.4435111505418914,0.0011851235903775675,50,-0.01653849750596556,0.03396092890613912,-0.026190086710804337,-0.006886908301126784,0.005925617951887838
single_shape,TwoLayerCNN,template_init,validation_patch,-2.3940254449344764,0.02053659501873834,50,-0.023869869470732098,0.07050278686262824,-0.0439065398007767,-0.0038331991406874953,0.06160978505621502
