task,architecture,profile,method,k,metric,block,delta
single_shape,TinyCNN,template_init,contrast,2,fidelity,5019,-0.18039175027825327
single_shape,TinyCNN,template_init,contrast,2,fidelity,5020,-0.1508864885127713
single_shape,TinyCNN,template_init,contrast,2,fidelity,5021,-0.1491185200534012
single_shape,TinyCNN,template_init,contrast,2,fidelity,5022,-0.2518827915261014
single_shape,TinyCNN,template_init,contrast,2,fidelity,5023,-0.1974486359124623
single_shape,TinyCNN,template_init,contrast,2,fidelity,5024,-0.19390765416363243
single_shape,TinyCNN,template_init,contrast,2,fidelity,5025,-0.15086696904860641
single_shape,TinyCNN,template_init,contrast,2,fidelity,5026,-0.2456295641035886
single_shape,TinyCNN,template_init,contrast,2,fidelity,5027,-0.19638973067430066
single_shape,TinyCNN,template_init,contrast,2,fidelity,5028,-0.24649415504000038
single_shape,TinyCNN,template_init,contrast,2,fidelity,5029,-0.303191678274919
single_shape,TinyCNN,template_init,contrast,2,fidelity,5030,-0.2784496393376579
single_shape,TinyCNN,template_init,contrast,2,fidelity,5031,-0.2156834038216996
single_shape,TinyCNN,template_init,contrast,2,fidelity,5032,-0.02338061889589249
single_shape,TinyCNN,template_init,contrast,2,fidelity,5033,-0.15245906556890398
single_shape,TinyCNN,template_init,contrast,2,fidelity,5034,-0.3448976924279422
single_shape,TinyCNN,template_init,contrast,2,fidelity,5035,-0.3227951599062425
single_shape,TinyCNN,template_init,contrast,2,fidelity,5036,-0.28331166935669483
single_shape,TinyCNN,template_init,contrast,2,fidelity,5037,-0.2597877932747149
single_shape,TinyCNN,template_init,contrast,2,fidelity,5038,-0.2717198022430053
single_shape,TinyCNN,template_init,contrast,2,fidelity,5039,-0.17295385949731823
single_shape,TinyCNN,template_init,contrast,2,fidelity,5040,-0.1403764990731503
single_shape,TinyCNN,template_init,contrast,2,fidelity,5041,-0.21046012770793865
single_shape,TinyCNN,template_init,contrast,2,fidelity,5042,-0.13554866268640953
single_shape,TinyCNN,template_init,contrast,2,fidelity,5043,-0.2214012776354819
single_shape,TinyCNN,template_init,contrast,2,fidelity,5044,-0.16252987860502455
single_shape,TinyCNN,template_init,contrast,2,fidelity,5045,-0.2143887410901516
single_shape,TinyCNN,template_init,contrast,2,fidelity,5046,-0.15505030725255653
single_shape,TinyCNN,template_init,contrast,2,fidelity,5047,-0.1601927208556997
single_shape,TinyCNN,template_init,contrast,2,fidelity,5048,-0.18344642206665285
single_shape,TinyCNN,template_init,contrast,2,fidelity,5049,-0.1796483088297144
single_shape,TinyCNN,template_init,contrast,3,fidelity,5000,-0.29649098772231175
single_shape,TinyCNN,template_init,contrast,3,fidelity,5001,-0.14734291928057885
single_shape,TinyCNN,template_init,contrast,3,fidelity,5002,-0.13085338483674924
single_shape,TinyCNN,template_init,contrast,3,fidelity,5003,-0.2537564517982185
single_shape,TinyCNN,template_init,contrast,3,fidelity,5004,-0.255488371603669
single_shape,TinyCNN,template_init,contrast,3,fidelity,5005,-0.168955176235979
single_shape,TinyCNN,template_init,contrast,3,fidelity,5006,-0.15390663142804384
single_shape,TinyCNN,template_init,contrast,3,fidelity,5007,-0.28321787006884835
single_shape,TinyCNN,template_init,contrast,3,fidelity,5008,-0.20238958118737227
single_shape,TinyCNN,template_init,contrast,3,fidelity,5009,-0.17753849749323636
single_shape,TinyCNN,template_init,contrast,3,fidelity,5010,-0.12557825581059
single_shape,TinyCNN,template_init,contrast,3,fidelity,5011,-0.14785287144493386
single_shape,TinyCNN,template_init,contrast,3,fidelity,5012,-0.2864766581842053
single_shape,TinyCNN,template_init,contrast,3,fidelity,5013,-0.2638164307433897
single_shape,TinyCNN,template_init,contrast,3,fidelity,5014,-0.23187432672023123
single_shape,TinyCNN,template_init,contrast,3,fidelity,5015,-0.3481069983671251
single_shape,TinyCNN,template_init,contrast,3,fidelity,5016,-0.19720282903177688
single_shape,TinyCNN,template_init,contrast,3,fidelity,5017,-0.1837011007681385
single_shape,TinyCNN,template_init,contrast,3,fidelity,5018,-0.1944169521529464
single_shape,TinyCNN,template_init,contrast,3,fidelity,5019,-0.22674649587058648
single_shape,TinyCNN,template_init,contrast,3,fidelity,5020,-0.23758876654814332
single_shape,TinyCNN,template_init,contrast,3,fidelity,5021,-0.06793609816038992
single_shape,TinyCNN,template_init,contrast,3,fidelity,5022,-0.1754757162277235
single_shape,TinyCNN,template_init,contrast,3,fidelity,5023,-0.2628864964917419
single_shape,TinyCNN,template_init,contrast,3,fidelity,5024,-0.27857651812713
single_shape,TinyCNN,template_init,contrast,3,fidelity,5025,-0.1437484175541286
single_shape,TinyCNN,template_init,contrast,3,fidelity,5026,-0.2973328784744925
single_shape,TinyCNN,template_init,contrast,3,fidelity,5027,-0.16078003200038404
single_shape,TinyCNN,template_init,contrast,3,fidelity,5028,-0.2645653198925232
single_shape,TinyCNN,template_init,contrast,3,fidelity,5029,-0.3131765652329367
single_shape,TinyCNN,template_init,contrast,3,fidelity,5030,-0.293595102583582
single_shape,TinyCNN,template_init,contrast,3,fidelity,5031,-0.23003618344643273
single_shape,TinyCNN,template_init,contrast,3,fidelity,5032,-0.16960786218735546
single_shape,TinyCNN,template_init,contrast,3,fidelity,5033,-0.23618568888706726
single_shape,TinyCNN,template_init,contrast,3,fidelity,5034,-0.218852715778329
single_shape,TinyCNN,template_init,contrast,3,fidelity,5035,-0.24697900126321826
single_shape,TinyCNN,template_init,contrast,3,fidelity,5036,-0.28795231114871433
single_shape,TinyCNN,template_init,contrast,3,fidelity,5037,-0.15801549593618125
single_shape,TinyCNN,template_init,contrast,3,fidelity,5038,-0.25806991931783874
single_shape,TinyCNN,template_init,contrast,3,fidelity,5039,-0.23908612091288517
single_shape,TinyCNN,template_init,contrast,3,fidelity,5040,-0.1815708064728475
single_shape,TinyCNN,template_init,contrast,3,fidelity,5041,-0.28096396076583674
single_shape,TinyCNN,template_init,contrast,3,fidelity,5042,-0.20044072526698253
single_shape,TinyCNN,template_init,contrast,3,fidelity,5043,-0.34534659741895013
single_shape,TinyCNN,template_init,contrast,3,fidelity,5044,-0.18038289539918928
single_shape,TinyCNN,template_init,contrast,3,fidelity,5045,-0.16038023078622388
single_shape,TinyCNN,template_init,contrast,3,fidelity,5046,-0.16614859857459652
single_shape,TinyCNN,template_init,contrast,3,fidelity,5047,-0.14106789319255442
single_shape,TinyCNN,template_init,contrast,3,fidelity,5048,-0.20803559391929283
single_shape,TinyCNN,template_init,contrast,3,fidelity,5049,-0.23285287489736917
single_shape,TinyCNN,template_init,contrast,4,fidelity,5000,-0.29454087760045633
single_shape,TinyCNN,template_init,contrast,4,fidelity,5001,-0.17171360200271724
single_shape,TinyCNN,template_init,contrast,4,fidelity,5002,-0.13829243085517562
single_shape,TinyCNN,template_init,contrast,4,fidelity,5003,-0.2272434595010221
single_shape,TinyCNN,template_init,contrast,4,fidelity,5004,-0.21784649104764153
single_shape,TinyCNN,template_init,contrast,4,fidelity,5005,-0.17794573493255184
single_shape,TinyCNN,template_init,contrast,4,fidelity,5006,-0.1624793053576432
single_shape,TinyCNN,template_init,contrast,4,fidelity,5007,-0.16108602721154797
single_shape,TinyCNN,template_init,contrast,4,fidelity,5008,-0.11231339216263758
single_shape,TinyCNN,template_init,contrast,4,fidelity,5009,-0.22543517815603487
single_shape,TinyCNN,template_init,contrast,4,fidelity,5010,-0.08347605213661602
single_shape,TinyCNN,template_init,contrast,4,fidelity,5011,-0.16198075449284977
single_shape,TinyCNN,template_init,contrast,4,fidelity,5012,-0.10346026876969672
single_shape,TinyCNN,template_init,contrast,4,fidelity,5013,-0.1798881366069065
single_shape,TinyCNN,template_init,contrast,4,fidelity,5014,-0.18824428208413835
single_shape,TinyCNN,template_init,contrast,4,fidelity,5015,-0.3545053586043784
single_shape,TinyCNN,template_init,contrast,4,fidelity,5016,-0.1978315549025742
single_shape,TinyCNN,template_init,contrast,4,fidelity,5017,-0.17765764621022373
single_shape,TinyCNN,template_init,contrast,4,fidelity,5018,-0.2686601018831153
single_shape,TinyCNN,template_init,contrast,4,fidelity,5019,-0.18987026478813984
single_shape,TinyCNN,template_init,contrast,4,fidelity,5020,-0.1619591746978919
single_shape,TinyCNN,template_init,contrast,4,fidelity,5021,-0.0846865885048591
single_shape,TinyCNN,template_init,contrast,4,fidelity,5022,-0.19135943696654323
single_shape,TinyCNN,template_init,contrast,4,fidelity,5023,-0.11549750908134371
single_shape,TinyCNN,template_init,contrast,4,fidelity,5024,-0.1489088677322833
single_shape,TinyCNN,template_init,contrast,4,fidelity,5025,-0.0641651882754034
single_shape,TinyCNN,template_init,contrast,4,fidelity,5026,-0.22433901167269998
single_shape,TinyCNN,template_init,contrast,4,fidelity,5027,-0.05881434912801087
single_shape,TinyCNN,template_init,contrast,4,fidelity,5028,-0.197039671700464
single_shape,TinyCNN,template_init,contrast,4,fidelity,5029,-0.14417012318173517
single_shape,TinyCNN,template_init,contrast,4,fidelity,5030,-0.20135349346907738
single_shape,TinyCNN,template_init,contrast,4,fidelity,5031,-0.18563760950575514
single_shape,TinyCNN,template_init,contrast,4,fidelity,5032,-0.2426745869195578
single_shape,TinyCNN,template_init,contrast,4,fidelity,5033,-0.22134224646937184
single_shape,TinyCNN,template_init,contrast,4,fidelity,5034,-0.12726728495251782
