task,architecture,profile,method,block,B
single_shape,TinyCNN,retention_0p1,contrast,5033,0.00888298653656644
single_shape,TinyCNN,retention_0p1,contrast,5034,0.09979486178004554
single_shape,TinyCNN,retention_0p1,contrast,5035,0.13832342273141407
single_shape,TinyCNN,retention_0p1,contrast,5036,0.06606399797759516
single_shape,TinyCNN,retention_0p1,contrast,5037,0.12762010173163496
single_shape,TinyCNN,retention_0p1,contrast,5038,0.0956278292234386
single_shape,TinyCNN,retention_0p1,contrast,5039,0.08077191195757472
single_shape,TinyCNN,retention_0p1,contrast,5040,-0.006987527650040015
single_shape,TinyCNN,retention_0p1,contrast,5041,0.0013791587665033522
single_shape,TinyCNN,retention_0p1,contrast,5042,0.05226971295303373
single_shape,TinyCNN,retention_0p1,contrast,5043,-0.0469633862517988
single_shape,TinyCNN,retention_0p1,contrast,5044,0.0006289171770562652
single_shape,TinyCNN,retention_0p1,contrast,5045,0.07156872834509348
single_shape,TinyCNN,retention_0p1,contrast,5046,0.01640815636693732
single_shape,TinyCNN,retention_0p1,contrast,5047,0.04932643495372446
single_shape,TinyCNN,retention_0p1,contrast,5048,-0.02901653820626421
single_shape,TinyCNN,retention_0p1,contrast,5049,0.017639759777499264
single_shape,TinyCNN,release_early,contrast,5000,0.1495189321402135
single_shape,TinyCNN,release_early,contrast,5001,0.025742200847105046
single_shape,TinyCNN,release_early,contrast,5002,0.06396061111000612
single_shape,TinyCNN,release_early,contrast,5003,-0.020412627449314713
single_shape,TinyCNN,release_early,contrast,5004,0.09555127430794841
single_shape,TinyCNN,release_early,contrast,5005,0.017446683844698385
single_shape,TinyCNN,release_early,contrast,5006,0.027453774489217708
single_shape,TinyCNN,release_early,contrast,5007,0.1906567372027036
single_shape,TinyCNN,release_early,contrast,5008,0.02679808859121996
single_shape,TinyCNN,release_early,contrast,5009,0.10359841369431733
single_shape,TinyCNN,release_early,contrast,5010,0.07263638230378078
single_shape,TinyCNN,release_early,contrast,5011,0.009908110732631092
single_shape,TinyCNN,release_early,contrast,5012,0.0527947315282945
single_shape,TinyCNN,release_early,contrast,5013,0.07374262385265734
single_shape,TinyCNN,release_early,contrast,5014,0.03845288944834374
single_shape,TinyCNN,release_early,contrast,5015,0.06195935060227564
single_shape,TinyCNN,release_early,contrast,5016,0.13707153246484527
single_shape,TinyCNN,release_early,contrast,5017,0.043902601681306774
single_shape,TinyCNN,release_early,contrast,5018,0.16737554587383902
single_shape,TinyCNN,release_early,contrast,5019,0.02888862542616466
single_shape,TinyCNN,release_early,contrast,5020,0.08690674433345086
single_shape,TinyCNN,release_early,contrast,5021,0.13614584205417601
single_shape,TinyCNN,release_early,contrast,5022,0.11936982681499997
single_shape,TinyCNN,release_early,contrast,5023,0.02101929955931836
single_shape,TinyCNN,release_early,contrast,5024,0.046173875427300004
single_shape,TinyCNN,release_early,contrast,5025,0.08269595771818278
single_shape,TinyCNN,release_early,contrast,5026,0.06170222280448234
single_shape,TinyCNN,release_early,contrast,5027,0.011489175557040543
single_shape,TinyCNN,release_early,contrast,5028,0.08135695153061773
single_shape,TinyCNN,release_early,contrast,5029,0.07576970295721569
single_shape,TinyCNN,release_early,contrast,5030,0.0913475191819233
single_shape,TinyCNN,release_early,contrast,5031,0.0781778434815002
single_shape,TinyCNN,release_early,contrast,5032,-0.020050970055090045
single_shape,TinyCNN,release_early,contrast,5033,0.04042355193802466
single_shape,TinyCNN,release_early,contrast,5034,0.12974414368984566
single_shape,TinyCNN,release_early,contrast,5035,0.2396133790324534
single_shape,TinyCNN,release_early,contrast,5036,0.10096206015151421
single_shape,TinyCNN,release_early,contrast,5037,0.10699289021058217
single_shape,TinyCNN,release_early,contrast,5038,0.0700955222359469
single_shape,TinyCNN,release_early,contrast,5039,0.08051764386952526
single_shape,TinyCNN,release_early,contrast,5040,-0.04536960351874131
single_shape,TinyCNN,release_early,contrast,5041,0.0403448977972381
single_shape,TinyCNN,release_early,contrast,5042,0.07133283701240906
single_shape,TinyCNN,release_early,contrast,5043,0.02193721752648975
single_shape,TinyCNN,release_early,contrast,5044,0.04096439477057523
single_shape,TinyCNN,release_early,contrast,5045,0.13088213429735873
single_shape,TinyCNN,release_early,contrast,5046,-0.010205140161918425
single_shape,TinyCNN,release_early,contrast,5047,0.14417016590744713
single_shape,TinyCNN,release_early,contrast,5048,-0.0215642510522836
single_shape,TinyCNN,release_early,contrast,5049,0.04759007163096002
single_shape,TinyCNN,release_default,contrast,5000,0.1428147028547826
single_shape,TinyCNN,release_default,contrast,5001,0.029009288157991087
single_shape,TinyCNN,release_default,contrast,5002,0.039038941969575636
single_shape,TinyCNN,release_default,contrast,5003,0.1714997926704354
single_shape,TinyCNN,release_default,contrast,5004,0.1286802252737922
single_shape,TinyCNN,release_default,contrast,5005,-0.005554238331240635
single_shape,TinyCNN,release_default,contrast,5006,0.010203350536979627
single_shape,TinyCNN,release_default,contrast,5007,0.18253180795084756
single_shape,TinyCNN,release_default,contrast,5008,0.09251250754946144
single_shape,TinyCNN,release_default,contrast,5009,0.09796397469056922
single_shape,TinyCNN,release_default,contrast,5010,0.032210015964205474
single_shape,TinyCNN,release_default,contrast,5011,0.0177269660346151
single_shape,TinyCNN,release_default,contrast,5012,0.03755239026580365
single_shape,TinyCNN,release_default,contrast,5013,0.051922555515331814
single_shape,TinyCNN,release_default,contrast,5014,-0.04580020741199736
single_shape,TinyCNN,release_default,contrast,5015,0.11612164409271847
single_shape,TinyCNN,release_default,contrast,5016,0.1214450206712166
single_shape,TinyCNN,release_default,contrast,5017,0.035781767196192305
single_shape,TinyCNN,release_default,contrast,5018,0.1705952386077748
single_shape,TinyCNN,release_default,contrast,5019,0.06279731659873466
single_shape,TinyCNN,release_default,contrast,5020,0.07211502456496766
single_shape,TinyCNN,release_default,contrast,5021,0.10924240469419721
single_shape,TinyCNN,release_default,contrast,5022,0.1557033063765707
single_shape,TinyCNN,release_default,contrast,5023,0.00699158796588073
single_shape,TinyCNN,release_default,contrast,5024,0.024649058882055486
single_shape,TinyCNN,release_default,contrast,5025,0.10163549085304424
single_shape,TinyCNN,release_default,contrast,5026,0.07531975219190379
single_shape,TinyCNN,release_default,contrast,5027,0.03965724118877828
single_shape,TinyCNN,release_default,contrast,5028,0.0435519989815652
