task,architecture,block,condition,epoch,train_ce,retention_penalty,train_acc,val_ce,val_acc
single_shape,TinyCNN,block00,frozen_spectrum,5,1.3905897736549377,0.0,0.25,1.3826682567596436,0.25
single_shape,TinyCNN,block00,frozen_spectrum,6,1.3808648884296417,0.0,0.21484375,1.3715392351150513,0.1171875
single_shape,TinyCNN,block00,frozen_spectrum,7,1.370752990245819,0.0,0.1171875,1.3623442649841309,0.15625
single_shape,TinyCNN,block00,frozen_spectrum,8,1.3619000613689423,0.0,0.125,1.354017734527588,0.1328125
single_shape,TinyCNN,block00,frozen_spectrum,9,1.3543826341629028,0.0,0.111328125,1.3459833860397339,0.125
single_shape,TinyCNN,block00,frozen_spectrum,10,1.346981257200241,0.0,0.12109375,1.3372703790664673,0.08984375
single_shape,TinyCNN,block00,frozen_spectrum,11,1.3390133380889893,0.0,0.087890625,1.328420639038086,0.0703125
single_shape,TinyCNN,block00,frozen_spectrum,12,1.3299942910671234,0.0,0.083984375,1.3196258544921875,0.11328125
single_shape,TinyCNN,block00,frozen_spectrum,13,1.3228792548179626,0.0,0.12109375,1.311000943183899,0.1953125
single_shape,TinyCNN,block00,frozen_spectrum,14,1.3142508566379547,0.0,0.15234375,1.3022141456604004,0.171875
single_shape,TinyCNN,block00,frozen_spectrum,15,1.3062557578086853,0.0,0.185546875,1.2938742637634277,0.3046875
single_shape,TinyCNN,block00,frozen_spectrum,16,1.2978810966014862,0.0,0.263671875,1.285489559173584,0.33984375
single_shape,TinyCNN,block00,frozen_spectrum,17,1.2897906005382538,0.0,0.29296875,1.2770835161209106,0.37109375
single_shape,TinyCNN,block00,frozen_spectrum,18,1.2819712460041046,0.0,0.337890625,1.2684016227722168,0.40234375
single_shape,TinyCNN,block00,frozen_spectrum,19,1.2742974162101746,0.0,0.3984375,1.259992241859436,0.47265625
single_shape,TinyCNN,block00,frozen_spectrum,20,1.2662720680236816,0.0,0.451171875,1.25175940990448,0.55078125
single_shape,TinyCNN,block00,frozen_spectrum,21,1.2583759427070618,0.0,0.529296875,1.2435760498046875,0.6171875
single_shape,TinyCNN,block00,frozen_spectrum,22,1.2510486841201782,0.0,0.58984375,1.2356908321380615,0.63671875
single_shape,TinyCNN,block00,frozen_spectrum,23,1.2426650822162628,0.0,0.640625,1.22701895236969,0.66015625
single_shape,TinyCNN,block00,frozen_spectrum,24,1.235312670469284,0.0,0.677734375,1.2186713218688965,0.7265625
single_shape,TinyCNN,block00,frozen_spectrum,25,1.226980060338974,0.0,0.72265625,1.210573434829712,0.734375
single_shape,TinyCNN,block00,frozen_spectrum,26,1.2196707725524902,0.0,0.73046875,1.2026461362838745,0.74609375
single_shape,TinyCNN,block00,frozen_spectrum,27,1.2117820978164673,0.0,0.734375,1.1946717500686646,0.76171875
single_shape,TinyCNN,block00,frozen_spectrum,28,1.2042847275733948,0.0,0.75,1.186740517616272,0.765625
single_shape,TinyCNN,block00,frozen_spectrum,29,1.1966416537761688,0.0,0.779296875,1.1791292428970337,0.75390625
single_shape,TinyCNN,block00,frozen_spectrum,30,1.1891343593597412,0.0,0.791015625,1.1713179349899292,0.78125
single_shape,TinyCNN,block00,frozen_spectrum,31,1.1824612319469452,0.0,0.79296875,1.16365647315979,0.7734375
single_shape,TinyCNN,block00,frozen_spectrum,32,1.1743469834327698,0.0,0.80078125,1.1557281017303467,0.80859375
single_shape,TinyCNN,block00,frozen_spectrum,33,1.1676189303398132,0.0,0.830078125,1.1479922533035278,0.85546875
single_shape,TinyCNN,block00,frozen_spectrum,34,1.1602794229984283,0.0,0.8515625,1.1404143571853638,0.84765625
single_shape,TinyCNN,block00,frozen_spectrum,35,1.1529322862625122,0.0,0.859375,1.132915735244751,0.86328125
single_shape,TinyCNN,block00,frozen_spectrum,36,1.146328181028366,0.0,0.865234375,1.1255841255187988,0.8203125
single_shape,TinyCNN,block00,frozen_spectrum,37,1.139133781194687,0.0,0.873046875,1.118294596672058,0.86328125
single_shape,TinyCNN,block00,frozen_spectrum,38,1.1321515440940857,0.0,0.876953125,1.1109932661056519,0.88671875
single_shape,TinyCNN,block00,frozen_spectrum,39,1.1247819364070892,0.0,0.875,1.1037710905075073,0.859375
single_shape,TinyCNN,block00,frozen_spectrum,40,1.1179986894130707,0.0,0.88671875,1.096662998199463,0.84765625
single_shape,TinyCNN,block00,frozen_templates,1,1.4489188194274902,0.0,0.25,1.4103350639343262,0.25
single_shape,TinyCNN,block00,frozen_templates,2,1.397013634443283,0.0,0.25,1.3751718997955322,0.23828125
single_shape,TinyCNN,block00,frozen_templates,3,1.3714014291763306,0.0,0.21484375,1.3688950538635254,0.2578125
single_shape,TinyCNN,block00,frozen_templates,4,1.3704504370689392,0.0,0.251953125,1.3670214414596558,0.25
single_shape,TinyCNN,block00,frozen_templates,5,1.3656200170516968,0.0,0.25,1.3599215745925903,0.25
single_shape,TinyCNN,block00,frozen_templates,6,1.357369750738144,0.0,0.25,1.34844970703125,0.25
single_shape,TinyCNN,block00,frozen_templates,7,1.346854031085968,0.0,0.25,1.338322401046753,0.25
single_shape,TinyCNN,block00,frozen_templates,8,1.3378191590309143,0.0,0.240234375,1.3301581144332886,0.23828125
single_shape,TinyCNN,block00,frozen_templates,9,1.3310070633888245,0.0,0.24609375,1.3226687908172607,0.21875
single_shape,TinyCNN,block00,frozen_templates,10,1.324196606874466,0.0,0.265625,1.3145734071731567,0.2421875
single_shape,TinyCNN,block00,frozen_templates,11,1.3166154623031616,0.0,0.27734375,1.3062219619750977,0.26953125
single_shape,TinyCNN,block00,frozen_templates,12,1.3081172406673431,0.0,0.29296875,1.2981611490249634,0.28515625
single_shape,TinyCNN,block00,frozen_templates,13,1.301719069480896,0.0,0.271484375,1.2905460596084595,0.28125
single_shape,TinyCNN,block00,frozen_templates,14,1.2933516204357147,0.0,0.287109375,1.2823935747146606,0.296875
single_shape,TinyCNN,block00,frozen_templates,15,1.2858760952949524,0.0,0.328125,1.274337649345398,0.30859375
single_shape,TinyCNN,block00,frozen_templates,16,1.2780094146728516,0.0,0.33984375,1.2665797472000122,0.30859375
single_shape,TinyCNN,block00,frozen_templates,17,1.270363062620163,0.0,0.3515625,1.2588558197021484,0.3203125
single_shape,TinyCNN,block00,frozen_templates,18,1.2629304826259613,0.0,0.375,1.2505288124084473,0.3984375
single_shape,TinyCNN,block00,frozen_templates,19,1.2554588317871094,0.0,0.4296875,1.242629885673523,0.40625
single_shape,TinyCNN,block00,frozen_templates,20,1.2479689717292786,0.0,0.45703125,1.234731912612915,0.45703125
single_shape,TinyCNN,block00,frozen_templates,21,1.2403647601604462,0.0,0.501953125,1.2269890308380127,0.55078125
single_shape,TinyCNN,block00,frozen_templates,22,1.2331700026988983,0.0,0.6484375,1.219112753868103,0.75390625
single_shape,TinyCNN,block00,frozen_templates,23,1.2250543534755707,0.0,0.765625,1.2110304832458496,0.765625
single_shape,TinyCNN,block00,frozen_templates,24,1.217975914478302,0.0,0.787109375,1.2030960321426392,0.79296875
single_shape,TinyCNN,block00,frozen_templates,25,1.209982305765152,0.0,0.802734375,1.1954554319381714,0.7890625
single_shape,TinyCNN,block00,frozen_templates,26,1.2027637362480164,0.0,0.78515625,1.1880040168762207,0.765625
single_shape,TinyCNN,block00,frozen_templates,27,1.195132464170456,0.0,0.783203125,1.1803299188613892,0.78515625
single_shape,TinyCNN,block00,frozen_templates,28,1.1878798007965088,0.0,0.80078125,1.1726123094558716,0.8125
single_shape,TinyCNN,block00,frozen_templates,29,1.18035888671875,0.0,0.826171875,1.1649655103683472,0.828125
single_shape,TinyCNN,block00,frozen_templates,30,1.1729570925235748,0.0,0.837890625,1.1573518514633179,0.8359375
single_shape,TinyCNN,block00,frozen_templates,31,1.1661948561668396,0.0,0.853515625,1.1496981382369995,0.8671875
single_shape,TinyCNN,block00,frozen_templates,32,1.158390074968338,0.0,0.869140625,1.1420085430145264,0.87890625
single_shape,TinyCNN,block00,frozen_templates,33,1.151502788066864,0.0,0.876953125,1.1346044540405273,0.87109375
single_shape,TinyCNN,block00,frozen_templates,34,1.1442663371562958,0.0,0.875,1.1272050142288208,0.87109375
single_shape,TinyCNN,block00,frozen_templates,35,1.1369405090808868,0.0,0.876953125,1.1197876930236816,0.87109375
single_shape,TinyCNN,block00,frozen_templates,36,1.1302613317966461,0.0,0.89453125,1.1122435331344604,0.87109375
single_shape,TinyCNN,block00,frozen_templates,37,1.1231301724910736,0.0,0.900390625,1.105225920677185,0.87890625
single_shape,TinyCNN,block00,frozen_templates,38,1.1159536242485046,0.0,0.900390625,1.097756028175354,0.89453125
single_shape,TinyCNN,block00,frozen_templates,39,1.1086163818836212,0.0,0.900390625,1.0905686616897583,0.8828125
single_shape,TinyCNN,block00,frozen_templates,40,1.1017330884933472,0.0,0.90234375,1.0834462642669678,0.87890625
single_shape,TinyCNN,block00,random,1,1.3599716126918793,0.0,0.267578125,1.3162744045257568,0.41796875
single_shape,TinyCNN,block00,random,2,1.3012819290161133,0.0,0.517578125,1.260818600654602,0.63671875
single_shape,TinyCNN,block00,random,3,1.250031590461731,0.0,0.65625,1.2089827060699463,0.671875
single_shape,TinyCNN,block00,random,4,1.1998502314090729,0.0,0.681640625,1.156428575515747,0.6875
single_shape,TinyCNN,block00,random,5,1.1488529443740845,0.0,0.7109375,1.0997594594955444,0.77734375
single_shape,TinyCNN,block00,random,6,1.092617690563202,0.0,0.794921875,1.0378166437149048,0.85546875
single_shape,TinyCNN,block00,random,7,1.0314447730779648,0.0,0.85546875,0.9714553952217102,0.875
single_shape,TinyCNN,block00,random,8,0.9659973829984665,0.0,0.896484375,0.9004945755004883,0.9140625
single_shape,TinyCNN,block00,random,9,0.8957884162664413,0.0,0.927734375,0.8247364163398743,0.9609375
single_shape,TinyCNN,block00,random,10,0.8220347911119461,0.0,0.95703125,0.7451345324516296,0.984375
single_shape,TinyCNN,block00,random,11,0.744745522737503,0.0,0.98828125,0.6653085947036743,0.9921875
single_shape,TinyCNN,block00,random,12,0.6673233658075333,0.0,0.99609375,0.588045597076416,0.99609375
single_shape,TinyCNN,block00,random,13,0.5932281464338303,0.0,1.0,0.5154346823692322,1.0
single_shape,TinyCNN,block00,random,14,0.5228546038269997,0.0,1.0,0.44863763451576233,1.0
single_shape,TinyCNN,block00,random,15,0.45768681913614273,0.0,1.0,0.38827773928642273,1.0
single_shape,TinyCNN,block00,random,16,0.39784451574087143,0.0,1.0,0.3347388207912445,1.0
single_shape,TinyCNN,block00,random,17,0.34523869305849075,0.0,1.0,0.2880396544933319,1.0
single_shape,TinyCNN,block00,random,18,0.29954784363508224,0.0,1.0,0.24791361391544342,1.0
single_shape,TinyCNN,block00,random,19,0.2595095932483673,0.0,1.0,0.2135227620601654,1.0
