task,architecture,condition,metric,n,mean,sd,lo,hi
single_shape,TinyCNN,frozen_random_unitnorm,id_acc,10,0.743359375,0.12680513543213384,0.6526484456538364,0.8340703043461637
single_shape,TinyCNN,frozen_random_unitnorm,alignment,10,0.152958054032789,0.01624341265311404,0.1413382166145655,0.1645778914510125
single_shape,TinyCNN,frozen_random_unitnorm,semantic_auc,10,0.86243896484375,0.019160330661153597,0.8487324899842736,0.8761454397032264
single_shape,TinyCNN,frozen_random_unitnorm,localization_iou,10,0.23866851463964242,0.08087930403471406,0.18081094594687913,0.2965260833324057
single_shape,TinyCNN,frozen_random_unitnorm,fidelity_selected,10,0.5469389549379149,0.09001180455866002,0.4825483889264047,0.611329520949425
single_shape,TinyCNN,frozen_random_unitnorm,fidelity_random,10,0.2876170445980334,0.050402672568002745,0.2515611446962436,0.3236729444998232
single_shape,TinyCNN,frozen_random_unitnorm,causal_usefulness,10,0.2593219103398815,0.06664764075641272,0.21164506025695173,0.30699876042281127
single_shape,TinyCNN,frozen_random_unitnorm,cf_accuracy,10,0.4472656279802322,0.06416054848918593,0.40136793652649333,0.4931633194339711
single_shape,TinyCNN,frozen_random_unitnorm,cf_accuracy_random,10,0.1996419264934957,0.023781245738276256,0.182629848121614,0.21665400486537742
single_shape,TinyCNN,frozen_random_unitnorm,refit_test_acc,10,0.962109375,0.024363228327363554,0.9446809713638498,0.9795377786361503
single_shape,TinyCNN,frozen_random_unitnorm,nuisance_acc,10,0.748046875,0.12699485158288515,0.6572002308952188,0.8388935191047812
single_shape,TinyCNN,frozen_random_unitnorm,nuisance_prediction_stability,10,0.8484375,0.05045635920305565,0.8123431949930657,0.8845318050069342
single_shape,TinyCNN,frozen_random_unitnorm,nuisance_probability_l2,10,0.0006617723265662789,0.00022082645724119215,0.0005038025953538533,0.0008197420577787046
single_shape,TinyCNN,frozen_random_unitnorm,drift_l2,10,0.0,0.0,0.0,0.0
single_shape,TinyCNN,frozen_random_unitnorm,selected_kernel_alignment,10,0.1545470248360479,0.024388823487497224,0.13710031152533614,0.17199373814675967
single_shape,TinyCNN,frozen_random_unitnorm,best_semantic_kernel_alignment,10,0.16284833841220123,0.05116642710371168,0.1262460814288121,0.19945059539559035
single_shape,TinyCNN,frozen_random_unitnorm,input_effect_mean_square,10,0.014497444902857145,0.005756890854106834,0.010379213273350708,0.01861567653236358
single_shape,TinyCNN,frozen_random_unitnorm,counterfactual_agreement,10,0.465625,0.037713989425969985,0.43864603721176115,0.49260396278823887
single_shape,TinyCNN,frozen_spectrum,id_acc,10,0.829296875,0.06904848596188386,0.7799025637191275,0.8786911862808726
single_shape,TinyCNN,frozen_spectrum,alignment,10,0.416145708848868,0.09222029273201203,0.35017528557075683,0.4821161321269791
single_shape,TinyCNN,frozen_spectrum,semantic_auc,10,0.849530029296875,0.022750255445652668,0.8332554769508286,0.8658045816429215
single_shape,TinyCNN,frozen_spectrum,localization_iou,10,0.2489981019301914,0.13871567719043149,0.14976688428316698,0.3482293195772158
single_shape,TinyCNN,frozen_spectrum,fidelity_selected,10,0.6014938885340249,0.11260063096443641,0.5209442495549708,0.682043527513079
single_shape,TinyCNN,frozen_spectrum,fidelity_random,10,0.3054725296439402,0.0770649452069422,0.2503435888805411,0.36060147040733936
single_shape,TinyCNN,frozen_spectrum,causal_usefulness,10,0.2960213588900847,0.07618923403824815,0.24151886415886198,0.3505238536213074
single_shape,TinyCNN,frozen_spectrum,cf_accuracy,10,0.5225260466337204,0.09159127323158855,0.4570055967992385,0.5880464964682022
single_shape,TinyCNN,frozen_spectrum,cf_accuracy_random,10,0.19939778600819408,0.029344403173833137,0.1784060645456864,0.22038950747070177
single_shape,TinyCNN,frozen_spectrum,refit_test_acc,10,0.99375,0.007179192058380324,0.988614315381621,0.998885684618379
single_shape,TinyCNN,frozen_spectrum,nuisance_acc,10,0.831640625,0.07311287774937558,0.779338822985303,0.883942427014697
single_shape,TinyCNN,frozen_spectrum,nuisance_prediction_stability,10,0.90234375,0.03268203228648733,0.8789644325021274,0.9257230674978726
single_shape,TinyCNN,frozen_spectrum,nuisance_probability_l2,10,0.000467425215174444,0.00013472124927706711,0.0003710514391207174,0.0005637989912281706
single_shape,TinyCNN,frozen_spectrum,drift_l2,10,0.0,0.0,0.0,0.0
single_shape,TinyCNN,frozen_spectrum,selected_kernel_alignment,10,0.4096547674056968,0.10993575881748179,0.33101146312054264,0.48829807169085093
single_shape,TinyCNN,frozen_spectrum,best_semantic_kernel_alignment,10,0.38305594477293503,0.11577835237891153,0.30023310083472915,0.4658787887111409
single_shape,TinyCNN,frozen_spectrum,input_effect_mean_square,10,0.03233407152195771,0.016115065764771744,0.020806047936671977,0.04386209510724345
single_shape,TinyCNN,frozen_spectrum,counterfactual_agreement,10,0.5195312529802323,0.07101362984558032,0.46873116245089674,0.5703313435095678
single_shape,TinyCNN,frozen_templates,id_acc,10,0.833984375,0.07839039124580345,0.7779072672591866,0.8900614827408134
single_shape,TinyCNN,frozen_templates,alignment,10,1.0,0.0,1.0,1.0
