task,architecture,block,condition,concept_z_mean_square,nuisance_z_mean_square,concept_to_nuisance_response_ratio
two_concepts,TwoLayerCNN,9,frozen_spectrum,0.020839273929595947,0.006262397393584251,3.327683093210521
two_concepts,TwoLayerCNN,2,template_init,0.24834991991519928,0.028062142431735992,8.849998553009117
single_shape,TinyCNN,1,frozen_random_unitnorm,0.06026015058159828,0.004240233451128006,14.211517190301775
two_concepts,TwoLayerCNN,5,random,0.13399934768676758,0.025695115327835083,5.214973584555519
two_concepts,TwoLayerCNN,6,frozen_spectrum,0.024669736623764038,0.006237108260393143,3.955316405267757
two_concepts,TwoLayerCNN,2,frozen_templates,0.061940550804138184,0.005908869672566652,10.482639529470768
two_concepts,TinyCNN,8,template_retention_0.1,0.7164507508277893,0.04099693149328232,17.475716467833344
two_concepts,TinyCNN,4,spectrum_retention_1,0.2343948930501938,0.013999244198203087,16.743396267084204
single_shape,TinyCNN,6,spectrum_retention_1,0.6756384968757629,0.00791870802640915,85.32180939396763
single_shape,TwoLayerCNN,0,random_unitnorm,0.6901583075523376,0.012930906377732754,53.372771203479
two_concepts,TwoLayerCNN,0,template_retention_1,0.08908481150865555,0.007608544081449509,11.708522754813815
single_shape,TinyCNN,5,frozen_templates,0.1701342612504959,0.003223018255084753,52.78724716562986
two_concepts,TinyCNN,9,frozen_spectrum,0.020839273929595947,0.006262397393584251,3.327683093210521
single_shape,TwoLayerCNN,7,random,0.6517547965049744,0.008504227735102177,76.63891617280915
two_concepts,TinyCNN,0,template_init,1.1239817142486572,0.05464302748441696,20.56953587663482
single_shape,TinyCNN,4,frozen_random_unitnorm,0.06559661775827408,0.0035838079638779163,18.303608457662506
two_concepts,TinyCNN,8,spectrum_init,1.0313698053359985,0.057624414563179016,17.898139411120813
two_concepts,TinyCNN,5,spectrum_init,1.1229263544082642,0.06649487465620041,16.887412153405048
two_concepts,TwoLayerCNN,3,frozen_spectrum,0.0217424426227808,0.006591730751097202,3.298442160909218
two_concepts,TinyCNN,7,random,1.133597731590271,0.06335965543985367,17.891475635728128
two_concepts,TinyCNN,2,frozen_templates,0.061940550804138184,0.005908869672566652,10.482639529470768
two_concepts,TwoLayerCNN,2,frozen_random_unitnorm,0.014050166122615337,0.007502351887524128,1.8727682109899102
two_concepts,TwoLayerCNN,8,template_retention_1,0.07640358805656433,0.007622295990586281,10.023697341447328
single_shape,TinyCNN,0,template_retention_0.1,1.9200283288955688,0.016829486936330795,114.08715762752647
single_shape,TwoLayerCNN,5,random_unitnorm,0.8223668932914734,0.012643253430724144,65.04393017172734
two_concepts,TwoLayerCNN,6,template_retention_0.1,0.13605596125125885,0.015083497390151024,9.02018661402086
single_shape,TwoLayerCNN,3,spectrum_retention_1,0.20815129578113556,0.004854257684201002,42.880149617643696
