task,architecture,treatment,reference,metric,n,mean,sd,lo,hi,p,alignment_delta,accuracy_delta,semantic_auc_delta,p_holm,strong_alignment_manipulation,accuracy_tradeoff_flag,decision
single_shape,TinyCNN,template_retention_1,template_init,causal_usefulness,10,0.03450332632798166,0.04572673682121841,0.001792389354611762,0.06721426330135155,0.04081673549403917,0.267772938945739,-0.00234375,-0.025048828124999988,0.16326694197615668,True,False,inconclusive causal-usefulness effect
single_shape,TwoLayerCNN,template_retention_1,template_init,causal_usefulness,10,-0.009176710768320918,0.05884466593794705,-0.051271648927608174,0.03291822739096634,0.6337146431482354,0.17172619608393272,-0.000390625,0.03368937174479171,1.0,True,False,inconclusive causal-usefulness effect
two_concepts,TinyCNN,template_retention_1,template_init,causal_usefulness,10,0.025243046797150254,0.07805895311697801,-0.03059696438930002,0.08108305798360052,0.3331825449643966,0.28927498269187313,-0.061328125,-0.06822357177734376,0.9995476348931898,True,True,inconclusive causal-usefulness effect
two_concepts,TwoLayerCNN,template_retention_1,template_init,causal_usefulness,10,-0.0074242306600953685,0.06746405790808928,-0.05568511039064431,0.04083664907045357,0.7358411903187605,0.19849757905185056,-0.00390625,-0.0197265625,1.0,True,False,inconclusive causal-usefulness effect
