task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,selected_kernel_alignment,best_semantic_kernel_alignment,input_effect_mean_square,counterfactual_agreement
single_shape,TinyCNN,0,frozen_random_unitnorm,0.82421875,1.174786925315857,0.15595666900821564,0.15595666900821564,0.8713989257812501,0.13845658950389195,0.5509216593992665,0.3306145959043034,0.49609375,0.19856770895421505,0.8046875,0.875,0.0007536016637459397,0.984375,0.98046875,True,0.0,1.9723069667816162,0.2203070634949631,0.17821343383013744,0.23427783006493252,0.020086344331502914,0.46875
single_shape,TinyCNN,0,frozen_spectrum,0.859375,1.1139038801193237,0.3662199392604094,0.3662199392604094,0.8607381184895834,0.06850351771649213,0.747589247896453,0.47216909136205265,0.5768229365348816,0.19449869403615594,0.86328125,0.91796875,0.00046687282156199217,0.9921875,0.984375,True,0.0,2.282853126525879,0.27542015653440033,0.4015556431106537,0.30616485713817326,0.04295573135217031,0.55078125
single_shape,TinyCNN,0,frozen_templates,0.8828125,1.0970451831817627,1.0,1.0,0.8733723958333334,0.47173987042713095,0.5525070122901394,0.287800334354124,0.6315104365348816,0.1730143204331398,0.88671875,0.97265625,0.0005574640817940235,1.0,0.9921875,True,0.0,2.194020986557007,0.26470667793601543,1.0,1.0,0.036656359831492104,0.6614583134651184
single_shape,TinyCNN,0,random,1.0,0.03419744223356247,0.30583639386016087,0.15595666950600687,0.9830525716145834,0.1162360424677574,0.5150565007125689,0.23008056318291464,0.24609375,0.07063802191987634,1.0,1.0,0.000532036239746958,1.0,1.0,True,1.6801965236663818,3.354185104370117,0.2849759375296543,0.2851149652914534,0.34987176297358746,1.834112008412679,0.24609375
single_shape,TinyCNN,0,random_unitnorm,1.0,0.039102163165807724,0.27645691180611043,0.15595666900821564,0.9810587565104167,0.1475896884077228,0.5979062140973469,0.24599168311242753,0.3515625,0.08203125,1.0,1.0,0.0007046680548228323,1.0,1.0,True,1.7380456924438477,3.217514991760254,0.35191453098491937,0.26770633498649526,0.3242057152196455,1.811111291249593,0.3515625
single_shape,TinyCNN,0,spectrum_init,1.0,0.046182192862033844,0.294614325925339,0.3662199392604094,0.9688110351562499,0.12373064083275542,0.5431454283411636,0.24837503633461905,0.3528645932674408,0.05631510476814583,1.0,1.0,0.0004857448802795261,1.0,1.0,True,1.709052562713623,5.2892138957977295,0.2947703920065446,0.27969703061633716,0.4046559036908359,1.7793270746866863,0.3528645932674408
single_shape,TinyCNN,0,spectrum_retention_1,1.0,0.326537549495697,0.3422097778711901,0.3662199392604094,0.9466756184895834,0.09332460839999139,0.6007741204088335,0.37453868551191727,0.4049479067325592,0.09293619683012366,1.0,1.0,0.0014852725435048342,1.0,1.0,True,0.4452194273471832,5.454302072525024,0.22623543489691622,0.3412078384523827,0.20266551371441588,0.8583376407623291,0.4049479067325592
single_shape,TinyCNN,0,template_init,1.0,0.04204510897397995,0.6728471439432889,1.0,0.9817911783854166,0.459169495790236,0.5637041253377837,0.25254664540676036,0.3763020932674408,0.0813802087213844,1.0,1.0,0.0006103601190261543,1.0,0.99609375,True,1.7042075395584106,4.829932928085327,0.31115747993102333,0.6691220735072905,0.6341238859642183,1.7977542877197266,0.3763020932674408
single_shape,TinyCNN,0,template_retention_0.1,1.0,0.0841909646987915,0.7690441298000718,1.0,0.9786376953125,0.5349219775322485,0.5963627288710724,0.28668433620556427,0.4583333432674408,0.08756510453531519,1.0,1.0,0.0009500517044216394,1.0,1.0,True,1.032508373260498,5.022974967956543,0.3096783926655082,0.7285363005456209,0.7486564729277089,1.6167774200439453,0.4583333432674408
single_shape,TinyCNN,0,template_retention_1,1.0,0.2909282445907593,0.9184151301848482,1.0,0.9529012044270833,0.5508264473543698,0.6670354398000817,0.3493179701118378,0.48828125,0.10091145703336224,1.0,1.0,0.0016319022979587317,1.0,1.0,True,0.4493113160133362,5.067715883255005,0.31771746968824394,0.9037227297585215,0.9067390472332846,0.9368588924407959,0.48828125
