task,architecture,block,condition,complete,epochs_observed,early_mean_val_acc,attained_95,first_epoch_95,last_val_acc,last_val_ce,late_val_ce_slope
single_shape,TinyCNN,block2000,random,True,200,0.88125,True,7,1.0,0.001182552776299417,-1.2540661631838318e-05
single_shape,TinyCNN,block2000,random_unitnorm,True,200,0.908203125,True,6,1.0,0.0011536643141880631,-1.278722744533111e-05
single_shape,TinyCNN,block2000,template_init,True,200,0.70703125,True,8,1.0,0.0016602958785369992,-1.7071391728923794e-05
single_shape,TinyCNN,block2000,template_release,True,200,0.71015625,True,8,1.0,0.002379537094384432,-2.6512430119503327e-05
single_shape,TinyCNN,block2000,template_retention_1,True,200,0.71015625,True,8,1.0,0.06913187354803085,-0.00037978199639715005
single_shape,TinyCNN,block2001,random,True,200,0.87734375,True,6,1.0,0.004575999453663826,-2.6729483073367323e-05
single_shape,TinyCNN,block2001,random_unitnorm,True,200,0.88359375,True,6,1.0,0.005589937325567007,-3.1354314038404105e-05
single_shape,TinyCNN,block2001,template_init,True,200,0.900390625,True,5,1.0,0.005043791141360998,-3.179935248274571e-05
single_shape,TinyCNN,block2001,template_release,True,200,0.898828125,True,5,1.0,0.0049436455592513084,-3.455903037990409e-05
single_shape,TinyCNN,block2001,template_retention_1,True,200,0.898828125,True,5,0.99609375,0.07552559673786163,-0.00029979587945723127
single_shape,TinyCNN,block2002,random,True,200,0.84609375,True,8,1.0,0.004203621298074722,-2.6672931836175887e-05
single_shape,TinyCNN,block2002,random_unitnorm,True,200,0.853515625,True,7,1.0,0.004569013137370348,-3.065549474405628e-05
single_shape,TinyCNN,block2002,template_init,True,200,0.763671875,True,9,1.0,0.005496920086443424,-3.6469110658854644e-05
single_shape,TinyCNN,block2002,template_release,True,200,0.74921875,True,12,1.0,0.006572025362402201,-5.1395582819455666e-05
single_shape,TinyCNN,block2002,template_retention_1,True,200,0.74921875,True,12,1.0,0.0801316425204277,-0.000376010714168838
single_shape,TinyCNN,block2003,random,True,200,0.768359375,True,10,1.0,0.002831102814525366,-2.3372216969448487e-05
single_shape,TinyCNN,block2003,random_unitnorm,True,200,0.76796875,True,10,1.0,0.0029450920410454273,-2.534384874248876e-05
single_shape,TinyCNN,block2003,template_init,True,200,0.804296875,True,7,1.0,0.003052499843761325,-2.7860009244510205e-05
single_shape,TinyCNN,block2003,template_release,True,200,0.795703125,True,8,1.0,0.003165365429595113,-3.226683527595351e-05
single_shape,TinyCNN,block2003,template_retention_1,True,200,0.795703125,True,8,1.0,0.0801086574792862,-0.0003257106289379609
single_shape,TinyCNN,block2004,random,True,200,0.831640625,True,7,1.0,0.002922562649473548,-2.468843328157323e-05
single_shape,TinyCNN,block2004,random_unitnorm,True,200,0.798046875,True,8,1.0,0.003006536280736327,-2.515716495734641e-05
single_shape,TinyCNN,block2004,template_init,True,200,0.750390625,True,6,1.0,0.0034271134063601494,-2.9665692289240997e-05
single_shape,TinyCNN,block2004,template_release,True,200,0.755859375,True,6,1.0,0.003561140736564994,-3.549453707874056e-05
single_shape,TinyCNN,block2004,template_retention_1,True,200,0.755859375,True,6,1.0,0.08606889843940735,-0.00040940719103454916
single_shape,TinyCNN,block2005,random,True,200,0.700390625,True,12,1.0,0.0018733213655650616,-2.0377962723990657e-05
single_shape,TinyCNN,block2005,random_unitnorm,True,200,0.7640625,True,11,1.0,0.001880916184745729,-2.0741777935702622e-05
single_shape,TinyCNN,block2005,template_init,True,200,0.76875,True,9,1.0,0.0022378547582775354,-2.502116437693297e-05
single_shape,TinyCNN,block2005,template_release,True,200,0.74609375,True,11,1.0,0.002288674935698509,-2.8531762239124197e-05
single_shape,TinyCNN,block2005,template_retention_1,True,200,0.74609375,True,11,1.0,0.08634767681360245,-0.00040444055558147584
single_shape,TinyCNN,block2006,random,True,200,0.7515625,True,10,1.0,0.0020857369527220726,-2.148655029643979e-05
single_shape,TinyCNN,block2006,random_unitnorm,True,200,0.7484375,True,9,1.0,0.002236245898529887,-2.333034369114208e-05
single_shape,TinyCNN,block2006,template_init,True,200,0.65703125,True,7,1.0,0.0029449621215462685,-2.789080170984564e-05
single_shape,TinyCNN,block2006,template_release,True,200,0.655859375,True,8,1.0,0.0035578503739088774,-2.9789603532369083e-05
single_shape,TinyCNN,block2006,template_retention_1,True,200,0.655859375,True,8,1.0,0.08851577341556549,-0.00043132698401472853
single_shape,TinyCNN,block2007,random,True,200,0.808203125,True,9,1.0,0.0020608720369637012,-1.7992242176393885e-05
single_shape,TinyCNN,block2007,random_unitnorm,True,200,0.8234375,True,8,1.0,0.002328940201550722,-1.982929030979495e-05
single_shape,TinyCNN,block2007,template_init,True,200,0.66953125,True,11,1.0,0.0026473524048924446,-2.5907265113428658e-05
single_shape,TinyCNN,block2007,template_release,True,200,0.666796875,True,11,1.0,0.002767294179648161,-2.9527088732255705e-05
single_shape,TinyCNN,block2007,template_retention_1,True,200,0.666796875,True,11,1.0,0.07301386445760727,-0.0003522526612855467
single_shape,TinyCNN,block2008,random,True,200,0.73359375,True,10,1.0,0.002279900247231126,-2.155657332474581e-05
single_shape,TinyCNN,block2008,random_unitnorm,True,200,0.675390625,True,10,1.0,0.002424238482490182,-2.3504700406657637e-05
single_shape,TinyCNN,block2008,template_init,True,200,0.770703125,True,9,1.0,0.003038902999833226,-2.9885276094695337e-05
single_shape,TinyCNN,block2008,template_release,True,200,0.768359375,True,9,1.0,0.0033306838013231754,-3.607865524499279e-05
single_shape,TinyCNN,block2008,template_retention_1,True,200,0.768359375,True,9,1.0,0.07961861789226532,-0.0003716016454356079
single_shape,TinyCNN,block2009,random,True,200,0.747265625,True,8,1.0,0.004804039373993874,-3.9262708304520136e-05
single_shape,TinyCNN,block2009,random_unitnorm,True,200,0.786328125,True,7,1.0,0.004776885267347097,-3.8694917343388974e-05
single_shape,TinyCNN,block2009,template_init,True,200,0.831640625,True,6,1.0,0.008125215768814087,-3.746393437784428e-05
single_shape,TinyCNN,block2009,template_release,True,200,0.822265625,True,7,1.0,0.006035341881215572,-5.5804321038207814e-05
single_shape,TinyCNN,block2009,template_retention_1,True,200,0.822265625,True,7,1.0,0.09756187349557877,-0.0003932199756005674
single_shape,TwoLayerCNN,block2000,random,True,200,0.733203125,True,7,1.0,0.00021359146921895444,-1.7016091365612354e-06
single_shape,TwoLayerCNN,block2000,random_unitnorm,True,200,0.809765625,True,6,1.0,0.00017720431787893176,-1.5900675903242571e-06
single_shape,TwoLayerCNN,block2000,template_init,True,200,0.911328125,True,3,1.0,0.00020010428852401674,-1.6366740924138228e-06
single_shape,TwoLayerCNN,block2000,template_release,True,200,0.915234375,True,3,1.0,0.000269860727712512,-1.4442658135877573e-06
single_shape,TwoLayerCNN,block2000,template_retention_1,True,200,0.915234375,True,3,0.99609375,0.005090856924653053,1.1190225867299877e-08
single_shape,TwoLayerCNN,block2001,random,True,200,0.842578125,True,6,1.0,0.0007733713136985898,-4.411752544049396e-06
single_shape,TwoLayerCNN,block2001,random_unitnorm,True,200,0.883203125,True,5,1.0,0.0008785908576101065,-4.968240977916195e-06
single_shape,TwoLayerCNN,block2001,template_init,True,200,0.913671875,True,4,0.99609375,0.005009396933019161,3.0276267544218502e-06
single_shape,TwoLayerCNN,block2001,template_release,True,200,0.91328125,True,4,1.0,0.002804708667099476,-3.657487389120428e-06
single_shape,TwoLayerCNN,block2001,template_retention_1,True,200,0.91328125,True,4,1.0,0.003913335036486387,-2.3710289689943412e-05
single_shape,TwoLayerCNN,block2002,random,True,200,0.828515625,True,6,1.0,0.001968551427125931,-7.439525342805525e-06
single_shape,TwoLayerCNN,block2002,random_unitnorm,True,200,0.88359375,True,5,1.0,0.0014996554236859083,-6.30319529892251e-06
single_shape,TwoLayerCNN,block2002,template_init,True,200,0.89453125,True,4,1.0,0.0013053140137344599,-5.5976468488518366e-06
single_shape,TwoLayerCNN,block2002,template_release,True,200,0.89296875,True,4,1.0,0.0009033565293066204,-5.9732510813309205e-06
single_shape,TwoLayerCNN,block2002,template_retention_1,True,200,0.89296875,True,4,1.0,0.0037973762955516577,-2.8615783115750974e-05
single_shape,TwoLayerCNN,block2003,random,True,200,0.7625,True,7,1.0,0.00035628065234050155,-2.8121955841569747e-06
single_shape,TwoLayerCNN,block2003,random_unitnorm,True,200,0.81640625,True,6,1.0,0.00034743660944513977,-2.6366088926246063e-06
single_shape,TwoLayerCNN,block2003,template_init,True,200,0.86484375,True,5,1.0,0.000510046724230051,-3.936056387295636e-06
single_shape,TwoLayerCNN,block2003,template_release,True,200,0.868359375,True,5,1.0,0.00040303688729181886,-3.368579441177344e-06
single_shape,TwoLayerCNN,block2003,template_retention_1,True,200,0.868359375,True,5,1.0,0.0027567772194743156,-2.4414692018041158e-05
single_shape,TwoLayerCNN,block2004,random,True,200,0.792578125,True,7,1.0,0.0004650253686122596,-3.429484895878677e-06
single_shape,TwoLayerCNN,block2004,random_unitnorm,True,200,0.855859375,True,6,1.0,0.0005077615496702492,-3.71994635377333e-06
single_shape,TwoLayerCNN,block2004,template_init,True,200,0.884765625,True,6,1.0,0.0004580369859468192,-3.1152470965162615e-06
single_shape,TwoLayerCNN,block2004,template_release,True,200,0.883984375,True,6,1.0,0.00037412374513223767,-3.3379515328381654e-06
single_shape,TwoLayerCNN,block2004,template_retention_1,True,200,0.883984375,True,6,1.0,0.002493926091119647,-2.2573851371058026e-05
single_shape,TwoLayerCNN,block2005,random,True,200,0.780859375,True,6,1.0,0.00010511738946661353,-1.1682772693395858e-06
single_shape,TwoLayerCNN,block2005,random_unitnorm,True,200,0.8421875,True,6,1.0,0.00013578437210526317,-1.5026254927795583e-06
single_shape,TwoLayerCNN,block2005,template_init,True,200,0.851171875,True,4,1.0,0.00015364815772045404,-1.7061771906359196e-06
single_shape,TwoLayerCNN,block2005,template_release,True,200,0.85,True,4,1.0,0.0001410271943314001,-1.734365869744135e-06
single_shape,TwoLayerCNN,block2005,template_retention_1,True,200,0.85,True,4,1.0,0.0017800504574552178,-2.0250837980328483e-05
single_shape,TwoLayerCNN,block2006,random,True,200,0.7875,True,8,1.0,0.00022071869170758873,-1.987172255670675e-06
single_shape,TwoLayerCNN,block2006,random_unitnorm,True,200,0.847265625,True,7,1.0,0.00013184263661969453,-1.4291001248341517e-06
single_shape,TwoLayerCNN,block2006,template_init,True,200,0.866015625,True,4,1.0,0.00014498464588541538,-1.5399623482796275e-06
single_shape,TwoLayerCNN,block2006,template_release,True,200,0.8640625,True,4,1.0,0.0005476604565046728,2.395728413939871e-07
single_shape,TwoLayerCNN,block2006,template_retention_1,True,200,0.8640625,True,4,1.0,0.002575100399553776,-7.390431688636372e-06
