task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,epoch
single_shape,TinyCNN,2000,random,0.62109375,1.3057206869125366,0.18347714111939628,0.17818822830151826,0.9085286458333334,0.3505156488038532,0.5879900883829324,0.39072315762211396,0.4140625,0.3325195275247097,0.625,0.89453125,7.168685260694474e-05,0.9921875,0.99609375,True,0.09026555716991425,0.6704385280609131,0.19726693076081847,1
single_shape,TinyCNN,2000,random,0.87890625,1.099257230758667,0.2424155399660166,0.17818822830151826,0.9559936523437499,0.32311134717708656,0.604893620373449,0.4133627807753139,0.4192708432674408,0.18505859375,0.890625,0.98046875,0.0001813102135201916,1.0,1.0,True,0.3309362530708313,0.625999927520752,0.19153083959813505,5
single_shape,TinyCNN,2000,random,1.0,0.8040202260017395,0.28380630535608803,0.17818822830151826,0.9586995442708334,0.3195489091238575,0.6016177121827795,0.4075500012996607,0.3424479067325592,0.10660807107342407,1.0,1.0,0.0006165696540847421,1.0,1.0,True,0.5941709280014038,0.5658032894134521,0.1940677108831188,10
single_shape,TinyCNN,2000,random,1.0,0.24240051209926605,0.30460106946222554,0.17818822830151826,0.9623209635416667,0.30198834066056923,0.551520517343944,0.3580216747166294,0.2838541567325592,0.0735677084303461,1.0,1.0,0.0016232007183134556,1.0,1.0,True,1.1509203910827637,0.5112903118133545,0.19349884262731465,20
single_shape,TinyCNN,2000,random,1.0,0.04475387558341026,0.30981920943648406,0.17818822830151826,0.9632161458333334,0.2943393140066541,0.5103663685906303,0.26779761126301893,0.3138020932674408,0.05419921764405444,1.0,1.0,0.000772883475292474,1.0,1.0,True,1.661853313446045,0.4857332706451416,0.2425687573276114,40
single_shape,TinyCNN,2000,random,1.0,0.013243303634226322,0.3105298570875267,0.17818822830151826,0.9617919921875,0.29387514096860806,0.4797170330754009,0.21266433744009153,0.3190104067325592,0.050292968400754035,1.0,1.0,0.00034817808773368597,1.0,1.0,True,1.983513355255127,0.44326257705688477,0.2670526956353094,80
single_shape,TinyCNN,2000,random,1.0,0.007020268589258194,0.31098074405265413,0.17818822830151826,0.9609171549479166,0.2946786147098976,0.4662944532437332,0.1894671056475143,0.3190104067325592,0.05192057241220027,1.0,1.0,0.0002063317078864202,1.0,1.0,True,2.143336057662964,0.46016502380371094,0.2768273475962189,120
single_shape,TinyCNN,2000,random,1.0,0.004582113120704889,0.3112249791434642,0.17818822830151826,0.9603271484375,0.2960399246125677,0.4582438260048304,0.17606507689427423,0.3177083432674408,0.0543619793606922,1.0,1.0,0.00013953543384559453,1.0,1.0,True,2.250332832336426,0.5305862426757812,0.2821787491105562,160
single_shape,TinyCNN,2000,random,1.0,0.003310892730951309,0.31120538086953764,0.17818822830151826,0.95977783203125,0.29695309660278807,0.45277384327673265,0.1669135783171451,0.3177083432674408,0.054361978778615594,1.0,1.0,0.00010059164196718484,1.0,1.0,True,2.3314077854156494,0.5536670684814453,0.28586026495958755,200
single_shape,TinyCNN,2000,random_unitnorm,0.71875,1.2834385633468628,0.181587605253766,0.17818823036649623,0.8993937174479166,0.3584611388831138,0.6252367529219975,0.3503805765075335,0.4986979067325592,0.28873698227107525,0.703125,0.94921875,0.00019721599528566003,0.9921875,0.9921875,True,0.09077783674001694,0.5831975936889648,0.274856176414464,1
single_shape,TinyCNN,2000,random_unitnorm,0.94140625,1.0579562187194824,0.20764081678526236,0.17818823036649623,0.9361979166666667,0.31980557765837136,0.6326948482643975,0.4067954604349229,0.4010416567325592,0.15934244636446238,0.953125,0.97265625,0.0003395258681848645,1.0,0.99609375,True,0.34926602244377136,0.5551142692565918,0.2258993878294746,5
single_shape,TinyCNN,2000,random_unitnorm,1.0,0.7636130452156067,0.25614206176745075,0.17818823036649623,0.9465738932291666,0.3235698362326317,0.6421461832043688,0.4070326323389748,0.4700520932674408,0.11637369921663776,1.0,1.0,0.0008358884952031076,1.0,1.0,True,0.6276733875274658,0.5213325023651123,0.23511355086539398,10
single_shape,TinyCNN,2000,random_unitnorm,1.0,0.2481897622346878,0.2948119535982511,0.17818823036649623,0.9561971028645834,0.3198207703822051,0.6254654905192212,0.36375124614818466,0.3697916567325592,0.1033528650586959,1.0,1.0,0.0016696045640856028,1.0,1.0,True,1.1545891761779785,0.4638066291809082,0.2617142443710365,20
single_shape,TinyCNN,2000,random_unitnorm,1.0,0.04701095074415207,0.303807292476827,0.17818823036649623,0.9601033528645834,0.3144720095074794,0.5341021446652552,0.28263621307277065,0.3411458432674408,0.08007812686264515,1.0,1.0,0.0007342691533267498,1.0,1.0,True,1.6781429052352905,0.5247972011566162,0.25146593159248454,40
single_shape,TinyCNN,2000,random_unitnorm,1.0,0.013751351274549961,0.3065577142916218,0.17818823036649623,0.9593505859375,0.31806214589093323,0.5131853890427284,0.22986677723030835,0.3528645932674408,0.07226562552386895,1.0,1.0,0.0003067291108891368,1.0,1.0,True,2.0141477584838867,0.5022628307342529,0.28331861181242,80
single_shape,TinyCNN,2000,random_unitnorm,1.0,0.007250664755702019,0.30739534225527126,0.17818823036649623,0.9587605794270833,0.3190393549102481,0.5053507988832524,0.20639446456629035,0.35546875,0.06819661491317675,1.0,1.0,0.00017833759193308651,1.0,1.0,True,2.181377410888672,0.5257928371429443,0.29895633431696206,120
single_shape,TinyCNN,2000,random_unitnorm,1.0,0.004653174430131912,0.3079192553798982,0.17818823036649623,0.9581502278645834,0.3192311075321218,0.501140423650736,0.1922926066635554,0.3684895932674408,0.06608072947710752,1.0,1.0,0.00011983276635874063,1.0,1.0,True,2.2950596809387207,0.5011098384857178,0.30884781698718056,160
single_shape,TinyCNN,2000,random_unitnorm,1.0,0.003316538641229272,0.30840946135064107,0.17818823036649623,0.95819091796875,0.31952809000175364,0.4981932259802224,0.18243206059935613,0.3671875,0.06510416697710752,1.0,1.0,8.647648792248219e-05,1.0,1.0,True,2.3818166255950928,0.521547794342041,0.3157611653808663,200
single_shape,TinyCNN,2000,template_init,0.48046875,1.3126376867294312,0.9974411134738688,1.0,0.87030029296875,0.48158756448153867,0.4855569810290705,0.0870270047272231,0.5221354365348816,0.2849934883415699,0.4921875,0.859375,0.00018296031339559704,1.0,1.0,True,0.09144218266010284,0.5317215919494629,0.3985299763018474,1
single_shape,TinyCNN,2000,template_init,0.53515625,1.0939810276031494,0.9564349606730668,1.0,0.8931681315104166,0.5097801347801681,0.6366239453148086,0.3718851498013357,0.4127604067325592,0.20703125279396772,0.54296875,0.98046875,0.00028924932121299207,1.0,0.99609375,True,0.3244214653968811,0.5897393226623535,0.2647387955134729,5
single_shape,TinyCNN,2000,template_init,0.99609375,0.7911608815193176,0.8764531378745284,1.0,0.9431355794270834,0.5075321283824189,0.6272732018748294,0.3923136606783692,0.4908854067325592,0.10074869776144624,0.9921875,0.99609375,0.0005789705319330096,1.0,1.0,True,0.6124399304389954,0.5953195095062256,0.23495954119646018,10
single_shape,TinyCNN,2000,template_init,1.0,0.2758997678756714,0.733169473778629,1.0,0.9733886718750001,0.45896035533154056,0.5756139664276451,0.3520750531335909,0.4479166567325592,0.08040364715270698,1.0,1.0,0.0012245066463947296,1.0,1.0,True,1.1703990697860718,0.5272195339202881,0.22353891329405418,20
single_shape,TinyCNN,2000,template_init,1.0,0.05457978695631027,0.643540152732122,1.0,0.9686279296875,0.43543436576685646,0.5203913018850044,0.26518576940296634,0.3528645932674408,0.07975260610692203,1.0,1.0,0.0007733377860859036,1.0,1.0,True,1.7239848375320435,0.5528838634490967,0.25520553248203803,40
single_shape,TinyCNN,2000,template_init,1.0,0.014950710348784924,0.6067219832371948,1.0,0.970947265625,0.43242638238348247,0.4870847989720596,0.21168439051631258,0.3307291567325592,0.08349609351716936,1.0,1.0,0.0003009266220033169,1.0,1.0,True,2.1143860816955566,0.543708086013794,0.275400408455747,80
single_shape,TinyCNN,2000,template_init,1.0,0.007370688021183014,0.5887593867429861,1.0,0.9715372721354167,0.4288280870201653,0.4791683793226864,0.18849836034531034,0.3372395932674408,0.0817057287786156,1.0,1.0,0.00016860797768458724,1.0,1.0,True,2.317509174346924,0.4516763687133789,0.2906700189773761,120
single_shape,TinyCNN,2000,template_init,1.0,0.0045949481427669525,0.5799124748276746,1.0,0.9719848632812501,0.42553176385404456,0.46878823428833893,0.17520546839644657,0.3372395932674408,0.07958984258584678,1.0,1.0,0.00011517038365127519,1.0,1.0,True,2.450489044189453,0.43680572509765625,0.29358276589189236,160
single_shape,TinyCNN,2000,template_init,1.0,0.003237419994547963,0.5740882543980911,1.0,0.9721883138020834,0.4213945808366296,0.46178057723328525,0.16624676904473365,0.3411458432674408,0.07991536450572312,1.0,1.0,8.49291100166738e-05,1.0,1.0,True,2.549302577972412,0.45903563499450684,0.29553380818855157,200
single_shape,TinyCNN,2000,template_release,0.484375,1.3131364583969116,0.9978412226390686,1.0,0.8700764973958334,0.48137232549003306,0.4840981594944943,0.08437132394367325,0.51953125,0.28385416977107525,0.4921875,0.875,0.00018190596892964095,1.0,1.0,True,0.08022559434175491,0.48559069633483887,0.39972683555082106,1
single_shape,TinyCNN,2000,template_release,0.5703125,1.1092016696929932,0.9728744356263082,1.0,0.8968098958333334,0.4944381963377007,0.6312047998131771,0.36656984825437344,0.4153645932674408,0.20670572947710752,0.58203125,0.96875,0.00027566213975660503,1.0,0.99609375,True,0.24307280778884888,0.581758975982666,0.2646349515588037,5
single_shape,TinyCNN,2000,template_release,0.9921875,0.9040820002555847,0.9471556866773506,1.0,0.9309692382812499,0.5086677933931092,0.6364770756946422,0.3924339506883692,0.5611979365348816,0.11897786520421505,0.98828125,0.99609375,0.0004595757054630667,1.0,1.0,True,0.3398597538471222,0.6474294662475586,0.24404312500627295,10
