architecture,method,k,metric,n,mean,sd,ci_low,ci_high
TinyCNN,contrast,1,causal_usefulness_energy,20,-0.2979615298056481,0.12773041961883233,-0.3577412063253232,-0.23818185328597302
TinyCNN,contrast,2,causal_usefulness_energy,20,-0.18874011122636308,0.19739750121843547,-0.2811249855878845,-0.09635523686484164
TinyCNN,contrast,4,causal_usefulness_energy,20,0.1309750818249843,0.21239715328624478,0.03157015420444176,0.23038000944552683
TinyCNN,contrast,8,causal_usefulness_energy,20,0.06959434351764197,0.12528315224986739,0.010960023383003871,0.12822866365228008
TinyCNN,auroc,1,causal_usefulness_energy,20,-0.2542568986216683,0.1387485044971445,-0.3191931975955509,-0.18932059964778564
TinyCNN,auroc,2,causal_usefulness_energy,20,-0.15089633487336956,0.17142644807944268,-0.23112638221594511,-0.07066628753079403
TinyCNN,auroc,4,causal_usefulness_energy,20,0.1151061800093491,0.21332402685310287,0.015267462206587146,0.21494489781211104
TinyCNN,auroc,8,causal_usefulness_energy,20,0.06012114050778609,0.13394700981566357,-0.0025679897828148543,0.12281027079838702
TinyCNN,validation_patch,1,causal_usefulness_energy,20,-0.2441694232635221,0.07792699794710581,-0.2806403809518231,-0.20769846557522106
TinyCNN,validation_patch,2,causal_usefulness_energy,20,-0.08789462590568865,0.13624331400889594,-0.15165845964024482,-0.024130792171132495
TinyCNN,validation_patch,4,causal_usefulness_energy,20,0.12001595289458829,0.21575837133607864,0.019037926803604832,0.22099397898557174
TinyCNN,validation_patch,8,causal_usefulness_energy,20,0.06292792959224909,0.12119800693870626,0.006205516315553182,0.11965034286894499
TwoLayerCNN,contrast,1,causal_usefulness_energy,20,-0.0018377405374359155,0.018114295615865295,-0.010315491847810065,0.006640010772938233
TwoLayerCNN,contrast,2,causal_usefulness_energy,20,-0.010124583618275873,0.023697669264417794,-0.02121543423259794,0.0009662669960461955
TwoLayerCNN,contrast,4,causal_usefulness_energy,20,-0.012873944256193265,0.06244977348924613,-0.042101337926821226,0.0163534494144347
TwoLayerCNN,contrast,8,causal_usefulness_energy,20,0.041066282610751785,0.1092961666283961,-0.010085897937809646,0.09221846315931322
TwoLayerCNN,auroc,1,causal_usefulness_energy,20,-0.00443864818869553,0.017858580503074126,-0.012796721142344116,0.003919424764953057
TwoLayerCNN,auroc,2,causal_usefulness_energy,20,-0.013638407422780085,0.02642855585719747,-0.02600735230482205,-0.00126946254073812
TwoLayerCNN,auroc,4,causal_usefulness_energy,20,-0.015837056761172426,0.0450649450728509,-0.036928100279789024,0.005253986757444172
TwoLayerCNN,auroc,8,causal_usefulness_energy,20,0.03901744249017917,0.1340609587399551,-0.023725017538586267,0.1017599025189446
TwoLayerCNN,validation_patch,1,causal_usefulness_energy,20,-0.016276382760233885,0.026960250206977225,-0.028894168257784847,-0.0036585972626829236
TwoLayerCNN,validation_patch,2,causal_usefulness_energy,20,-0.04646816526079346,0.04511959302781642,-0.06758478480961531,-0.025351545711971613
TwoLayerCNN,validation_patch,4,causal_usefulness_energy,20,-0.036093805888252985,0.11701309914532376,-0.0908576220281069,0.01867001025160093
TwoLayerCNN,validation_patch,8,causal_usefulness_energy,20,0.060801551306488656,0.13835339837580135,-0.003949832310540698,0.12555293492351802
