architecture,method,k,metric,block,delta
TinyCNN,auroc,1,fidelity,4010,-0.13860091902858418
TinyCNN,auroc,1,fidelity,4011,-0.26593441179344757
TinyCNN,auroc,1,fidelity,4012,-0.5092221553552007
TinyCNN,auroc,1,fidelity,4013,-0.30318539882473816
TinyCNN,auroc,1,fidelity,4014,-0.14752389494781337
TinyCNN,auroc,1,fidelity,4015,-0.18284802555915058
TinyCNN,auroc,1,fidelity,4016,-0.19784152321923443
TinyCNN,auroc,1,fidelity,4017,-0.39441899593932717
TinyCNN,auroc,1,fidelity,4018,-0.40016880882224715
TinyCNN,auroc,1,fidelity,4019,-0.12275706025964173
TinyCNN,auroc,2,fidelity,4000,-0.23513143935780445
TinyCNN,auroc,2,fidelity,4001,-0.4808938440352626
TinyCNN,auroc,2,fidelity,4002,-0.3376374790280511
TinyCNN,auroc,2,fidelity,4003,-0.6556702541221707
TinyCNN,auroc,2,fidelity,4004,-0.36562421105086884
TinyCNN,auroc,2,fidelity,4005,-0.44409185755568115
TinyCNN,auroc,2,fidelity,4006,-0.30591320159919366
TinyCNN,auroc,2,fidelity,4007,-0.1928533969623365
TinyCNN,auroc,2,fidelity,4008,-0.5191136747441193
TinyCNN,auroc,2,fidelity,4009,-0.06957215233438074
TinyCNN,auroc,2,fidelity,4010,-0.14581515822041913
TinyCNN,auroc,2,fidelity,4011,-0.45658779151684137
TinyCNN,auroc,2,fidelity,4012,-0.4656819451984239
TinyCNN,auroc,2,fidelity,4013,-0.15961728406657416
TinyCNN,auroc,2,fidelity,4014,-0.06414290681853096
TinyCNN,auroc,2,fidelity,4015,-0.1856421890259088
TinyCNN,auroc,2,fidelity,4016,-0.30556785234740935
TinyCNN,auroc,2,fidelity,4017,-0.23781437934465333
TinyCNN,auroc,2,fidelity,4018,-0.4279430903319106
TinyCNN,auroc,2,fidelity,4019,-0.4177684486342814
TinyCNN,auroc,4,fidelity,4000,0.03083005510020176
TinyCNN,auroc,4,fidelity,4001,0.03447522182299756
