architecture,method,metric,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high
TinyCNN,contrast,budget_contrast_B,12.090488106723056,2.2819196468894228e-10,20,0.3309763089061296,0.12242442474171772,0.2736799144293345,0.38827270338292474
TinyCNN,auroc,budget_contrast_B,12.202870864591516,1.9509880404629674e-10,20,0.3001419000266777,0.10999668828800035,0.24866186524941225,0.3516219348039431
TinyCNN,validation_patch,budget_contrast_B,18.496274374482923,1.3122166353218665e-13,20,0.230498391292752,0.05573123118739936,0.20441537220952996,0.25658141037597404
TwoLayerCNN,contrast,budget_contrast_B,-3.1070056674795974,0.005803763929930502,20,-0.04188687925277096,0.06029078759325212,-0.0701038364208163,-0.01366992208472561
TwoLayerCNN,auroc,budget_contrast_B,-2.5104977782073528,0.021264266930662835,20,-0.031794507791329044,0.05663791567529237,-0.05830186827696246,-0.005287147305695624
TwoLayerCNN,validation_patch,budget_contrast_B,1.151835951841064,0.26367658714118075,20,0.01161754951025828,0.04510647613557287,-0.00949293114402613,0.03272803016454269
