architecture,method,k,metric,n,mean,sd,ci_low,ci_high
TinyCNN,contrast,1,fidelity,20,-0.3459066147925973,0.1226612973759564,-0.4033138690747028,-0.28849936051049185
TinyCNN,contrast,2,fidelity,20,-0.33168000690263877,0.16341619383741918,-0.40816113986086106,-0.2551988739444165
TinyCNN,contrast,4,fidelity,20,-0.022144806110045306,0.04327748259217204,-0.042399291436769106,-0.0018903207833215058
TinyCNN,contrast,8,fidelity,20,0.006510802227068596,0.005907212112736163,0.0037461418565298216,0.009275462597607372
TinyCNN,auroc,1,fidelity,20,-0.303968452182259,0.13287706157932583,-0.3661568312841303,-0.2417800730803877
TinyCNN,auroc,2,fidelity,20,-0.3236541278147411,0.1605326513777165,-0.398785721360299,-0.24852253426918325
TinyCNN,auroc,4,fidelity,20,-0.03318482715952039,0.07782160819629975,-0.06960646092615518,0.0032368066071143953
TinyCNN,auroc,8,fidelity,20,0.005846047215875611,0.007039236189294556,0.0025515832690933024,0.009140511162657919
TinyCNN,validation_patch,1,fidelity,20,-0.28559667903243147,0.07168535415586949,-0.31914645750669246,-0.2520469005581705
TinyCNN,validation_patch,2,fidelity,20,-0.17333095573073493,0.07146164151231325,-0.2067760334649133,-0.13988587799655655
TinyCNN,validation_patch,4,fidelity,20,-0.005192605080777091,0.03207030701310167,-0.020201970781218458,0.009816760619664274
TinyCNN,validation_patch,8,fidelity,20,0.007261752903114649,0.005514301732620711,0.004680980250901832,0.009842525555327466
TwoLayerCNN,contrast,1,fidelity,20,-0.011695980438240567,0.018136916798097254,-0.02018431878778952,-0.0032076420886916115
TwoLayerCNN,contrast,2,fidelity,20,-0.0378239351133827,0.024585067959518085,-0.04933010110124994,-0.02631776912551546
TwoLayerCNN,contrast,4,fidelity,20,-0.1312776398267597,0.07102108713963988,-0.16451653176771563,-0.09803874788580375
TwoLayerCNN,contrast,8,fidelity,20,-0.0020160342304054945,0.10100322465335658,-0.04928699846304396,0.045254930002232976
TwoLayerCNN,auroc,1,fidelity,20,-0.01410456238849776,0.01780432754275608,-0.022437244175126575,-0.005771880601868945
TwoLayerCNN,auroc,2,fidelity,20,-0.043799567793329594,0.027098011657679607,-0.05648182763445858,-0.03111730795220061
TwoLayerCNN,auroc,4,fidelity,20,-0.1319345152735751,0.06297966266657047,-0.16140990471299688,-0.10245912583415336
TwoLayerCNN,auroc,8,fidelity,20,0.010441369509089693,0.10822034963849736,-0.04020731318952781,0.0610900522077072
TwoLayerCNN,validation_patch,1,fidelity,20,-0.025565980662965126,0.0265630533600533,-0.03799787231397112,-0.013134089011959128
TwoLayerCNN,validation_patch,2,fidelity,20,-0.07602425929479228,0.06143266402928902,-0.10477563108525434,-0.04727288750433024
TwoLayerCNN,validation_patch,4,fidelity,20,-0.08831548700616057,0.11061811184551186,-0.14008635696083008,-0.036544617051491056
TwoLayerCNN,validation_patch,8,fidelity,20,0.00996034606891973,0.024448337552286103,-0.001481828118567282,0.02140252025640674
TinyCNN,contrast,1,cf_accuracy,20,-0.20087890625,0.11595305655700769,-0.2551466071871033,-0.14661120531289668
TinyCNN,contrast,2,cf_accuracy,20,-0.36259765625,0.16547509600572352,-0.4400423850843979,-0.2851529274156021
TinyCNN,contrast,4,cf_accuracy,20,-0.02412109375,0.06052622936949682,-0.05244824106120097,0.0042060535612009654
TinyCNN,contrast,8,cf_accuracy,20,0.01396484375,0.011411033238011575,0.008624315802474039,0.019305371697525962
TinyCNN,auroc,1,cf_accuracy,20,-0.16962890625,0.1217061179001645,-0.22658912277671822,-0.11266868972328174
TinyCNN,auroc,2,cf_accuracy,20,-0.3462890625,0.17149036938030443,-0.42654902593225597,-0.2660290990677441
TinyCNN,auroc,4,cf_accuracy,20,-0.0369140625,0.09289136160125812,-0.08038855796135093,0.006560432961350934
TinyCNN,auroc,8,cf_accuracy,20,0.01416015625,0.010991609430522433,0.009015924686774453,0.01930438781322555
TinyCNN,validation_patch,1,cf_accuracy,20,-0.17939453125,0.08401251966828871,-0.21871360077439594,-0.14007546172560403
TinyCNN,validation_patch,2,cf_accuracy,20,-0.1990234375,0.0951548473046083,-0.24355727687924436,-0.15448959812075566
TinyCNN,validation_patch,4,cf_accuracy,20,-0.0046875,0.052889862754944277,-0.029440717722886263,0.02006571772288626
TinyCNN,validation_patch,8,cf_accuracy,20,0.01474609375,0.008768479187200785,0.010642319167996805,0.018849868332003195
TwoLayerCNN,contrast,1,cf_accuracy,20,-0.00322265625,0.006532565804484941,-0.0062799911573850845,-0.00016532134261491513
TwoLayerCNN,contrast,2,cf_accuracy,20,-0.0087890625,0.012081488475979698,-0.014443373157754739,-0.003134751842245262
TwoLayerCNN,contrast,4,cf_accuracy,20,-0.06708984375,0.06459244996746243,-0.09732004088073029,-0.036859646619269715
TwoLayerCNN,contrast,8,cf_accuracy,20,0.02451171875,0.1209103605899017,-0.03207607189150129,0.08109950939150129
TwoLayerCNN,auroc,1,cf_accuracy,20,-0.003125,0.005855947462415095,-0.005865667775648436,-0.0003843322243515649
TwoLayerCNN,auroc,2,cf_accuracy,20,-0.01015625,0.012714670843021521,-0.016106899127421376,-0.004205600872578623
TwoLayerCNN,auroc,4,cf_accuracy,20,-0.06357421875,0.060054017897730856,-0.09168036428953773,-0.03546807321046226
TwoLayerCNN,auroc,8,cf_accuracy,20,0.03896484375,0.11971049639456992,-0.017061393162338574,0.09499108066233858
TwoLayerCNN,validation_patch,1,cf_accuracy,20,-0.0041015625,0.014791991218718261,-0.011024427489997091,0.002821302489997091
TwoLayerCNN,validation_patch,2,cf_accuracy,20,-0.028125,0.054978227458231256,-0.05385560248988343,-0.0023943975101165735
TwoLayerCNN,validation_patch,4,cf_accuracy,20,-0.050390625,0.12966037386726148,-0.11107354791167123,0.010292297911671237
TwoLayerCNN,validation_patch,8,cf_accuracy,20,0.01845703125,0.03676134737813232,0.0012521910776269324,0.035661871422373065
TinyCNN,contrast,1,causal_usefulness,20,-0.30041194752388933,0.12139947392074274,-0.35722865025059625,-0.2435952447971824
TinyCNN,contrast,2,causal_usefulness,20,-0.2497630700166113,0.15345622032198228,-0.32158279188204825,-0.17794334815117435
TinyCNN,contrast,4,causal_usefulness,20,0.08774926999899721,0.05158309342066362,0.06360763915042206,0.11189090084757236
TinyCNN,contrast,8,causal_usefulness,20,0.040866596141680464,0.027579046539209166,0.027959205046005145,0.05377398723735578
TinyCNN,auroc,1,causal_usefulness,20,-0.258473784913551,0.1282294441308858,-0.31848701209402375,-0.19846055773307822
TinyCNN,auroc,2,causal_usefulness,20,-0.2417371909287136,0.15329763030553767,-0.3134826903817401,-0.1699916914756871
TinyCNN,auroc,4,causal_usefulness,20,0.07670924894952214,0.08440501345729869,0.037206486677439164,0.1162120112216051
TinyCNN,auroc,8,causal_usefulness,20,0.040201841130487484,0.027644690117097467,0.027263727894671495,0.05313995436630348
TinyCNN,validation_patch,1,causal_usefulness,20,-0.24010201176372345,0.06860637169790326,-0.272210782090542,-0.2079932414369049
TinyCNN,validation_patch,2,causal_usefulness,20,-0.09141401884470741,0.05918444957441613,-0.11911319388156745,-0.06371484380784738
TinyCNN,validation_patch,4,causal_usefulness,20,0.10470147102826544,0.042800582973865166,0.08467018159332541,0.12473276046320546
TinyCNN,validation_patch,8,causal_usefulness,20,0.04161754681772652,0.025241454880641688,0.02980418229458781,0.05343091134086522
TwoLayerCNN,contrast,1,causal_usefulness,20,-0.0025440787175897268,0.019587690917376405,-0.011711400255422496,0.0066232428202430416
TwoLayerCNN,contrast,2,causal_usefulness,20,-0.012323446690215506,0.026192996306934196,-0.024582146309164464,-6.474707126655037e-05
TwoLayerCNN,contrast,4,causal_usefulness,20,-0.06497208207141987,0.07766146080135856,-0.10131876455007155,-0.028625399592768185
TwoLayerCNN,contrast,8,causal_usefulness,20,0.013987474818111767,0.10473585916113455,-0.03503041613806692,0.06300536577429046
TwoLayerCNN,auroc,1,causal_usefulness,20,-0.00495266066784692,0.019411069816805814,-0.014037320986134912,0.004131999650441071
TwoLayerCNN,auroc,2,causal_usefulness,20,-0.018299079370162404,0.02861992947743802,-0.031693618676325516,-0.004904540063999289
TwoLayerCNN,auroc,4,causal_usefulness,20,-0.06562895751823529,0.06616599847682267,-0.09659559802054676,-0.03466231701592382
TwoLayerCNN,auroc,8,causal_usefulness,20,0.026444878557606955,0.11265497578071096,-0.026279273062652913,0.07916903017786682
TwoLayerCNN,validation_patch,1,causal_usefulness,20,-0.016414078942314288,0.02732752079135534,-0.029203752364408468,-0.0036244055202201055
TwoLayerCNN,validation_patch,2,causal_usefulness,20,-0.05052377087162507,0.06192125928395538,-0.07950381228017939,-0.02154372946307076
TwoLayerCNN,validation_patch,4,causal_usefulness,20,-0.022009929250820744,0.11365340952606186,-0.07520136224776063,0.031181503746119138
TwoLayerCNN,validation_patch,8,causal_usefulness,20,0.02596385511743699,0.0330563909732099,0.01049298791772537,0.04143472231714861
