task,architecture,block,condition,epoch,concept,control,k,selected_channels,control_channels,selected_energy,control_energy,relative_energy_error,energy_ratio,method
two_concepts,TinyCNN,4000,template_release,200,0,7,1,[3],[7],25955.4375,11449.90625,0.5588629068571855,0.44113709314281446,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,0,1,[15],[5],71929.0078125,44681.18359375,0.37881551612359105,0.6211844838764089,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,1,1,[15],[3],71929.0078125,35846.70703125,0.5016376824675111,0.4983623175324889,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,2,1,[15],[4],71929.0078125,32849.0,0.5433135949041769,0.4566864050958231,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,3,1,[15],[2],71929.0078125,26840.59375,0.6268460449229835,0.3731539550770166,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,4,1,[15],[6],71929.0078125,26747.041015625,0.6281466708765467,0.3718533291234532,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,5,1,[15],[1],71929.0078125,24413.630859375,0.6605871316477087,0.3394128683522914,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,6,1,[15],[13],71929.0078125,23642.205078125,0.671311953311604,0.328688046688396,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,7,1,[15],[8],71929.0078125,23107.009765625,0.6787525579963665,0.3212474420036336,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,0,2,"[9, 12]","[5, 9]",15663.747924804688,15916.369995117188,0.01612781765419338,1.0161278176541932,contrast
two_concepts,TinyCNN,4000,template_release,200,0,1,2,"[9, 12]","[7, 11]",15663.747924804688,15921.67724609375,0.01646664147860887,1.0164666414786088,contrast
two_concepts,TinyCNN,4000,template_release,200,0,2,2,"[9, 12]","[6, 11]",15663.747924804688,16096.21923828125,0.027609695684116097,1.027609695684116,contrast
two_concepts,TinyCNN,4000,template_release,200,0,3,2,"[9, 12]","[1, 10]",15663.747924804688,16381.2421875,0.04580603991712021,1.04580603991712,contrast
two_concepts,TinyCNN,4000,template_release,200,0,4,2,"[9, 12]","[0, 13]",15663.747924804688,14883.10791015625,0.04983737087675147,0.9501626291232484,contrast
two_concepts,TinyCNN,4000,template_release,200,0,5,2,"[9, 12]","[2, 11]",15663.747924804688,14880.92822265625,0.049976525791045535,0.9500234742089544,contrast
two_concepts,TinyCNN,4000,template_release,200,0,6,2,"[9, 12]","[0, 1]",15663.747924804688,16562.09912109375,0.057352250598112456,1.0573522505981123,contrast
two_concepts,TinyCNN,4000,template_release,200,0,7,2,"[9, 12]","[10, 13]",15663.747924804688,14702.2509765625,0.06138358155774371,0.9386164184422562,contrast
two_concepts,TinyCNN,4000,template_release,200,1,0,2,"[6, 15]","[2, 15]",98676.048828125,98769.6015625,0.000948079452775325,1.0009480794527754,contrast
two_concepts,TinyCNN,4000,template_release,200,1,1,2,"[6, 15]","[1, 15]",98676.048828125,96342.638671875,0.023647178661504363,0.9763528213384957,contrast
two_concepts,TinyCNN,4000,template_release,200,1,2,2,"[6, 15]","[13, 15]",98676.048828125,95571.212890625,0.03146493981440254,0.9685350601855974,contrast
two_concepts,TinyCNN,4000,template_release,200,1,3,2,"[6, 15]","[8, 15]",98676.048828125,95036.017578125,0.03688870088769206,0.963111299112308,contrast
two_concepts,TinyCNN,4000,template_release,200,1,4,2,"[6, 15]","[14, 15]",98676.048828125,93637.45703125,0.051061953297818735,0.9489380467021813,contrast
two_concepts,TinyCNN,4000,template_release,200,1,5,2,"[6, 15]","[0, 15]",98676.048828125,93120.8828125,0.05629700501386155,0.9437029949861384,contrast
two_concepts,TinyCNN,4000,template_release,200,1,6,2,"[6, 15]","[4, 15]",98676.048828125,104778.0078125,0.06183829872437898,1.061838298724379,contrast
two_concepts,TinyCNN,4000,template_release,200,1,7,2,"[6, 15]","[3, 15]",98676.048828125,107775.71484375,0.09221757583215452,1.0922175758321546,contrast
two_concepts,TinyCNN,4000,template_release,200,0,0,2,"[9, 12]","[5, 9]",15663.747924804688,15916.369995117188,0.01612781765419338,1.0161278176541932,auroc
two_concepts,TinyCNN,4000,template_release,200,0,1,2,"[9, 12]","[7, 11]",15663.747924804688,15921.67724609375,0.01646664147860887,1.0164666414786088,auroc
two_concepts,TinyCNN,4000,template_release,200,0,2,2,"[9, 12]","[6, 11]",15663.747924804688,16096.21923828125,0.027609695684116097,1.027609695684116,auroc
two_concepts,TinyCNN,4000,template_release,200,0,3,2,"[9, 12]","[1, 10]",15663.747924804688,16381.2421875,0.04580603991712021,1.04580603991712,auroc
two_concepts,TinyCNN,4000,template_release,200,0,4,2,"[9, 12]","[0, 13]",15663.747924804688,14883.10791015625,0.04983737087675147,0.9501626291232484,auroc
two_concepts,TinyCNN,4000,template_release,200,0,5,2,"[9, 12]","[2, 11]",15663.747924804688,14880.92822265625,0.049976525791045535,0.9500234742089544,auroc
