task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,epoch,early_acc,first95,attained95,val_acc40,val_acc200,late_ce_slope
single_shape,TinyCNN,2000,random,1.0,0.0033108927309513,0.3112053808695376,0.1781882283015182,0.95977783203125,0.296953096602788,0.4527738432767326,0.1669135783171451,0.3177083432674408,0.0543619787786155,1.0,1.0,0.0001005916419671,1.0,1.0,True,2.3314077854156494,0.5536670684814453,0.2858602649595875,200,0.88125,7.0,True,1.0,1.0,-1.2540661631837329e-05
single_shape,TinyCNN,2000,random_unitnorm,1.0,0.0033165386412292,0.308409461350641,0.1781882303664962,0.95819091796875,0.3195280900017536,0.4981932259802224,0.1824320605993561,0.3671875,0.0651041669771075,1.0,1.0,8.647648792248219e-05,1.0,1.0,True,2.3818166255950928,0.521547794342041,0.3157611653808663,200,0.908203125,6.0,True,1.0,1.0,-1.2787227445330556e-05
single_shape,TinyCNN,2000,template_init,1.0,0.0032374199945479,0.5740882543980911,1.0,0.9721883138020834,0.4213945808366296,0.4617805772332852,0.1662467690447336,0.3411458432674408,0.0799153645057231,1.0,1.0,8.49291100166738e-05,1.0,1.0,True,2.549302577972412,0.4590356349945068,0.2955338081885515,200,0.70703125,8.0,True,1.0,1.0,-1.707139172892401e-05
single_shape,TinyCNN,2000,template_release,1.0,0.0042906026355922,0.6816283272427761,1.0,0.9631144205729169,0.429448993927474,0.4561903586488024,0.1878533725702132,0.2708333432674408,0.0966796876164153,1.0,1.0,7.232830830616876e-05,1.0,1.0,True,1.655890703201294,0.5492134094238281,0.2683369860785891,200,0.71015625,8.0,True,0.9921875,1.0,-2.6512430119503148e-05
single_shape,TinyCNN,2000,template_retention_1,1.0,0.0911258831620216,0.9585087768085676,1.0,0.9331868489583331,0.5361988938170229,0.6328744342091226,0.2988080991711237,0.4296875,0.083821615204215,1.0,1.0,0.0019240385154262,1.0,1.0,True,0.286116361618042,0.4572334289550781,0.3340663350379989,200,0.71015625,8.0,True,0.9921875,1.0,-0.00037978199639714544
single_shape,TinyCNN,2001,random,1.0,0.0022691888734698,0.3199572261923319,0.172555832020588,0.96905517578125,0.3543186551612329,0.4130704820942563,0.1412515472238873,0.296875,0.0696614576008869,1.0,1.0,1.124444133893121e-05,1.0,1.0,True,2.168242931365967,0.4987473487854004,0.2718189348703689,200,0.87734375,6.0,True,1.0,1.0,-2.672948307336533e-05
single_shape,TinyCNN,2001,random_unitnorm,1.0,0.002769129583612,0.3037893639126269,0.1725558327423155,0.9662272135416669,0.3426312555862311,0.4060378862266849,0.1493322491306712,0.2434895783662796,0.0719401046517305,1.0,1.0,2.758706068561878e-05,1.0,1.0,True,2.2292630672454834,0.5225331783294678,0.2567056370960137,200,0.88359375,6.0,True,0.99609375,1.0,-3.135431403840218e-05
single_shape,TinyCNN,2001,template_init,1.0,0.0037439703010022,0.6445900958608176,1.0,0.9829915364583331,0.4061093480935117,0.4681828485368353,0.1395653114481747,0.3528645932674408,0.051269530551508,1.0,1.0,0.0002894552890211,1.0,1.0,True,2.3224573135375977,0.4940559864044189,0.3286175370886606,200,0.900390625,5.0,True,1.0,1.0,-3.179935248274748e-05
single_shape,TinyCNN,2001,template_release,1.0,0.0052465721964836,0.7049252546347982,1.0,0.975830078125,0.431151168991527,0.5105391246278184,0.1591684789781778,0.41796875,0.0748697905801236,1.0,1.0,0.0011130650527775,1.0,1.0,True,1.5200953483581543,0.4820921421051025,0.3513706456496405,200,0.898828125,5.0,True,1.0,1.0,-3.455903037990049e-05
single_shape,TinyCNN,2001,template_retention_1,0.99609375,0.0806734710931778,0.9628938062140404,1.0,0.9346516927083331,0.5367191507507012,0.692055427333903,0.3043356160965191,0.5481770634651184,0.0958658874151296,1.0,0.99609375,0.0021203046198934,0.99609375,1.0,True,0.2770794332027435,0.508357048034668,0.3877198112373838,200,0.898828125,5.0,True,0.99609375,0.99609375,-0.0002997958794572268
single_shape,TinyCNN,2002,random,1.0,0.0020728660747408,0.3240392195230074,0.1704622214061759,0.97998046875,0.3951882163199571,0.426818578477048,0.1557669579147376,0.2890625,0.0709635413368232,1.0,1.0,2.762090844043996e-05,1.0,1.0,True,2.3332908153533936,0.4930927753448486,0.2710516205623104,200,0.84609375,8.0,True,1.0,1.0,-2.6672931836175887e-05
single_shape,TinyCNN,2002,random_unitnorm,1.0,0.0024474067613482,0.3068398124253176,0.17046222207847,0.9806925455729166,0.4065717288612923,0.3769333272335546,0.1660391599389147,0.2760416567325592,0.0831705727614462,1.0,1.0,5.075025910628028e-05,1.0,1.0,True,2.384342670440674,0.5257208347320557,0.2108941672946399,200,0.853515625,7.0,True,1.0,1.0,-3.065549474405515e-05
single_shape,TinyCNN,2002,template_init,1.0,0.0028817360289394,0.5969471177091557,1.0,0.98297119140625,0.3696557920819059,0.5254426312777289,0.1299376971035486,0.4088541567325592,0.0367838544771075,1.0,1.0,7.424542855005711e-05,1.0,1.0,True,2.6346240043640137,0.5685594081878662,0.3955049341741803,200,0.763671875,9.0,True,1.0,1.0,-3.646911065885373e-05
single_shape,TinyCNN,2002,template_release,1.0,0.0031036455184221,0.7004363647649506,1.0,0.9814249674479166,0.3810646395664663,0.6309842341629589,0.1719129391867396,0.53125,0.0917968736030161,1.0,1.0,6.317992665572092e-05,1.0,1.0,True,1.677480936050415,0.5240836143493652,0.4590712949762192,200,0.74921875,12.0,True,0.99609375,1.0,-5.139558281945453e-05
single_shape,TinyCNN,2002,template_retention_1,1.0,0.0684500411152839,0.9625192459719965,1.0,0.9400838216145834,0.4968380686867634,0.6342179561482763,0.2861075119482488,0.5260416865348816,0.0880533843301236,1.0,1.0,0.0011145843891426,1.0,1.0,True,0.2759558856487274,0.4837813377380371,0.3481104442000274,200,0.74921875,12.0,True,0.99609375,1.0,-0.0003760107141688329
single_shape,TinyCNN,2003,random,1.0,0.0030977050773799,0.3316816232560384,0.1619630300243563,0.9824625651041666,0.3404551310775381,0.4157130908193183,0.172210024669855,0.3216145932674408,0.1017252593301236,1.0,1.0,0.0004460788040887,1.0,1.0,True,2.2250239849090576,0.4783143997192383,0.2435030661494632,200,0.768359375,10.0,True,1.0,1.0,-2.3372216969448405e-05
single_shape,TinyCNN,2003,random_unitnorm,1.0,0.0032052765600383,0.3048400657348296,0.1619630284816084,0.99041748046875,0.3524411204470751,0.434888281581409,0.1801059154679484,0.3424479067325592,0.1022135405801236,1.0,1.0,0.0003680287336464,1.0,1.0,True,2.2677793502807617,0.4513289928436279,0.2547823661134606,200,0.76796875,10.0,True,1.0,1.0,-2.534384874248861e-05
single_shape,TinyCNN,2003,template_init,1.0,0.0044085066765546,0.6304106482648991,1.0,0.97625732421875,0.4814121454109468,0.4343918716036836,0.1781849554217846,0.3229166567325592,0.0807291660457849,1.0,1.0,0.0002226295764558,1.0,1.0,True,2.34368896484375,0.481332778930664,0.256206916181899,200,0.804296875,7.0,True,1.0,1.0,-2.786000924451078e-05
single_shape,TinyCNN,2003,template_release,1.0,0.0039709811098873,0.6939810178211835,1.0,0.9876302083333331,0.4776754824876288,0.4779951357372707,0.1973106407995013,0.3776041567325592,0.1090494796517305,1.0,1.0,0.0016386533388867,1.0,1.0,True,1.5326685905456543,0.4710392951965332,0.2806844949377693,200,0.795703125,8.0,True,1.0,1.0,-3.226683527595246e-05
single_shape,TinyCNN,2003,template_retention_1,1.0,0.0822031274437904,0.9550392215697696,1.0,0.9438883463541666,0.5804089392395095,0.6610279556062169,0.314117727234408,0.5481770634651184,0.1228841148986248,0.99609375,0.99609375,0.0036272471770644,1.0,1.0,True,0.2981840968132019,0.5184445381164551,0.3469102283718088,200,0.795703125,8.0,True,1.0,1.0,-0.0003257106289379563
single_shape,TinyCNN,2004,random,1.0,0.0018718739738687,0.2952689528731302,0.1506518033006179,0.9577840169270834,0.2514389809394817,0.4220000122991966,0.1229211462563761,0.3567708432674408,0.0467122392728924,1.0,1.0,6.899208983668359e-06,1.0,1.0,True,2.371904134750366,0.481163740158081,0.2990788660428205,200,0.831640625,7.0,True,1.0,1.0,-2.4688433281572253e-05
single_shape,TinyCNN,2004,random_unitnorm,1.0,0.0022441777400672,0.2964552363679439,0.1506518025216334,0.9566446940104166,0.2405080558754564,0.4642772064319375,0.1257910919344975,0.3580729067325592,0.0462239575572311,1.0,1.0,1.2054717444698326e-05,1.0,1.0,True,2.438293933868408,0.4784700870513916,0.33848611449744,200,0.798046875,8.0,True,1.0,1.0,-2.5157164957346617e-05
single_shape,TinyCNN,2004,template_init,1.0,0.002351896604523,0.5903703859459211,1.0,0.9736735026041669,0.4305073610172588,0.4686563410600792,0.1631095627676826,0.35546875,0.0644531252328306,1.0,1.0,2.7789545129053295e-05,1.0,1.0,True,2.5683445930480957,0.473907470703125,0.3055467782923966,200,0.750390625,6.0,True,1.0,1.0,-2.9665692289239452e-05
single_shape,TinyCNN,2004,template_release,1.0,0.0026988808531314,0.6745580984279064,1.0,0.9716796875,0.5433248717961937,0.5939485911294975,0.1678588470677424,0.4947916567325592,0.067220052704215,1.0,1.0,1.943413371918723e-05,1.0,1.0,True,1.6581008434295654,0.5444574356079102,0.426089744061755,200,0.755859375,6.0,True,1.0,1.0,-3.549453707874205e-05
single_shape,TinyCNN,2004,template_retention_1,1.0,0.0782432407140731,0.9585795279341262,1.0,0.9328816731770834,0.5963869781538489,0.625702884522082,0.3260136542178198,0.4973958432674408,0.1171875009313225,1.0,1.0,0.0010836453875526,1.0,1.0,True,0.2936855852603912,0.5047576427459717,0.2996892303042621,200,0.755859375,6.0,True,1.0,1.0,-0.0004094071910345453
single_shape,TinyCNN,2005,random,1.0,0.0039000161923468,0.2976038327247463,0.1703590218926116,0.9571329752604169,0.2856871583649886,0.3462790776626679,0.1497659793864905,0.1888020783662796,0.0441080729942768,1.0,1.0,0.0001632935018278,1.0,1.0,True,2.465370178222656,0.4699301719665527,0.1965130982761774,200,0.700390625,12.0,True,1.0,1.0,-2.0377962723990803e-05
single_shape,TinyCNN,2005,random_unitnorm,1.0,0.0040826061740517,0.2997906611953804,0.1703590225789551,0.9683024088541666,0.3369559734840025,0.4151210065618457,0.1576331017579888,0.29296875,0.0592447921517305,1.0,1.0,7.998030196176842e-05,1.0,1.0,True,2.543713092803955,0.5180413722991943,0.2574879048038568,200,0.7640625,11.0,True,1.0,1.0,-2.0741777935701826e-05
single_shape,TinyCNN,2005,template_init,1.0,0.0038997586816549,0.6027083184594,1.0,0.96636962890625,0.4069874723945546,0.4274012050118051,0.1575107209676693,0.3098958432674408,0.0634765634749783,1.0,1.0,0.0003314091300126,1.0,1.0,True,2.668296813964844,0.4866044521331787,0.2698904840441358,200,0.76875,9.0,True,1.0,1.0,-2.5021164376932564e-05
single_shape,TinyCNN,2005,template_release,1.0,0.0040207765996456,0.6758713030133355,1.0,0.96624755859375,0.4333961858840886,0.4091269391687538,0.1662926909797233,0.2916666567325592,0.0662434896657941,1.0,1.0,0.0001732237433316,1.0,1.0,True,1.6739811897277832,0.4715287685394287,0.2428342481890305,200,0.74609375,11.0,True,1.0,1.0,-2.853176223912171e-05
single_shape,TinyCNN,2005,template_retention_1,1.0,0.0923641994595527,0.9556196156770456,1.0,0.92962646484375,0.597009829337976,0.622725820811162,0.2866636196424701,0.4635416567325592,0.0984700510161928,1.0,1.0,0.0015720948576927,1.0,1.0,True,0.3004801273345947,0.5109012126922607,0.3360622011686918,200,0.74609375,11.0,True,1.0,1.0,-0.00040444055558147167
single_shape,TinyCNN,2006,random,1.0,0.0024393266066908,0.2622727378970173,0.1297978272153516,0.96923828125,0.2273731649533893,0.4120838864929967,0.126445500382406,0.3033854067325592,0.0340169265400618,1.0,1.0,1.5553672710666433e-05,1.0,1.0,True,2.386916160583496,0.5396981239318848,0.2856383861105908,200,0.7515625,10.0,True,1.0,1.0,-2.1486550296439568e-05
single_shape,TinyCNN,2006,random_unitnorm,1.0,0.0027972483076155,0.248021875419582,0.1297978262528433,0.9632364908854166,0.2434380206299634,0.4290121717254362,0.1386088097942537,0.3385416567325592,0.0441080723539926,1.0,1.0,2.4784983907011338e-05,1.0,1.0,True,2.4118800163269043,0.5015709400177002,0.2904033619311825,200,0.7484375,9.0,True,1.0,1.0,-2.333034369114188e-05
single_shape,TinyCNN,2006,template_init,1.0,0.0030766876880079,0.6102012096729015,1.0,0.9789835611979166,0.437204196243755,0.444950505092102,0.1363541067946557,0.3203125,0.0356445311917923,1.0,1.0,1.896440517157316e-05,1.0,1.0,True,2.7374677658081055,0.4909496307373047,0.3085963982974463,200,0.65703125,7.0,True,1.0,1.0,-2.7890801709845516e-05
single_shape,TinyCNN,2006,template_release,1.0,0.0032528403680771,0.6627879404871183,1.0,0.9746500651041666,0.4707266850634783,0.5424521727324001,0.1417892666738107,0.4010416567325592,0.0379231777915265,1.0,1.0,6.536884029628709e-05,1.0,1.0,True,1.7857890129089355,0.4490783214569092,0.4006629060585894,200,0.655859375,8.0,True,0.9921875,1.0,-2.978960353236967e-05
single_shape,TinyCNN,2006,template_retention_1,1.0,0.0862968564033508,0.955949914064964,1.0,0.9398600260416669,0.5539644192901012,0.7006078810882781,0.2401836477521582,0.5703125,0.0485026039241347,1.0,1.0,0.002004436450079,1.0,1.0,True,0.2935706973075866,0.4952461719512939,0.4604242333361198,200,0.655859375,8.0,True,0.98828125,1.0,-0.000431326984014726
single_shape,TinyCNN,2007,random,1.0,0.003155443817377,0.2822440463653936,0.149938698073271,0.9666341145833331,0.3512359291579073,0.3022151959581017,0.1478917515672097,0.1614583283662796,0.0572916668606922,1.0,1.0,5.059644900029525e-05,1.0,1.0,True,2.2920010089874268,0.4758915901184082,0.154323444390892,200,0.808203125,9.0,True,1.0,1.0,-1.7992242176391208e-05
