task,architecture,method,k,metric,n,mean,ci_low,ci_high
two_concepts,TinyCNN,auroc,4,cf_accuracy,10,-0.0310546875,-0.07899269615081075,0.016883321150810756
two_concepts,TinyCNN,auroc,8,causal_usefulness,10,0.040496472336680314,0.025910592045718044,0.055082352627642585
two_concepts,TinyCNN,auroc,8,cf_accuracy,10,0.0146484375,0.008748205660663923,0.02054866933933608
two_concepts,TinyCNN,contrast,1,causal_usefulness,10,-0.3351642586149152,-0.4250186374086487,-0.24530987982118174
two_concepts,TinyCNN,contrast,1,cf_accuracy,10,-0.25546875,-0.3331958072657565,-0.17774169273424356
two_concepts,TinyCNN,contrast,2,causal_usefulness,10,-0.10107579880426718,-0.20067559562863738,-0.0014760019798969737
two_concepts,TinyCNN,contrast,2,cf_accuracy,10,-0.1845703125,-0.3204146282652567,-0.048725996734743315
two_concepts,TinyCNN,contrast,4,causal_usefulness,10,0.06083068878750343,0.026977726972907,0.09468365060209986
two_concepts,TinyCNN,contrast,4,cf_accuracy,10,-0.0296875,-0.06950540117749854,0.010130401177498548
two_concepts,TinyCNN,contrast,8,causal_usefulness,10,0.03981215333123246,0.02481971028527854,0.05480459637718638
two_concepts,TinyCNN,contrast,8,cf_accuracy,10,0.01328125,0.007039811082250558,0.019522688917749442
two_concepts,TinyCNN,validation_patch,1,causal_usefulness,10,-0.23706051144292042,-0.2831795693247858,-0.1909414535610551
two_concepts,TinyCNN,validation_patch,1,cf_accuracy,10,-0.1939453125,-0.24208469671104857,-0.14580592828895142
two_concepts,TinyCNN,validation_patch,2,causal_usefulness,10,-0.059537593491706745,-0.09782213931999081,-0.021253047663422682
two_concepts,TinyCNN,validation_patch,2,cf_accuracy,10,-0.1470703125,-0.20492573545816406,-0.08921488954183594
two_concepts,TinyCNN,validation_patch,4,causal_usefulness,10,0.06716990920263391,0.04402353065035662,0.0903162877549112
two_concepts,TinyCNN,validation_patch,4,cf_accuracy,10,-0.0205078125,-0.046103746313168784,0.005088121313168787
two_concepts,TinyCNN,validation_patch,8,causal_usefulness,10,0.03833326045226254,0.022877412048154182,0.0537891088563709
two_concepts,TinyCNN,validation_patch,8,cf_accuracy,10,0.012890625,0.006775572510858908,0.01900567748914109
two_concepts,TwoLayerCNN,auroc,1,causal_usefulness,10,-0.002776032563340787,-0.010064814534703575,0.004512749408022
two_concepts,TwoLayerCNN,auroc,1,cf_accuracy,10,-0.002734375,-0.006231982813329781,0.0007632328133297807
two_concepts,TwoLayerCNN,auroc,2,causal_usefulness,10,0.003375802893965117,-0.009270656434406725,0.01602226222233696
two_concepts,TwoLayerCNN,auroc,2,cf_accuracy,10,-0.002734375,-0.008521397973631087,0.0030526479736310876
two_concepts,TwoLayerCNN,auroc,4,causal_usefulness,10,-0.053862068067198274,-0.09238623048290667,-0.015337905651489882
two_concepts,TwoLayerCNN,auroc,4,cf_accuracy,10,-0.040625,-0.06515251063972131,-0.016097489360278685
two_concepts,TwoLayerCNN,auroc,8,causal_usefulness,10,0.01085444194497126,-0.10794734904462837,0.1296562329345709
two_concepts,TwoLayerCNN,auroc,8,cf_accuracy,10,0.0064453125,-0.12080997664968621,0.1337006016496862
two_concepts,TwoLayerCNN,contrast,1,causal_usefulness,10,-0.0010232505061829559,-0.008361328770191563,0.006314827757825651
two_concepts,TwoLayerCNN,contrast,1,cf_accuracy,10,-0.0029296875,-0.006367876999294876,0.0005085019992948753
two_concepts,TwoLayerCNN,contrast,2,causal_usefulness,10,-3.5070384815651114e-05,-0.015240039925939657,0.015169899156308354
two_concepts,TwoLayerCNN,contrast,2,cf_accuracy,10,-0.003125,-0.00955135969990533,0.0033013596999053292
two_concepts,TwoLayerCNN,contrast,4,causal_usefulness,10,-0.05779997481804491,-0.0943988063704243,-0.021201143265665516
two_concepts,TwoLayerCNN,contrast,4,cf_accuracy,10,-0.0421875,-0.06589113626130222,-0.01848386373869778
two_concepts,TwoLayerCNN,contrast,8,causal_usefulness,10,-0.0037520008903107137,-0.09641643665305423,0.08891243487243279
two_concepts,TwoLayerCNN,contrast,8,cf_accuracy,10,-0.0064453125,-0.10385702011325305,0.09096639511325307
two_concepts,TwoLayerCNN,validation_patch,1,causal_usefulness,10,-0.0128575871265381,-0.019125268290001,-0.0065899059630751995
two_concepts,TwoLayerCNN,validation_patch,1,cf_accuracy,10,-0.0033203125,-0.006550324208702215,-9.030079129778486e-05
two_concepts,TwoLayerCNN,validation_patch,2,causal_usefulness,10,-0.043302347274336773,-0.0639506675395388,-0.022654027009134742
two_concepts,TwoLayerCNN,validation_patch,2,cf_accuracy,10,-0.011328125,-0.024661267886611986,0.0020050178866119848
two_concepts,TwoLayerCNN,validation_patch,4,causal_usefulness,10,-0.02057527677049471,-0.09539649089510464,0.05424593735411522
two_concepts,TwoLayerCNN,validation_patch,4,cf_accuracy,10,-0.05390625,-0.12218636151958748,0.014373861519587472
two_concepts,TwoLayerCNN,validation_patch,8,causal_usefulness,10,0.04290664805649873,0.012304609872167395,0.07350868624083007
two_concepts,TwoLayerCNN,validation_patch,8,cf_accuracy,10,0.03046875,0.007330030182419386,0.05360746981758061
