regime,seed,run_dir,id_acc,ood_rot_acc,ood_thick_acc,ood_occ_acc,align_mean_best,spec_mean
frozen_templates,0,runs/v3_seed0/frozen_templates/seed00,0.8016826957464218,0.6274038478732109,0.42315204441547394,0.7982271611690521,1.0,0.5691508054733276
random,0,runs/v3_seed0/random/seed00,1.0,0.5981069728732109,0.613131009042263,1.0,0.3001297116279602,2.2832326889038086
template_init,0,runs/v3_seed0/template_init/seed00,1.0,0.5910456702113152,0.7875600978732109,1.0,0.6417468190193176,1.7789416313171387
