suite,regime,seed,id_acc,ood_rot_acc,ood_thick_acc,ood_occ_acc,align_mean_best,specificity,patch_single_success,patch_single_shift,patch_topk_success_at_maxk_repo,patch_topk_mean_shift,drift_cosine,drift_l2,init_kernel_norm,initial_alignment,val_final_repo,val_max_repo,t98,t100,auc_10,auc_20,auc_50,val_acc_sample,val_majority_baseline,test_acc_sample,test_majority_baseline,ood_rot_acc_sample,ood_rot_majority_baseline,ood_thick_acc_sample,ood_thick_majority_baseline,ood_occ_acc_sample,ood_occ_majority_baseline,patch_val_rank_k8,patch_random_rank_k8,patch_val_rank_k8_source_prediction,patch_val_rank_k8_source_prediction_both_correct
controls,frozen_random_unitnorm,0,0.23536931872367858,0.1832386374473572,0.2409090906381607,0.2865056812763214,0.13005107641220093,0.1562584936618805,0.5535416603088379,0.005273042246699333,0.6383333206176758,0.037818823009729385,1.0,0.0,1.0,0.13005107641220093,0.291015625,0.330078125,inf,inf,1.951171875,4.103515625,8.46875,0.2675,0.3325,0.23666666666666666,0.24666666666666667,0.18333333333333332,0.23333333333333334,0.24333333333333335,0.22,0.2866666666666667,0.25333333333333335,0.625,0.6695000022649765,0.4241666793823242,0.6600000262260437
controls,frozen_random_unitnorm,1,0.23735795617103578,0.21832386255264283,0.25596590638160704,0.2539772719144821,0.15717051923274994,0.18585124611854553,0.6044270992279053,0.015203919261693954,0.7074999809265137,0.06605292111635208,1.0,0.0,1.0,0.15717051923274994,0.23046875,0.232421875,inf,inf,2.05859375,4.34375,11.19921875,0.26,0.2575,0.235,0.23333333333333334,0.22,0.22,0.25333333333333335,0.25333333333333335,0.255,0.255,0.7074999809265137,0.839916667342186,0.2750000059604645,
controls,frozen_random_unitnorm,2,0.48167613744735716,0.36022727489471434,0.2539772719144821,0.5034090936183929,0.14093273878097534,0.22962407767772675,0.6434895396232605,0.02597217448055744,0.7558333277702332,0.12631121277809143,1.0,0.0,1.0,0.14093273878097534,0.376953125,0.376953125,inf,inf,2.3720703125,5.0048828125,13.6181640625,0.4475,0.2325,0.485,0.22,0.36,0.25333333333333335,0.255,0.255,0.5066666666666667,0.27,0.7558333277702332,0.889291661977768,0.4116666615009308,0.46399998664855957
controls,frozen_random_unitnorm,3,0.32215909361839296,0.23480113744735717,0.27173295617103577,0.3480113625526428,0.1628061681985855,0.16238051652908325,0.5862499475479126,0.012326476164162159,0.5941666960716248,0.04505879431962967,1.0,0.0,1.0,0.1628061681985855,0.3984375,0.3984375,inf,inf,2.0390625,4.3837890625,12.3935546875,0.3525,0.285,0.32166666666666666,0.24,0.23833333333333334,0.225,0.27166666666666667,0.25666666666666665,0.35,0.24833333333333332,0.5741666555404663,0.7612083345651627,0.39250001311302185,0.3564356565475464
controls,frozen_random_unitnorm,4,0.2409090906381607,0.2271306812763214,0.2529829561710358,0.24900568127632142,0.19867397844791412,0.20238932967185974,0.5577604174613953,0.013115040957927704,0.6366666555404663,0.06037129834294319,1.0,0.0,1.0,0.19867397844791412,0.203125,0.205078125,inf,inf,1.845703125,3.87890625,7.814453125,0.26,0.245,0.24333333333333335,0.225,0.22333333333333333,0.25666666666666665,0.25166666666666665,0.24833333333333332,0.24666666666666667,0.23166666666666666,0.6366666555404663,0.7147083282470703,0.3141666650772095,0.4285714328289032
controls,random_unitnorm,0,0.9953125,0.5336647748947143,0.6646306872367859,0.9953125,0.254593163728714,0.8658171892166138,0.7303125262260437,0.26322901248931885,0.9083333611488342,1.3910788297653198,0.7614847421646118,0.8938614130020142,1.0,0.13005107641220093,1.0,1.0,59.0,79.0,1.9501953125,7.7978515625,30.572265625,1.0,0.3325,0.995,0.24666666666666667,0.5283333333333333,0.23333333333333334,0.665,0.22,0.995,0.25333333333333335,0.9083333611488342,0.9922916710376739,0.5166666507720947,0.5172704458236694
controls,random_unitnorm,1,0.9836647748947144,0.5163352251052856,0.40852272510528564,0.9876420497894287,0.28476426005363464,0.9237658977508545,0.7653646469116211,0.3164193034172058,0.8924999833106995,1.316035509109497,0.749108076095581,0.9932488799095154,1.0,0.15717051923274994,0.98828125,0.98828125,94.0,inf,2.060546875,5.267578125,27.8046875,0.985,0.2575,0.9833333333333333,0.23333333333333334,0.5166666666666667,0.22,0.41,0.25333333333333335,0.9883333333333333,0.255,0.8924999833106995,0.9895416736602783,0.47583332657814026,0.4763948619365692
controls,random_unitnorm,2,0.9977272748947144,0.6056818127632141,0.6015625,1.0,0.26033806800842285,0.9175316095352173,0.7985937595367432,0.3708975315093994,0.9391666650772095,1.6667733192443848,0.7704930901527405,0.9821624159812927,1.0,0.14093273878097534,1.0,1.0,53.0,85.0,3.0751953125,8.5380859375,36.138671875,1.0,0.2325,0.9983333333333333,0.22,0.6066666666666667,0.25333333333333335,0.6,0.255,1.0,0.27,0.9391666650772095,0.9941666722297668,0.4975000023841858,0.49749162793159485
controls,random_unitnorm,3,1.0,0.49786931872367857,0.6913352251052857,1.0,0.27198514342308044,0.9660305976867676,0.7776562571525574,0.32091355323791504,0.9266666769981384,1.4845366477966309,0.7422869205474854,0.9906783103942871,1.0,0.1628061681985855,0.998046875,0.998046875,45.0,inf,2.10546875,7.314453125,34.98828125,0.9975,0.285,1.0,0.24,0.5,0.225,0.6866666666666666,0.25666666666666665,1.0,0.24833333333333332,0.9266666769981384,0.9945416718721389,0.4958333373069763,0.4958333373069763
controls,random_unitnorm,4,1.0,0.5674715876579285,0.5289772748947144,0.9984375,0.283238023519516,0.9007444381713867,0.7391666769981384,0.2778860032558441,0.8974999785423279,1.3682875633239746,0.7711108326911926,0.9187833070755005,1.0,0.19867397844791412,1.0,1.0,56.0,60.0,1.845703125,4.8115234375,25.2998046875,1.0,0.245,1.0,0.225,0.5666666666666667,0.25666666666666665,0.5233333333333333,0.24833333333333332,0.9983333333333333,0.23166666666666666,0.8974999785423279,0.9828750044107437,0.5049999952316284,0.5049999952316284
