task,architecture,condition,epoch,nearest_cosine_mean,nearest_cosine_std,nearest_cosine_count,assignment_cosine_mean,assignment_cosine_std,assignment_cosine_count,matching_gap_mean,matching_gap_std,matching_gap_count,nearest_template_count_mean,nearest_template_count_std,nearest_template_count_count,nearest_distance_mean,nearest_distance_std,nearest_distance_count,assignment_distance_mean,assignment_distance_std,assignment_distance_count,redundancy_cosine_mean,redundancy_cosine_std,redundancy_cosine_count,mean_raw_norm_mean,mean_raw_norm_std,mean_raw_norm_count,initial_index_cosine_mean,initial_index_cosine_std,initial_index_cosine_count,raw_initial_drift_mean,raw_initial_drift_std,raw_initial_drift_count
single_shape,TinyCNN,random,0,0.15981426376939667,0.014446644234107776,10,0.1431018541259015,0.014226636436616964,10,0.016712409643495175,0.005084718867039902,10,10.0,1.1547005383792515,10,1.2950925087344882,0.01100326265953908,10,1.3077201591267882,0.01073079348534975,10,0.18922910023365985,0.016757462320499145,10,0.5794152,0.0055357637,10,1.0,3.700743415417188e-17,10,0.0,0.0,10
single_shape,TinyCNN,random,1,0.1667810526690693,0.01303906720515456,10,0.15062405045648045,0.012368045410943806,10,0.016157002212588874,0.00542985480638522,10,9.2,1.229272594305718,10,1.2896028060100935,0.01001711342632104,10,1.3017735674449749,0.009304793471729394,10,0.18830672040426627,0.01510696941704346,10,0.58565223,0.0060987463,10,0.9905255823968494,0.0008571331127345082,10,0.0880198,0.0016692266,10
single_shape,TinyCNN,random,5,0.2152785522717063,0.021380524979748343,10,0.19653846530071933,0.024247796754198487,10,0.018740086970986974,0.010445207036137312,10,10.6,1.5055453054181622,10,1.2504821887199098,0.017396351244585675,10,1.2648939676206195,0.019433305166161832,10,0.20554460439564243,0.015671916222879258,10,0.67600214,0.013062936,10,0.8855221673551478,0.007515689052922287,10,0.33021307,0.011735971,10
single_shape,TinyCNN,random,10,0.25345146001049945,0.025322980828868833,10,0.22984648617904666,0.0315880311500472,10,0.023604973831452773,0.013162188234664507,10,10.1,1.449137674618944,10,1.2184458554154443,0.020832073968526026,10,1.2370700989505334,0.02546961414103191,10,0.2656706913893666,0.026407962143113358,10,0.8792248,0.024530815,10,0.7436715648190668,0.010006716242410252,10,0.60878384,0.025390051,10
single_shape,TinyCNN,random,20,0.283631485700089,0.023044308486482187,10,0.25332814559537786,0.034674834956879695,10,0.03030334010471115,0.017132797147240957,10,10.0,1.1547005383792515,10,1.192550219637157,0.01889128147653865,10,1.2168913879045493,0.02797208105862892,10,0.32531855333183035,0.027673223523217834,10,1.3645277,0.0386547,10,0.5776990762820364,0.008777566236890433,10,1.1485958,0.039105386,10
single_shape,TinyCNN,random,40,0.29550393661620294,0.021981853468769765,10,0.26210331605360593,0.03317429580544091,10,0.03340062056259699,0.016374095278069843,10,9.5,1.5811388300841898,10,1.1823548416037144,0.01805199407257008,10,1.2093418027753446,0.026754410216392,10,0.3415844150959574,0.02563233660627371,10,1.8230339,0.06276482,10,0.4965872493281792,0.01164676054606959,10,1.6290653,0.06464805,10
single_shape,TinyCNN,random,80,0.29895630591390576,0.022128060504435658,10,0.2650358570523792,0.032689782650774435,10,0.03392044886152656,0.015481659425902974,10,9.9,1.4491376746189437,10,1.1795438872998254,0.01822638170004638,10,1.206847401278012,0.026198610989652635,10,0.34534920836877975,0.026269691217083634,10,2.1344335,0.07387048,10,0.45940064589780405,0.0128043485654321,10,1.9502335,0.07641371,10
single_shape,TinyCNN,random,120,0.29969064549866536,0.022436103934470618,10,0.26578902731461784,0.03266441485704497,10,0.03390161818404754,0.015084251592966858,10,9.6,1.7126976771553504,10,1.1789608697201446,0.018529448912147257,10,1.2062333357521067,0.025966808230820725,10,0.3462722658741678,0.025885928083160703,10,2.2930086,0.07927878,10,0.4443678894112111,0.013630606217986792,10,2.1125944,0.08226231,10
single_shape,TinyCNN,random,160,0.2999566911622579,0.022473797577915573,10,0.26625886931684073,0.03263183626790449,10,0.0336978218454172,0.015059566624006846,10,9.6,1.7126976771553504,10,1.178759050814975,0.018583070869744093,10,1.205862315979868,0.025957373523271817,10,0.3465141685069816,0.02579768364997326,10,2.40029,0.08288742,10,0.4352095005405772,0.014388101186422054,10,2.222181,0.08622964,10
single_shape,TinyCNN,random,200,0.3000495011265114,0.022577965175925176,10,0.2665532909283832,0.03256158171885324,10,0.033496210198128186,0.014903104148811486,10,9.7,1.7029386365926402,10,1.1787016488880888,0.01868988221961863,10,1.2058140204871002,0.026095285763732063,10,0.3465038024484448,0.0255469899883103,10,2.4819207,0.08593442,10,0.4288136306935296,0.014930835208451355,10,2.305383,0.08954993,10
