task,architecture,block,condition,epoch,nearest_cosine,assignment_cosine,matching_gap,nearest_template_count,nearest_distance,assignment_distance,redundancy_cosine,mean_raw_norm,initial_index_cosine,raw_initial_drift,id_acc,semantic_auc,localization_iou,causal_usefulness,cf_accuracy,fidelity_selected,fidelity_random
single_shape,TinyCNN,2000,random,0,0.17818822830151826,0.16061636545001057,0.01757186285150769,11,1.2809320164544247,1.2943615062370557,0.17757322500418138,0.5747002,1.0,0.0,,,,,,,
single_shape,TinyCNN,2000,random,1,0.18347714111939628,0.16911336233028545,0.014363778789110826,8,1.2766062187944271,1.2875610849225674,0.17623880669771444,0.5790982,0.9909063229495577,0.09026556,0.62109375,0.9085286458333334,0.3505156488038532,0.19726693076081847,0.4140625,0.5879900883829324,0.39072315762211396
single_shape,TinyCNN,2000,random,5,0.2424155399660166,0.23237097571581253,0.010044564250204085,12,1.227271067856565,1.2354402365002892,0.22902290287866062,0.6687944,0.8822615035118941,0.33093625,0.87890625,0.9559936523437499,0.32311134717708656,0.19153083959813505,0.4192708432674408,0.604893620373449,0.4133627807753139
single_shape,TinyCNN,2000,random,10,0.28380630535608803,0.2681071723217885,0.01569913303429954,10,1.191784156502452,1.2043648889813672,0.2945532852744108,0.8689898,0.7445757916339987,0.5941709,1.0,0.9586995442708334,0.3195489091238575,0.1940677108831188,0.3424479067325592,0.6016177121827795,0.4075500012996607
single_shape,TinyCNN,2000,random,20,0.30460106946222554,0.28573002075362897,0.01887104870859657,11,1.1741110298773116,1.189251564598619,0.34135475207265165,1.3762712,0.5836600130346348,1.1509204,1.0,0.9623209635416667,0.30198834066056923,0.19349884262731465,0.2838541567325592,0.551520517343944,0.3580216747166294
single_shape,TinyCNN,2000,random,40,0.30981920943648406,0.2918330563239627,0.01798615311252133,12,1.1697681063176713,1.1843276880353553,0.3451484210085794,1.8673695,0.5072877186346283,1.6618533,1.0,0.9632161458333334,0.2943393140066541,0.2425687573276114,0.3138020932674408,0.5103663685906303,0.26779761126301893
single_shape,TinyCNN,2000,random,80,0.3105298570875267,0.29121667819668,0.01931317889084666,12,1.169386118410182,1.1850998800355128,0.3433112284435268,2.1804612,0.4741384053829316,1.9835134,1.0,0.9617919921875,0.29387514096860806,0.2670526956353094,0.3190104067325592,0.4797170330754009,0.21266433744009153
single_shape,TinyCNN,2000,random,120,0.31098074405265413,0.29100861469392053,0.019972129358733604,12,1.1690390501005388,1.1861153826771262,0.3415204634894481,2.3368087,0.46065222093504,2.143336,1.0,0.9609171549479166,0.2946786147098976,0.2768273475962189,0.3190104067325592,0.4662944532437332,0.1894671056475143
single_shape,TinyCNN,2000,random,160,0.3112249791434642,0.2918100604059987,0.01941491873746548,12,1.1688755380108655,1.1854404392169628,0.34045142504913184,2.441787,0.4526428305113607,2.2503328,1.0,0.9603271484375,0.2960399246125677,0.2821787491105562,0.3177083432674408,0.4582438260048304,0.17606507689427423
single_shape,TinyCNN,2000,random,200,0.31120538086953764,0.29230263355317987,0.01890274731635777,12,1.1689264205742778,1.18529992480532,0.3392047655877915,2.5215201,0.44709086779084056,2.3314078,1.0,0.95977783203125,0.29695309660278807,0.28586026495958755,0.3177083432674408,0.45277384327673265,0.1669135783171451
