task,architecture,block,condition,epoch,channel,nearest_template,assigned_template,nearest_cosine,assigned_cosine
single_shape,TinyCNN,2000,random,0,0,9,5,0.2039321475662874,0.14478298074733903
single_shape,TinyCNN,2000,random,0,1,15,15,0.19556118269738426,0.19556118269738426
single_shape,TinyCNN,2000,random,0,2,14,8,0.18326755112279752,0.16689134548333406
single_shape,TinyCNN,2000,random,0,3,1,1,0.04743543633019073,0.04743543633019073
single_shape,TinyCNN,2000,random,0,4,7,7,0.13737106530675794,0.13737106530675794
single_shape,TinyCNN,2000,random,0,5,10,11,0.1991957087590654,0.14394357879602143
single_shape,TinyCNN,2000,random,0,6,14,3,0.15113708871329737,0.05458149761148048
single_shape,TinyCNN,2000,random,0,7,14,14,0.24131017931742135,0.24131017931742135
single_shape,TinyCNN,2000,random,0,8,12,12,0.31480201433643107,0.31480201433643107
single_shape,TinyCNN,2000,random,0,9,9,9,0.2638210653283014,0.2638210653283014
single_shape,TinyCNN,2000,random,0,10,13,13,0.237348561070057,0.237348561070057
single_shape,TinyCNN,2000,random,0,11,7,6,0.10577381475713139,0.08032769636534713
single_shape,TinyCNN,2000,random,0,12,8,2,0.13340911684202403,0.12402556055787657
single_shape,TinyCNN,2000,random,0,13,0,0,0.07522445967150043,0.07522445967150043
single_shape,TinyCNN,2000,random,0,14,5,4,0.21292093786650793,0.1939339004415892
single_shape,TinyCNN,2000,random,0,15,10,10,0.14850132313913686,0.14850132313913686
single_shape,TinyCNN,2000,random,1,0,9,8,0.19207704858624403,0.1765425691199718
single_shape,TinyCNN,2000,random,1,1,7,6,0.21536650733435117,0.19407715857975016
single_shape,TinyCNN,2000,random,1,2,14,13,0.19324973332796735,0.1873834907000631
single_shape,TinyCNN,2000,random,1,3,1,2,0.05128353576589327,0.05114016432566335
single_shape,TinyCNN,2000,random,1,4,7,7,0.10161250733889517,0.10161250733889517
single_shape,TinyCNN,2000,random,1,5,10,5,0.17311061967144661,0.12948989590045984
single_shape,TinyCNN,2000,random,1,6,14,14,0.19883207032510508,0.19883207032510508
single_shape,TinyCNN,2000,random,1,7,14,15,0.24959626003464436,0.24311098697350683
single_shape,TinyCNN,2000,random,1,8,12,12,0.3094335868425931,0.3094335868425931
single_shape,TinyCNN,2000,random,1,9,9,9,0.2902513056194958,0.2902513056194958
single_shape,TinyCNN,2000,random,1,10,10,11,0.24009704031132933,0.21595929900771174
single_shape,TinyCNN,2000,random,1,11,7,3,0.06974856165576657,-0.00972098249560876
single_shape,TinyCNN,2000,random,1,12,1,1,0.2198343011695057,0.2198343011695057
single_shape,TinyCNN,2000,random,1,13,0,0,0.12213620341303312,0.12213620341303312
single_shape,TinyCNN,2000,random,1,14,6,4,0.21375726561660452,0.1804835295669563
single_shape,TinyCNN,2000,random,1,15,10,10,0.09524771089746513,0.09524771089746513
single_shape,TinyCNN,2000,random,5,0,4,3,0.1754232404954813,0.15927725776032264
single_shape,TinyCNN,2000,random,5,1,7,7,0.27631924716996104,0.27631924716996104
single_shape,TinyCNN,2000,random,5,2,14,9,0.17834057061511338,0.17337943489485264
single_shape,TinyCNN,2000,random,5,3,11,11,0.1029312211641827,0.1029312211641827
single_shape,TinyCNN,2000,random,5,4,10,10,0.06518296401399062,0.06518296401399062
single_shape,TinyCNN,2000,random,5,5,7,6,0.13631731142200945,0.12376858732054437
single_shape,TinyCNN,2000,random,5,6,14,14,0.3784959660847387,0.3784959660847387
single_shape,TinyCNN,2000,random,5,7,15,15,0.3634758443752306,0.3634758443752306
single_shape,TinyCNN,2000,random,5,8,13,13,0.38041159162393373,0.38041159162393373
single_shape,TinyCNN,2000,random,5,9,8,8,0.3714942836070291,0.3714942836070291
single_shape,TinyCNN,2000,random,5,10,10,12,0.35126607556217915,0.2632225636463122
single_shape,TinyCNN,2000,random,5,11,5,4,0.10866708083879809,0.09278426553981887
single_shape,TinyCNN,2000,random,5,12,1,1,0.4240561542324401,0.4240561542324401
single_shape,TinyCNN,2000,random,5,13,0,0,0.1961326786499336,0.1961326786499336
single_shape,TinyCNN,2000,random,5,14,6,5,0.20816838901560414,0.1926929891906816
single_shape,TinyCNN,2000,random,5,15,1,2,0.1619660205856403,0.15431056217902783
single_shape,TinyCNN,2000,random,10,0,4,3,0.2174163747110932,0.19400960031478073
single_shape,TinyCNN,2000,random,10,1,7,7,0.24053455018662814,0.24053455018662814
