task,architecture,condition,metric,target,n,spearman
single_shape,TinyCNN,template_release,nearest_cosine,causal_usefulness,10,-0.05454545454545454
single_shape,TinyCNN,template_release,nearest_cosine,cf_accuracy,10,0.0303030303030303
single_shape,TinyCNN,template_release,assignment_cosine,id_acc,10,
single_shape,TinyCNN,template_release,assignment_cosine,semantic_auc,10,0.6606060606060605
single_shape,TinyCNN,template_release,assignment_cosine,localization_iou,10,-0.309090909090909
single_shape,TinyCNN,template_release,assignment_cosine,causal_usefulness,10,0.04242424242424241
single_shape,TinyCNN,template_release,assignment_cosine,cf_accuracy,10,0.11515151515151514
single_shape,TinyCNN,template_release,matching_gap,id_acc,10,
single_shape,TinyCNN,template_release,matching_gap,semantic_auc,10,-0.2606060606060606
single_shape,TinyCNN,template_release,matching_gap,localization_iou,10,0.35757575757575755
single_shape,TinyCNN,template_release,matching_gap,causal_usefulness,10,-0.17575757575757575
single_shape,TinyCNN,template_release,matching_gap,cf_accuracy,10,-0.2727272727272727
single_shape,TinyCNN,template_retention_1,nearest_cosine,id_acc,10,-0.4061811972299616
single_shape,TinyCNN,template_retention_1,nearest_cosine,semantic_auc,10,0.406060606060606
single_shape,TinyCNN,template_retention_1,nearest_cosine,localization_iou,10,-0.6242424242424242
single_shape,TinyCNN,template_retention_1,nearest_cosine,causal_usefulness,10,0.34545454545454546
single_shape,TinyCNN,template_retention_1,nearest_cosine,cf_accuracy,10,0.03039527718400323
single_shape,TinyCNN,template_retention_1,assignment_cosine,id_acc,10,-0.4061811972299616
single_shape,TinyCNN,template_retention_1,assignment_cosine,semantic_auc,10,0.406060606060606
single_shape,TinyCNN,template_retention_1,assignment_cosine,localization_iou,10,-0.6242424242424242
single_shape,TinyCNN,template_retention_1,assignment_cosine,causal_usefulness,10,0.34545454545454546
single_shape,TinyCNN,template_retention_1,assignment_cosine,cf_accuracy,10,0.03039527718400323
single_shape,TinyCNN,template_retention_1,matching_gap,id_acc,10,
single_shape,TinyCNN,template_retention_1,matching_gap,semantic_auc,10,
single_shape,TinyCNN,template_retention_1,matching_gap,localization_iou,10,
single_shape,TinyCNN,template_retention_1,matching_gap,causal_usefulness,10,
single_shape,TinyCNN,template_retention_1,matching_gap,cf_accuracy,10,
single_shape,TwoLayerCNN,random,nearest_cosine,id_acc,10,
single_shape,TwoLayerCNN,random,nearest_cosine,semantic_auc,10,0.04242424242424241
single_shape,TwoLayerCNN,random,nearest_cosine,localization_iou,10,0.07878787878787878
single_shape,TwoLayerCNN,random,nearest_cosine,causal_usefulness,10,-0.22424242424242422
single_shape,TwoLayerCNN,random,nearest_cosine,cf_accuracy,10,-0.5227987675648555
single_shape,TwoLayerCNN,random,assignment_cosine,id_acc,10,
single_shape,TwoLayerCNN,random,assignment_cosine,semantic_auc,10,0.09090909090909088
single_shape,TwoLayerCNN,random,assignment_cosine,localization_iou,10,0.23636363636363633
single_shape,TwoLayerCNN,random,assignment_cosine,causal_usefulness,10,-0.0303030303030303
single_shape,TwoLayerCNN,random,assignment_cosine,cf_accuracy,10,-0.3708223816448394
single_shape,TwoLayerCNN,random,matching_gap,id_acc,10,
single_shape,TwoLayerCNN,random,matching_gap,semantic_auc,10,-0.5878787878787878
single_shape,TwoLayerCNN,random,matching_gap,localization_iou,10,-0.5757575757575757
single_shape,TwoLayerCNN,random,matching_gap,causal_usefulness,10,-0.18787878787878787
single_shape,TwoLayerCNN,random,matching_gap,cf_accuracy,10,-0.13373921960961418
single_shape,TwoLayerCNN,random_unitnorm,nearest_cosine,id_acc,10,
single_shape,TwoLayerCNN,random_unitnorm,nearest_cosine,semantic_auc,10,0.6484848484848483
single_shape,TwoLayerCNN,random_unitnorm,nearest_cosine,localization_iou,10,0.33333333333333326
single_shape,TwoLayerCNN,random_unitnorm,nearest_cosine,causal_usefulness,10,-0.23636363636363633
single_shape,TwoLayerCNN,random_unitnorm,nearest_cosine,cf_accuracy,10,-0.309090909090909
single_shape,TwoLayerCNN,random_unitnorm,assignment_cosine,id_acc,10,
single_shape,TwoLayerCNN,random_unitnorm,assignment_cosine,semantic_auc,10,0.6484848484848483
single_shape,TwoLayerCNN,random_unitnorm,assignment_cosine,localization_iou,10,0.33333333333333326
single_shape,TwoLayerCNN,random_unitnorm,assignment_cosine,causal_usefulness,10,-0.28484848484848485
single_shape,TwoLayerCNN,random_unitnorm,assignment_cosine,cf_accuracy,10,-0.2727272727272727
single_shape,TwoLayerCNN,random_unitnorm,matching_gap,id_acc,10,
single_shape,TwoLayerCNN,random_unitnorm,matching_gap,semantic_auc,10,-0.43030303030303024
single_shape,TwoLayerCNN,random_unitnorm,matching_gap,localization_iou,10,-0.06666666666666665
single_shape,TwoLayerCNN,random_unitnorm,matching_gap,causal_usefulness,10,0.3696969696969697
single_shape,TwoLayerCNN,random_unitnorm,matching_gap,cf_accuracy,10,0.10303030303030303
single_shape,TwoLayerCNN,template_init,nearest_cosine,id_acc,10,
single_shape,TwoLayerCNN,template_init,nearest_cosine,semantic_auc,10,0.32121212121212117
single_shape,TwoLayerCNN,template_init,nearest_cosine,localization_iou,10,0.01818181818181818
single_shape,TwoLayerCNN,template_init,nearest_cosine,causal_usefulness,10,0.17575757575757575
single_shape,TwoLayerCNN,template_init,nearest_cosine,cf_accuracy,10,0.06666666666666665
single_shape,TwoLayerCNN,template_init,assignment_cosine,id_acc,10,
single_shape,TwoLayerCNN,template_init,assignment_cosine,semantic_auc,10,0.32121212121212117
single_shape,TwoLayerCNN,template_init,assignment_cosine,localization_iou,10,0.01818181818181818
single_shape,TwoLayerCNN,template_init,assignment_cosine,causal_usefulness,10,0.17575757575757575
single_shape,TwoLayerCNN,template_init,assignment_cosine,cf_accuracy,10,0.06666666666666665
single_shape,TwoLayerCNN,template_init,matching_gap,id_acc,10,
single_shape,TwoLayerCNN,template_init,matching_gap,semantic_auc,10,-0.21624335800309782
single_shape,TwoLayerCNN,template_init,matching_gap,localization_iou,10,-0.17150335289900864
single_shape,TwoLayerCNN,template_init,matching_gap,causal_usefulness,10,-0.17150335289900864
single_shape,TwoLayerCNN,template_init,matching_gap,cf_accuracy,10,-0.23115669303779424
single_shape,TwoLayerCNN,template_release,nearest_cosine,id_acc,10,0.4061811972299616
single_shape,TwoLayerCNN,template_release,nearest_cosine,semantic_auc,10,0.006060606060606061
single_shape,TwoLayerCNN,template_release,nearest_cosine,localization_iou,10,0.07878787878787878
